"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.124818018701248,0.116014377594869,0.126097649428842,50
"EpCAM: SMA","CD8",0.168089988686842,0.155545235321742,0.163799673472469,50
"SMA","CD8",0.26401453232654,0.247027172151978,0.277475547060153,50
"Unclass","CD8",0.263690243508755,0.257567378235394,0.27163548096581,50
"EpCAM: SMA","EpCAM",0.498361412340491,0.500538247267633,0.50153723162228,50
"SMA","EpCAM",0.348825186651577,0.346912248237334,0.352152811001466,50
"Unclass","EpCAM",0.128029674961732,0.126040970528814,0.130594069002413,50
"SMA","EpCAM: SMA",0.43034898403061,0.429788772868919,0.432510715988782,50
"Unclass","EpCAM: SMA",0.0846886514425462,0.086930018273699,0.0858065964438686,50
"Unclass","SMA",0.347231868676371,0.344368874429164,0.354065480487901,50
"EpCAM","CD8",0.3150214243079,0.300557865325372,0.321354825639223,100
"EpCAM: SMA","CD8",0.328173648547921,0.301463062248825,0.340206544236783,100
"SMA","CD8",0.464204839528765,0.439325276471542,0.477684241701816,100
"Unclass","CD8",0.443278888191357,0.441738675108565,0.448197212595142,100
"EpCAM: SMA","EpCAM",0.702813698898259,0.700726716473303,0.703557012067524,100
"SMA","EpCAM",0.617278845139288,0.619147405240008,0.626368387677845,100
"Unclass","EpCAM",0.217674314119151,0.215331859785894,0.218596641101098,100
"SMA","EpCAM: SMA",0.579751894235472,0.576820010480755,0.592685553427323,100
"Unclass","EpCAM: SMA",0.126343250083317,0.123613842250415,0.127674941981939,100
"Unclass","SMA",0.415097091264959,0.41306729009583,0.41766887655025,100
"EpCAM","CD8",0.437652145932401,0.409270651229662,0.45593903764939,150
"EpCAM: SMA","CD8",0.427840273019011,0.396758883828673,0.446270037979947,150
"SMA","CD8",0.567694647606992,0.539116648721967,0.587180105077212,150
"Unclass","CD8",0.510137131654764,0.503781841996888,0.529859008673864,150
"EpCAM: SMA","EpCAM",0.768933253093315,0.766683468051937,0.770669261054483,150
"SMA","EpCAM",0.746130716382629,0.746801226738118,0.750949540165596,150
"Unclass","EpCAM",0.264714093068385,0.272816875782039,0.266354422930019,150
"SMA","EpCAM: SMA",0.659284563640051,0.651858276203768,0.660670265577456,150
"Unclass","EpCAM: SMA",0.149631973724789,0.148209344655522,0.150032801409295,150
"Unclass","SMA",0.439565528891604,0.44761584374396,0.441001709078318,150
"EpCAM","CD8",0.550368165908437,0.510604946852899,0.579662764881304,200
"EpCAM: SMA","CD8",0.490318293894687,0.461364395672517,0.502856976555561,200
"SMA","CD8",0.651371486003653,0.618639999343151,0.684853264299204,200
"Unclass","CD8",0.556850050330257,0.550520447181397,0.570674178985563,200
"EpCAM: SMA","EpCAM",0.809458680508491,0.812320496588137,0.807092122074116,200
"SMA","EpCAM",0.821492624073683,0.821994445627796,0.824704769170428,200
"Unclass","EpCAM",0.300689773753027,0.299965535827614,0.301511774784737,200
"SMA","EpCAM: SMA",0.694943246382847,0.699224085821073,0.694663299969921,200
"Unclass","EpCAM: SMA",0.163699648083443,0.163019318173698,0.162445802088905,200
"Unclass","SMA",0.452958944621793,0.457881725369259,0.447670872219378,200
"EpCAM","CD8",0.585760332994911,0.562193770681698,0.611391903787541,250
"EpCAM: SMA","CD8",0.536050253845929,0.486480035770897,0.553436786312414,250
"SMA","CD8",0.688102802362355,0.655332796129788,0.707716549339639,250
"Unclass","CD8",0.591797817005499,0.608193868057648,0.599860075238479,250
"EpCAM: SMA","EpCAM",0.82587856096678,0.819103914714661,0.826193257299205,250
"SMA","EpCAM",0.851935746024839,0.855371900351597,0.860150231317331,250
"Unclass","EpCAM",0.327136466673407,0.330985207291482,0.332251613147638,250
"SMA","EpCAM: SMA",0.723929301746849,0.720212542786467,0.725552447254049,250
"Unclass","EpCAM: SMA",0.179567624606396,0.176369038386222,0.179541701028713,250
"Unclass","SMA",0.465167275526612,0.467085192392629,0.468381796400697,250
"EpCAM","CD8",0.652120575592268,0.624659363064375,0.683713868600637,300
"EpCAM: SMA","CD8",0.576096499665802,0.563140023078496,0.595297832579046,300
"SMA","CD8",0.744856161397957,0.72809831113794,0.778818028298302,300
"Unclass","CD8",0.600070373122978,0.596242017554668,0.597591401622107,300
"EpCAM: SMA","EpCAM",0.841841733281886,0.834122145716003,0.842089110316229,300
"SMA","EpCAM",0.870883079503589,0.865758766671513,0.867069616608079,300
"Unclass","EpCAM",0.335330403070075,0.336133791766785,0.333051494584578,300
"SMA","EpCAM: SMA",0.731258683625941,0.728068046786878,0.727117160305127,300
"Unclass","EpCAM: SMA",0.18464867073357,0.186033884095414,0.184276208400326,300
"Unclass","SMA",0.478524939051011,0.479047470522543,0.479313383229146,300
"EpCAM","CD8",0.649023726347814,0.617278838888874,0.676001073454096,350
"EpCAM: SMA","CD8",0.577896773180444,0.539420790439765,0.591155837964451,350
"SMA","CD8",0.732406497007605,0.711109213462639,0.758843773881596,350
"Unclass","CD8",0.623510429882462,0.625564818827856,0.623785563225872,350
"EpCAM: SMA","EpCAM",0.8493604379434,0.848991892867915,0.852169401090705,350
"SMA","EpCAM",0.895801678122236,0.893575920872881,0.89867198277368,350
"Unclass","EpCAM",0.345010623167251,0.349401357174702,0.346931773253826,350
"SMA","EpCAM: SMA",0.757604469539737,0.755466583074554,0.766538439784336,350
"Unclass","EpCAM: SMA",0.188754047835427,0.188897825339021,0.190548453463012,350
"Unclass","SMA",0.478877738225859,0.480405293796605,0.474704260312887,350
"EpCAM","CD8",0.696622723978906,0.661779970825722,0.727303548203145,400
"EpCAM: SMA","CD8",0.611083450512258,0.588360960569533,0.643446453313879,400
"SMA","CD8",0.761085728368688,0.743805369948737,0.786426101609745,400
"Unclass","CD8",0.637575368776094,0.637844437083493,0.635465758078072,400
"EpCAM: SMA","EpCAM",0.856350689671835,0.853392628219346,0.85146778545974,400
"SMA","EpCAM",0.917530853009736,0.919221982221569,0.915371933399945,400
"Unclass","EpCAM",0.36281185324368,0.365912304269604,0.36211582196904,400
"SMA","EpCAM: SMA",0.770676534589629,0.767034081859514,0.771079185201114,400
"Unclass","EpCAM: SMA",0.206502900214152,0.2079458657948,0.205077024017502,400
"Unclass","SMA",0.488965504808891,0.490889230153604,0.485585635645056,400
"EpCAM","CD8",0.731765970961534,0.705862486779752,0.755146088170197,450
"EpCAM: SMA","CD8",0.646415570986835,0.613926150887177,0.670138547529248,450
"SMA","CD8",0.80310358060164,0.784987385867115,0.820567421542825,450
"Unclass","CD8",0.64563356937289,0.656095201568535,0.643596447062115,450
"EpCAM: SMA","EpCAM",0.854178610805506,0.856113364598526,0.854478502141194,450
"SMA","EpCAM",0.915769910298217,0.918559235699714,0.915008451995772,450
"Unclass","EpCAM",0.373171776161673,0.373245911124009,0.371875192928107,450
"SMA","EpCAM: SMA",0.772738332098548,0.770532271365396,0.776943216400433,450
"Unclass","EpCAM: SMA",0.210333781814676,0.212674365761364,0.211455750182494,450
"Unclass","SMA",0.498437029961952,0.497310636752766,0.497148335668481,450
"EpCAM","CD8",0.767197435461885,0.75630697038097,0.790141351134887,500
"EpCAM: SMA","CD8",0.648941543219029,0.64141946035356,0.670233772615418,500
"SMA","CD8",0.813897554541754,0.789494611458871,0.834082603011756,500
"Unclass","CD8",0.651668097419528,0.636259369514248,0.637228179501045,500
"EpCAM: SMA","EpCAM",0.866088419194682,0.870053424262065,0.867964511200028,500
"SMA","EpCAM",0.930410719695042,0.925491134294399,0.931545759367506,500
"Unclass","EpCAM",0.400572253483639,0.39028763872486,0.405805996734716,500
"SMA","EpCAM: SMA",0.767370524735261,0.768603481269458,0.77040732259139,500
"Unclass","EpCAM: SMA",0.218238580444834,0.214442429025864,0.222194348125669,500
"Unclass","SMA",0.508495958504299,0.498965060598609,0.513834154281893,500
