"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.135562058605456,0.13480160289581,0.135777592858233,50
"EpCAM: SMA","CD8",0.207964316304788,0.206977085561485,0.208356216180394,50
"SMA","CD8",0.324829967283022,0.323494172626696,0.32692688625038,50
"Unclass","CD8",0.321814356908158,0.320172593492351,0.322216553079907,50
"EpCAM: SMA","EpCAM",0.479215571595444,0.476792331825118,0.48045066949843,50
"SMA","EpCAM",0.294043648899828,0.293954363543312,0.295348425676393,50
"Unclass","EpCAM",0.147999042557141,0.149584141645178,0.148279910153039,50
"SMA","EpCAM: SMA",0.441767365623425,0.441517413752334,0.442911082010498,50
"Unclass","EpCAM: SMA",0.132411951398029,0.132679472065038,0.132438418485718,50
"Unclass","SMA",0.383626134058829,0.382844299339906,0.383734607531764,50
"EpCAM","CD8",0.242307424048504,0.239966933934015,0.24354873420868,100
"EpCAM: SMA","CD8",0.313627543164231,0.310891523042193,0.316978906156231,100
"SMA","CD8",0.464755928833552,0.463017241458774,0.469163270450868,100
"Unclass","CD8",0.449548340813077,0.448807734212934,0.451098249631525,100
"EpCAM: SMA","EpCAM",0.623446560224253,0.622173212279786,0.624234625211422,100
"SMA","EpCAM",0.476178034349688,0.475262730780202,0.475999566686399,100
"Unclass","EpCAM",0.270405073691015,0.269247389836757,0.270884734575245,100
"SMA","EpCAM: SMA",0.561323099046818,0.560780961321377,0.559977608831234,100
"Unclass","EpCAM: SMA",0.206655530396542,0.205740862259318,0.206952366997566,100
"Unclass","SMA",0.495687124145646,0.495222074884244,0.497034854177865,100
"EpCAM","CD8",0.303427530168004,0.301719353193712,0.304297696990359,150
"EpCAM: SMA","CD8",0.366120820732285,0.362162337620265,0.367927779805056,150
"SMA","CD8",0.52823563536701,0.524623438286274,0.530220509912207,150
"Unclass","CD8",0.50517263214561,0.501106256985053,0.509663313080613,150
"EpCAM: SMA","EpCAM",0.67170406807499,0.670680913068855,0.670963902606617,150
"SMA","EpCAM",0.55781481598986,0.558066671487284,0.559731081380742,150
"Unclass","EpCAM",0.342311931052913,0.342962052775546,0.342971106234195,150
"SMA","EpCAM: SMA",0.610254290053992,0.609245875880475,0.612160420521205,150
"Unclass","EpCAM: SMA",0.252951252304308,0.253062443912239,0.253712853866847,150
"Unclass","SMA",0.547008371773606,0.548365872296427,0.547007680738104,150
"EpCAM","CD8",0.346221408273482,0.343200298984379,0.348164437408453,200
"EpCAM: SMA","CD8",0.403100706047679,0.399921302971342,0.403502554584361,200
"SMA","CD8",0.568264346773485,0.564892804094398,0.571994886397919,200
"Unclass","CD8",0.540852196745214,0.538957152707082,0.544425589025189,200
"EpCAM: SMA","EpCAM",0.694513151767168,0.692080549998288,0.69436171675764,200
"SMA","EpCAM",0.604606411451523,0.604065258094543,0.605170196684356,200
"Unclass","EpCAM",0.390105674820587,0.389519332254044,0.390457431669495,200
"SMA","EpCAM: SMA",0.639169481881348,0.637749841105876,0.63994544924987,200
"Unclass","EpCAM: SMA",0.287394477802894,0.287065159760327,0.28760372237637,200
"Unclass","SMA",0.581299487403771,0.583028881447438,0.582859716293553,200
"EpCAM","CD8",0.384002966738577,0.380416595620851,0.38614826937504,250
"EpCAM: SMA","CD8",0.433613747599949,0.431875202910607,0.436086648706932,250
"SMA","CD8",0.600198741822875,0.597896713484943,0.602727028891167,250
"Unclass","CD8",0.569209083514097,0.568059211921334,0.572089684846028,250
"EpCAM: SMA","EpCAM",0.709067638974947,0.708505276230108,0.710277212889621,250
"SMA","EpCAM",0.639326693062766,0.638894253772488,0.640738613458036,250
"Unclass","EpCAM",0.430828054853804,0.429256035295863,0.431343845410792,250
"SMA","EpCAM: SMA",0.663281042012728,0.662312251757256,0.663361142380419,250
"Unclass","EpCAM: SMA",0.317564607436408,0.317400819175506,0.317563919744337,250
"Unclass","SMA",0.604724541469034,0.602730966164132,0.60586695319418,250
"EpCAM","CD8",0.415430702430789,0.411272183279123,0.418890714784617,300
"EpCAM: SMA","CD8",0.462846962202887,0.458323322776303,0.465942197973315,300
"SMA","CD8",0.626822733077738,0.623953317559764,0.629648490126267,300
"Unclass","CD8",0.590574632069272,0.588599287780172,0.593471332284566,300
"EpCAM: SMA","EpCAM",0.719780914299472,0.720180853382411,0.720131144108567,300
"SMA","EpCAM",0.663967035728541,0.663437522344844,0.666136397130333,300
"Unclass","EpCAM",0.46182022986167,0.460614458961952,0.462071832292077,300
"SMA","EpCAM: SMA",0.680724536798837,0.680957955776853,0.680305345327768,300
"Unclass","EpCAM: SMA",0.34298762258579,0.34251874145762,0.342824306286777,300
"Unclass","SMA",0.63033216075749,0.629269225548634,0.630877857804972,300
"EpCAM","CD8",0.434697458427944,0.429187662790603,0.437283707674294,350
"EpCAM: SMA","CD8",0.476904855045561,0.473835505882746,0.479919307676556,350
"SMA","CD8",0.638035845394935,0.634892536549832,0.640865802683663,350
"Unclass","CD8",0.607342144253244,0.605335753773225,0.608551176671701,350
"EpCAM: SMA","EpCAM",0.727753766813872,0.725651636992327,0.728828431771547,350
"SMA","EpCAM",0.688513977605011,0.686995323720491,0.689651836854259,350
"Unclass","EpCAM",0.492462816048555,0.492765886821296,0.49537588538902,350
"SMA","EpCAM: SMA",0.695918202528618,0.695808898081383,0.696658360432435,350
"Unclass","EpCAM: SMA",0.365893250687043,0.366186514870569,0.366987479165532,350
"Unclass","SMA",0.647353058645226,0.648887232711206,0.646859203384974,350
"EpCAM","CD8",0.454004197652552,0.452275418752351,0.456615923187114,400
"EpCAM: SMA","CD8",0.496715478111735,0.494945553924781,0.50060511789764,400
"SMA","CD8",0.650470766986431,0.647574195025617,0.655276860710477,400
"Unclass","CD8",0.618340294783458,0.615795907070707,0.622640394948771,400
"EpCAM: SMA","EpCAM",0.733991401252108,0.731954997963061,0.732388176831167,400
"SMA","EpCAM",0.70320326680005,0.703528422726585,0.703355458708193,400
"Unclass","EpCAM",0.517878498399184,0.515205572386121,0.518345880624788,400
"SMA","EpCAM: SMA",0.710805578874513,0.711590242148334,0.711019908105491,400
"Unclass","EpCAM: SMA",0.3885603007943,0.386272919573815,0.389507048336184,400
"Unclass","SMA",0.665167175500138,0.664012621417726,0.665939300665952,400
"EpCAM","CD8",0.482393367010457,0.479388432981197,0.486970639896532,450
"EpCAM: SMA","CD8",0.518907367369564,0.518141385820293,0.521039107267195,450
"SMA","CD8",0.678050380240092,0.676052240063502,0.679642941649991,450
"Unclass","CD8",0.6382670369962,0.638255131647755,0.640479286528179,450
"EpCAM: SMA","EpCAM",0.741282076628859,0.740173478658431,0.742281538702444,450
"SMA","EpCAM",0.720731041856357,0.7192294646328,0.722026585064152,450
"Unclass","EpCAM",0.538821388862546,0.535833874800142,0.540601769011185,450
"SMA","EpCAM: SMA",0.722202006647003,0.72077928447814,0.721586123280664,450
"Unclass","EpCAM: SMA",0.405647066221678,0.404263649892098,0.406421838613677,450
"Unclass","SMA",0.682828220429518,0.682214956595872,0.683757028377873,450
"EpCAM","CD8",0.494724124012914,0.490205851090593,0.496387225522993,500
"EpCAM: SMA","CD8",0.534222255328372,0.529349987647254,0.538239633897031,500
"SMA","CD8",0.688979516758205,0.684896966637022,0.693191288172923,500
"Unclass","CD8",0.645439471021914,0.643555728250724,0.646945566952366,500
"EpCAM: SMA","EpCAM",0.746276678310062,0.745668348576554,0.747084493982885,500
"SMA","EpCAM",0.731468424227064,0.731373978681699,0.73272415694677,500
"Unclass","EpCAM",0.556386585559551,0.556465776936699,0.554893360045569,500
"SMA","EpCAM: SMA",0.736480162961954,0.736690737355096,0.738136364051287,500
"Unclass","EpCAM: SMA",0.426683169135703,0.426690047141137,0.42677306131929,500
"Unclass","SMA",0.692592278110766,0.69184697765847,0.694255347843875,500
