"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.256260235646571,0.256305906772563,0.260793325666383,50
"EpCAM: SMA","CD8",0.16829852376114,0.159489272190372,0.189773456152782,50
"SMA","CD8",0.260504608316758,0.230760368911694,0.2716469766911,50
"Unclass","CD8",0.302634975372231,0.299606595281363,0.30365045433244,50
"EpCAM: SMA","EpCAM",0.294397838343443,0.295297968963393,0.315369478399399,50
"SMA","EpCAM",0.335107078590909,0.328311968706365,0.341307061656762,50
"Unclass","EpCAM",0.407146174785844,0.401945446114642,0.40438028013758,50
"SMA","EpCAM: SMA",0.270335659866137,0.253580344159538,0.28723204812858,50
"Unclass","EpCAM: SMA",0.104384907208633,0.104138543660638,0.118193643737267,50
"Unclass","SMA",0.434601836997674,0.425342064108959,0.4345422519478,50
"EpCAM","CD8",0.463744943934969,0.436028279713315,0.49206267035409,100
"EpCAM: SMA","CD8",0.306875501459412,0.280870303297818,0.352209808146943,100
"SMA","CD8",0.460563716709476,0.447391487821457,0.480599552130093,100
"Unclass","CD8",0.512666403698174,0.500782847397608,0.534845319130021,100
"EpCAM: SMA","EpCAM",0.479862851138982,0.479733509884217,0.499551344148871,100
"SMA","EpCAM",0.529263339122602,0.528374475553827,0.512959497348889,100
"Unclass","EpCAM",0.544709590896122,0.541689834741743,0.543164583074753,100
"SMA","EpCAM: SMA",0.446552679232585,0.424708088762427,0.456599420317453,100
"Unclass","EpCAM: SMA",0.203338836332457,0.187988993974669,0.220305905100845,100
"Unclass","SMA",0.611531923291159,0.605866918283891,0.604387975966468,100
"EpCAM","CD8",0.565387864632493,0.525313583958451,0.585187831838748,150
"EpCAM: SMA","CD8",0.355684884722381,0.338934749125873,0.392255529113456,150
"SMA","CD8",0.538584895238271,0.521968574180238,0.558226864218085,150
"Unclass","CD8",0.609673735494596,0.581031058746882,0.636247467482766,150
"EpCAM: SMA","EpCAM",0.544395029394767,0.523181035951971,0.556143959143608,150
"SMA","EpCAM",0.624810842408534,0.613091823701719,0.615455303091964,150
"Unclass","EpCAM",0.613803864343948,0.610656951114297,0.624425388971054,150
"SMA","EpCAM: SMA",0.496381230188882,0.501647266684369,0.518493461490046,150
"Unclass","EpCAM: SMA",0.246221169421343,0.245306508992031,0.273980581726676,150
"Unclass","SMA",0.698976644719432,0.693543684681472,0.698581297206185,150
"EpCAM","CD8",0.670392668996281,0.634798230121567,0.662696636977949,200
"EpCAM: SMA","CD8",0.438248936676857,0.420683575911211,0.508070241996306,200
"SMA","CD8",0.638304997161801,0.620151889969256,0.661982250070804,200
"Unclass","CD8",0.704540337077232,0.671696711741319,0.704250828061331,200
"EpCAM: SMA","EpCAM",0.608591513903481,0.582701956033092,0.632356177474954,200
"SMA","EpCAM",0.667150028016949,0.675522519304933,0.665917509127509,200
"Unclass","EpCAM",0.648749675168486,0.650521213511748,0.652437220409616,200
"SMA","EpCAM: SMA",0.588205635478742,0.579905832897189,0.619597284035203,200
"Unclass","EpCAM: SMA",0.311289003121152,0.299308674791214,0.331779985517099,200
"Unclass","SMA",0.75051558754235,0.759118067660438,0.746474386873713,200
"EpCAM","CD8",0.701331902850813,0.685343730371107,0.71014634984115,250
"EpCAM: SMA","CD8",0.462938271052376,0.438859899789428,0.494137399345595,250
"SMA","CD8",0.676085459670754,0.679997458867532,0.682237138636723,250
"Unclass","CD8",0.73423338795938,0.726026481771485,0.734732605034546,250
"EpCAM: SMA","EpCAM",0.65042800789557,0.639579293833696,0.683937971530895,250
"SMA","EpCAM",0.728997473945496,0.714887906706861,0.739961593620005,250
"Unclass","EpCAM",0.686847271526345,0.668073428217542,0.69252102921121,250
"SMA","EpCAM: SMA",0.628639565243514,0.58694032609483,0.660634772680232,250
"Unclass","EpCAM: SMA",0.355892975877728,0.329393520193618,0.382919428851273,250
"Unclass","SMA",0.792586444067425,0.797149696830281,0.789536741302136,250
"EpCAM","CD8",0.723762865996971,0.716142592605273,0.712861986566136,300
"EpCAM: SMA","CD8",0.480498014015223,0.455423820978665,0.526207132839666,300
"SMA","CD8",0.701267979521908,0.673543936403407,0.714056400107698,300
"Unclass","CD8",0.772625739364685,0.770082362367664,0.776321342227334,300
"EpCAM: SMA","EpCAM",0.636280897166224,0.632992930713289,0.666185923677668,300
"SMA","EpCAM",0.751067710903118,0.745708371836894,0.753006061023909,300
"Unclass","EpCAM",0.744976945190438,0.736238102843415,0.753400409597458,300
"SMA","EpCAM: SMA",0.627778070285063,0.589131158534189,0.670955400241194,300
"Unclass","EpCAM: SMA",0.389564255491909,0.375857571789114,0.417137758359959,300
"Unclass","SMA",0.815707575906958,0.806310032774596,0.817923657118706,300
"EpCAM","CD8",0.790310604560424,0.775575824982958,0.817607723967081,350
"EpCAM: SMA","CD8",0.514701942967849,0.495301152013951,0.556498262042615,350
"SMA","CD8",0.731647868033479,0.726319539089814,0.744192181152967,350
"Unclass","CD8",0.78216064062591,0.788990656357204,0.792117763511607,350
"EpCAM: SMA","EpCAM",0.682253477927592,0.648648495690831,0.693196026318788,350
"SMA","EpCAM",0.784358410206786,0.780748270616512,0.782025775458121,350
"Unclass","EpCAM",0.746094375976727,0.73745022210295,0.744060112104572,350
"SMA","EpCAM: SMA",0.672326528917695,0.635425094862191,0.688600336298551,350
"Unclass","EpCAM: SMA",0.407337820446482,0.378794224552461,0.43018569831327,350
"Unclass","SMA",0.817801397530007,0.818172193803395,0.828965739960962,350
"EpCAM","CD8",0.775313655345175,0.743314776935412,0.779205085136081,400
"EpCAM: SMA","CD8",0.581188254562406,0.558708434949,0.618453707411296,400
"SMA","CD8",0.749783054409691,0.722602986706038,0.772106913182214,400
"Unclass","CD8",0.827576751692038,0.807199608068982,0.820855027055102,400
"EpCAM: SMA","EpCAM",0.705204982733402,0.710917864843185,0.743606081126628,400
"SMA","EpCAM",0.805237461845828,0.794989470916453,0.802741246761292,400
"Unclass","EpCAM",0.795587860280417,0.789641967646322,0.787340050053927,400
"SMA","EpCAM: SMA",0.720009180326441,0.680435101626793,0.753260022250701,400
"Unclass","EpCAM: SMA",0.489088984481911,0.487268878566601,0.518353213282414,400
