"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.259981679724331,0.254733796427443,0.263215029583911,50
"EpCAM: SMA","CD8",0.0783105907732112,0.0810268556458382,0.0801291108505322,50
"SMA","CD8",0.0533313273885469,0.0556119636451131,0.0588573677158575,50
"Unclass","CD8",0.44224487687606,0.431195240257677,0.464220826048267,50
"EpCAM: SMA","EpCAM",0.0631213879976485,0.0585176166919083,0.05915452614865,50
"SMA","EpCAM",0.0284076108647421,0.0306753322105652,0.0279028434575249,50
"Unclass","EpCAM",0.268944689445283,0.26031312582788,0.275015170086089,50
"SMA","EpCAM: SMA",0.161651505163606,0.091747991165149,0.217698348756811,50
"Unclass","EpCAM: SMA",0.0432553703200471,0.0407615811352616,0.0427713929084926,50
"Unclass","SMA",0.0736142834278776,0.0822313451591916,0.0701570062175656,50
"EpCAM","CD8",0.3872869820066,0.365490422147836,0.39953200819547,100
"EpCAM: SMA","CD8",0.184818475110093,0.186860183163593,0.213256334626827,100
"SMA","CD8",0.149682697983237,0.119944994500472,0.14848539558269,100
"Unclass","CD8",0.611047293407487,0.608048699381362,0.621656608598921,100
"EpCAM: SMA","EpCAM",0.121999176049443,0.11011990765654,0.128819594521396,100
"SMA","EpCAM",0.077226783032117,0.0572648858435831,0.0876382418727494,100
"Unclass","EpCAM",0.439796553393467,0.427429607650907,0.442726501074719,100
"SMA","EpCAM: SMA",0.282104918909185,0.224113550865772,0.384748714544292,100
"Unclass","EpCAM: SMA",0.11701282961347,0.105766200816385,0.127145433132262,100
"Unclass","SMA",0.192812985225099,0.175079890899319,0.178273624968821,100
"EpCAM","CD8",0.467380163660663,0.434538449645467,0.474560649151226,150
"EpCAM: SMA","CD8",0.306325112800207,0.295722156280626,0.362084414140497,150
"SMA","CD8",0.212427662045823,0.207754493784704,0.263405464955564,150
"Unclass","CD8",0.669612903908439,0.624512924355908,0.66910379145311,150
"EpCAM: SMA","EpCAM",0.210826177470431,0.213599991686196,0.226228323260532,150
"SMA","EpCAM",0.125176733954502,0.120160916752661,0.141302479096902,150
"Unclass","EpCAM",0.528397600704727,0.528512879514692,0.532695857887475,150
"SMA","EpCAM: SMA",0.334515556271683,0.309636644400694,0.3888020152132,150
"Unclass","EpCAM: SMA",0.213344382590187,0.195211525095072,0.229098073477745,150
"Unclass","SMA",0.297178135730726,0.298676140456472,0.338127773111795,150
"EpCAM","CD8",0.510704274133774,0.504673672219006,0.509707453587501,200
"EpCAM: SMA","CD8",0.379674639241913,0.341226806713391,0.40985477679639,200
"SMA","CD8",0.286182533395526,0.255972441609881,0.34251952747893,200
"Unclass","CD8",0.693955828594035,0.690114983710273,0.690583032004703,200
"EpCAM: SMA","EpCAM",0.232267342982697,0.193953255854406,0.263745012772293,200
"SMA","EpCAM",0.154883600207333,0.134064310587249,0.191422308672713,200
"Unclass","EpCAM",0.586642929227083,0.587555419276568,0.588873575149361,200
"SMA","EpCAM: SMA",0.371783767215544,0.316121371074064,0.469234619019065,200
"Unclass","EpCAM: SMA",0.223371976943194,0.164382280411276,0.223546429214503,200
"Unclass","SMA",0.356860379600624,0.333019351770339,0.38882368518192,200
"EpCAM","CD8",0.574421223877546,0.572373911790522,0.595032719757924,250
"EpCAM: SMA","CD8",0.362542685421374,0.336810240771486,0.345122404408705,250
"SMA","CD8",0.297307556421763,0.266268925510287,0.344949276266371,250
"Unclass","CD8",0.751713124869326,0.743789288684911,0.786188378830382,250
"EpCAM: SMA","EpCAM",0.300320419343598,0.282327923874189,0.291095824019191,250
"SMA","EpCAM",0.170603233577543,0.139607346262436,0.230954815637094,250
"Unclass","EpCAM",0.601190582213496,0.593106526218811,0.594713970410259,250
"SMA","EpCAM: SMA",0.408773629285302,0.359427436974815,0.464115042723536,250
"Unclass","EpCAM: SMA",0.280979483459146,0.251254512605612,0.281250358636679,250
"Unclass","SMA",0.400348214908099,0.337197423877995,0.463801554297735,250
"EpCAM","CD8",0.57733723402783,0.579800677641737,0.57640649064988,300
"EpCAM: SMA","CD8",0.440534128846629,0.378171944499238,0.492162952466773,300
"SMA","CD8",0.335102887491456,0.295593239618572,0.368483690725627,300
"Unclass","CD8",0.762811859153384,0.763099904462722,0.794899919231572,300
"EpCAM: SMA","EpCAM",0.301885246809272,0.272366263288777,0.308038683837199,300
"SMA","EpCAM",0.244496122603857,0.205437564591177,0.282245651580182,300
"Unclass","EpCAM",0.617356026389817,0.61703729156123,0.620712598250197,300
"SMA","EpCAM: SMA",0.402518890604683,0.337964520497708,0.472007725643531,300
"Unclass","EpCAM: SMA",0.3087734122774,0.258197932380262,0.351366782868875,300
