"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.240472443964707,0.234384308552453,0.24657938266729,50
"EpCAM: SMA","CD8",0.0844591354955323,0.0822311132104242,0.0794591278704124,50
"SMA","CD8",0.028331274847231,0.0311427202985745,0.0338096320669664,50
"Unclass","CD8",0.257428645154963,0.245982731810156,0.263407212910108,50
"EpCAM: SMA","EpCAM",0.0771802655827227,0.0783579683076621,0.0720899111461799,50
"SMA","EpCAM",0.01221322947063,0.0129738806880274,0.0119348297347393,50
"Unclass","EpCAM",0.454405069636933,0.450363510292144,0.460617584878394,50
"SMA","EpCAM: SMA",0.0741830875691318,0.0826600696062436,0.0836641334030115,50
"Unclass","EpCAM: SMA",0.0125404959002488,0.0130563569969058,0.0113996216266561,50
"Unclass","SMA",0.039346999739431,0.0404687717644057,0.0393307686996681,50
"EpCAM","CD8",0.517898436172895,0.508688693722097,0.523500356043922,100
"EpCAM: SMA","CD8",0.12848852578576,0.118505944179081,0.120216171191664,100
"SMA","CD8",0.0679683165776304,0.0514580268699571,0.073027188356404,100
"Unclass","CD8",0.50454110983295,0.49290654772483,0.521184676376111,100
"EpCAM: SMA","EpCAM",0.123100226033911,0.120054317856572,0.128127347873268,100
"SMA","EpCAM",0.038633572481082,0.0382633860411167,0.0433358747394085,100
"Unclass","EpCAM",0.628738748491783,0.625422510508175,0.634242151639013,100
"SMA","EpCAM: SMA",0.135902678612684,0.12067219336549,0.154640372337551,100
"Unclass","EpCAM: SMA",0.0228538841157208,0.0231720379062175,0.025679293746939,100
"Unclass","SMA",0.0852215750798834,0.0876393715175571,0.0855577388258042,100
"EpCAM","CD8",0.677104279711371,0.66045531601504,0.698624913790479,150
"EpCAM: SMA","CD8",0.157568016326313,0.155799106697477,0.16659822240353,150
"SMA","CD8",0.0985770085283672,0.0838041493337647,0.104050043607495,150
"Unclass","CD8",0.638515349593138,0.630436608016474,0.642945718344992,150
"EpCAM: SMA","EpCAM",0.146331728612456,0.1458263981646,0.148053165849468,150
"SMA","EpCAM",0.0664028514163791,0.0577114918576984,0.0682968578190196,150
"Unclass","EpCAM",0.699288589011457,0.700289382862433,0.695717054191398,150
"SMA","EpCAM: SMA",0.154025817114854,0.126979452543071,0.188731392665075,150
"Unclass","EpCAM: SMA",0.0278135969797243,0.0278725252434813,0.027976308786208,150
"Unclass","SMA",0.132733261791078,0.123110211385938,0.13438473605946,150
"EpCAM","CD8",0.743602340944354,0.703081020476172,0.740460579852307,200
"EpCAM: SMA","CD8",0.16704090919141,0.158797260817002,0.173807466018836,200
"SMA","CD8",0.157418751244494,0.180791875479833,0.186206654135719,200
"Unclass","CD8",0.698907822403598,0.682155726006628,0.707883625961403,200
"EpCAM: SMA","EpCAM",0.160037869090481,0.156174611277997,0.17153194759061,200
"SMA","EpCAM",0.100379998064085,0.105289372194896,0.114786790493727,200
"Unclass","EpCAM",0.732627701885393,0.733599177829741,0.735454116980064,200
"SMA","EpCAM: SMA",0.199168187895667,0.227637323158742,0.275829296036972,200
"Unclass","EpCAM: SMA",0.0318847513051465,0.03118019528889,0.0365064464179235,200
"Unclass","SMA",0.184146167854422,0.190275192807291,0.177524737157578,200
"EpCAM","CD8",0.813813476813873,0.800105603820693,0.835089630076687,250
"EpCAM: SMA","CD8",0.17194713671695,0.158770623079006,0.163948767664347,250
"SMA","CD8",0.163604170322182,0.14312130850522,0.179148960917101,250
"Unclass","CD8",0.756493327578111,0.750563294977595,0.768348472483158,250
"EpCAM: SMA","EpCAM",0.164604586906182,0.167807539271443,0.166738690574192,250
"SMA","EpCAM",0.119473490349251,0.102485096321361,0.130564731709496,250
"Unclass","EpCAM",0.752959910518844,0.755311812007126,0.754148036382388,250
"SMA","EpCAM: SMA",0.184503849293572,0.160929865929249,0.176024297515432,250
"Unclass","EpCAM: SMA",0.0350722068655168,0.0361271983917485,0.0326149179690574,250
"Unclass","SMA",0.199767258783656,0.171673382593738,0.217426334298518,250
"EpCAM","CD8",0.835898845479158,0.816030655178908,0.84546603438177,300
"EpCAM: SMA","CD8",0.203919358856159,0.204753122921047,0.209650860328334,300
"SMA","CD8",0.187644443405265,0.176559571359512,0.219524214292764,300
"Unclass","CD8",0.762061376509328,0.743571503606359,0.775125096672723,300
"EpCAM: SMA","EpCAM",0.193976090704027,0.197040565020361,0.186499304998943,300
"SMA","EpCAM",0.128931139964368,0.116830982592697,0.153787496144809,300
"Unclass","EpCAM",0.771227262114545,0.770893240888981,0.771111409275667,300
"SMA","EpCAM: SMA",0.176745207023657,0.176112742850456,0.202905716400386,300
"Unclass","EpCAM: SMA",0.0433473441018464,0.0453397194000109,0.039114793422315,300
"Unclass","SMA",0.218226272404053,0.208227056200526,0.254783445188305,300
"EpCAM","CD8",0.87284557885792,0.87025823873681,0.872359077558329,350
"EpCAM: SMA","CD8",0.213501559273675,0.224918252184053,0.22120211678595,350
"SMA","CD8",0.191047735401981,0.151170901153961,0.233128675678078,350
"Unclass","CD8",0.792400519870006,0.77596407617786,0.785435092553626,350
"EpCAM: SMA","EpCAM",0.199135965757253,0.197800861249135,0.203230286240976,350
"SMA","EpCAM",0.142182396436043,0.117689996844238,0.178944953731655,350
"Unclass","EpCAM",0.786473780565358,0.787146660085233,0.787410011736113,350
"SMA","EpCAM: SMA",0.216452713779475,0.187162520297736,0.302021677031278,350
"Unclass","EpCAM: SMA",0.0483835080694826,0.0479495647309862,0.0478403725065178,350
"Unclass","SMA",0.229049756025629,0.187566269297092,0.271839233017863,350
"EpCAM","CD8",0.879871033402147,0.879167690167951,0.885726840448095,400
"EpCAM: SMA","CD8",0.23588542437381,0.239436277437353,0.235190277453273,400
"SMA","CD8",0.235976730747776,0.181053276261098,0.282159548518189,400
"Unclass","CD8",0.813044826668303,0.803609966603483,0.827232602794351,400
"EpCAM: SMA","EpCAM",0.217962590810428,0.219640677185427,0.220617291463897,400
"SMA","EpCAM",0.169180123818388,0.122107212901921,0.195490018335669,400
"Unclass","EpCAM",0.800323319990319,0.802566094782283,0.805500594585946,400
"SMA","EpCAM: SMA",0.199058482017406,0.185155492022922,0.185280039846231,400
"Unclass","EpCAM: SMA",0.0583694817471268,0.0633559404012105,0.0613965381999128,400
"Unclass","SMA",0.281653674099777,0.207260802589074,0.34010169977158,400
"EpCAM","CD8",0.901771691685965,0.888955800494401,0.906251285475021,450
"EpCAM: SMA","CD8",0.229999623848933,0.24881289669998,0.225359492123796,450
"SMA","CD8",0.225172280269584,0.211595312163739,0.272487010870609,450
"Unclass","CD8",0.825368340111691,0.806919031989346,0.82754628893047,450
"EpCAM: SMA","EpCAM",0.208990852341039,0.210629978880149,0.208227147440546,450
"SMA","EpCAM",0.159459839967368,0.149002568471309,0.2144068231955,450
"Unclass","EpCAM",0.815714825771315,0.81260552393654,0.817314979505727,450
"SMA","EpCAM: SMA",0.205957658477516,0.159926699092295,0.215653133994288,450
"Unclass","EpCAM: SMA",0.0547679623996258,0.0533090140635239,0.0532896219482497,450
"Unclass","SMA",0.271274236570007,0.271094853989528,0.325146421336447,450
"EpCAM","CD8",0.90396645358523,0.901764938409521,0.902796542033304,500
"EpCAM: SMA","CD8",0.236633243619138,0.229163383559374,0.246917160142819,500
"SMA","CD8",0.243427339426722,0.187982113255455,0.297978794543569,500
"Unclass","CD8",0.840212022131066,0.838294327325003,0.840995990765142,500
"EpCAM: SMA","EpCAM",0.213242079175419,0.213259988510407,0.227241777338309,500
"SMA","EpCAM",0.166759084625324,0.134001546500703,0.201337530777465,500
"Unclass","EpCAM",0.818888752580117,0.818588327151096,0.81669960645673,500
"SMA","EpCAM: SMA",0.179751357301051,0.138908170595426,0.208910241498741,500
"Unclass","EpCAM: SMA",0.065951950214363,0.0648762111717766,0.0758294103116096,500
"Unclass","SMA",0.298383036020687,0.254189190350689,0.354672579578866,500
