"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.0727182182345109,0.0722068157102349,0.0736970980552688,50
"SMA","CD8",0.172073187854979,0.169748630981649,0.174044179943388,50
"Unclass","CD8",0.125215232461089,0.123755107396895,0.126934897364759,50
"SMA","EpCAM",0.448468867662659,0.449262553089728,0.448077730055057,50
"Unclass","EpCAM",0.244580578521098,0.244099661951524,0.24490251305302,50
"Unclass","SMA",0.360709845078829,0.358818982613305,0.362180503738223,50
"EpCAM","CD8",0.154375628471839,0.153474086748863,0.156543435416916,100
"SMA","CD8",0.270208859731182,0.269650197856791,0.273404191781836,100
"Unclass","CD8",0.199201863339096,0.198890016139567,0.200771312912158,100
"SMA","EpCAM",0.627614588945894,0.626902967958307,0.628113206060575,100
"Unclass","EpCAM",0.356160931073167,0.354283082039359,0.356035611742204,100
"Unclass","SMA",0.449646472930303,0.448325742618279,0.450005415977434,100
"EpCAM","CD8",0.217104193359104,0.215466564883092,0.220498607999355,150
"SMA","CD8",0.32901288067251,0.325964226695729,0.333203777143876,150
"Unclass","CD8",0.244983982677037,0.241258624381745,0.248224427485025,150
"SMA","EpCAM",0.703843603390591,0.703186195890183,0.704215477403472,150
"Unclass","EpCAM",0.411217771567345,0.410940760103922,0.410799330727672,150
"Unclass","SMA",0.487898322981106,0.487901878578825,0.487214999867821,150
"EpCAM","CD8",0.266582979498341,0.263165122989627,0.271236621690507,200
"SMA","CD8",0.374188971371211,0.370119050612572,0.376954460047912,200
"Unclass","CD8",0.278262592783395,0.274989623038629,0.280092376011097,200
"SMA","EpCAM",0.745685418081339,0.745011068293658,0.74598448283927,200
"Unclass","EpCAM",0.442165016487921,0.441892915018515,0.442063328577189,200
"Unclass","SMA",0.510629763486107,0.511346807593357,0.511315391967019,200
"EpCAM","CD8",0.30390131688508,0.302781304711118,0.307977783868652,250
"SMA","CD8",0.403003341305765,0.401163012821896,0.408207944665813,250
"Unclass","CD8",0.298523931706878,0.296735370381629,0.300696985544856,250
"SMA","EpCAM",0.775391121825573,0.773942621136116,0.774919385133581,250
"Unclass","EpCAM",0.466342540935303,0.464649118568204,0.466731208910923,250
"Unclass","SMA",0.527436190051516,0.525807738222121,0.527760036291732,250
"EpCAM","CD8",0.340600775765842,0.338764601640911,0.343116052726459,300
"SMA","CD8",0.438054749506532,0.434363144434413,0.442283919345326,300
"Unclass","CD8",0.323316795568553,0.319451402105682,0.326985611443042,300
"SMA","EpCAM",0.792784681988135,0.791623621686179,0.794041258875748,300
"Unclass","EpCAM",0.483501161369814,0.482850789740336,0.483103306464367,300
"Unclass","SMA",0.540993658028591,0.540914259584764,0.540672386205234,300
"EpCAM","CD8",0.372471213657844,0.368066153246878,0.376806608793737,350
"SMA","CD8",0.462957207841872,0.459935834148537,0.467066956948139,350
"Unclass","CD8",0.34523341247939,0.344054616742947,0.348573002313473,350
"SMA","EpCAM",0.810272626890704,0.80992543281771,0.809596220291037,350
"Unclass","EpCAM",0.497491520238124,0.49678464822106,0.497599047506813,350
"Unclass","SMA",0.551593178464965,0.549834711706287,0.552705248871775,350
"EpCAM","CD8",0.401813847434642,0.398239453993936,0.404290726923862,400
"SMA","CD8",0.49036763873044,0.486090062327485,0.49250057315416,400
"Unclass","CD8",0.361093528949133,0.359144521746838,0.364464452426774,400
"SMA","EpCAM",0.824106659349173,0.822883614653251,0.825062807895147,400
"Unclass","EpCAM",0.51004306150523,0.509627392273071,0.512021634648588,400
"Unclass","SMA",0.562210445369591,0.562264058091964,0.563064276285532,400
"EpCAM","CD8",0.427094498364313,0.423466401279052,0.431388841025621,450
"SMA","CD8",0.510400438600673,0.505928830355387,0.514374604944529,450
"Unclass","CD8",0.377640847458414,0.374136484598036,0.38044810916569,450
"SMA","EpCAM",0.830712182152044,0.83204641786372,0.831471093010532,450
"Unclass","EpCAM",0.517673333951322,0.516402286197707,0.518034024514842,450
"Unclass","SMA",0.570724808710236,0.569217759240392,0.57051123319583,450
"EpCAM","CD8",0.444750713100543,0.440415679894556,0.449481329071407,500
"SMA","CD8",0.524909888352897,0.518721852391407,0.528207847935726,500
"Unclass","CD8",0.388298230626961,0.383533859322552,0.391116703183466,500
"SMA","EpCAM",0.841302235697837,0.84093275097935,0.840665878433998,500
"Unclass","EpCAM",0.525398507317171,0.526776860230132,0.526816808574607,500
"Unclass","SMA",0.577430416352995,0.578954007594243,0.578226662826411,500
