"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.202373683616612,0.200340943176446,0.20492375585979,50
"EpCAM: SMA","CD8",0.142757946829682,0.143654490233094,0.142114816410909,50
"SMA","CD8",0.293959798153973,0.291978168997517,0.295475490688221,50
"Unclass","CD8",0.438881898649127,0.436128360659711,0.444701808995913,50
"EpCAM: SMA","EpCAM",0.324295019511085,0.322052431456369,0.323982152484813,50
"SMA","EpCAM",0.340632495543008,0.33867670739998,0.34106444722607,50
"Unclass","EpCAM",0.368224614349583,0.369384988419673,0.366689569228768,50
"SMA","EpCAM: SMA",0.381817797187369,0.377839707072999,0.385836422304912,50
"Unclass","EpCAM: SMA",0.149360685701418,0.148133494833722,0.149080626003436,50
"Unclass","SMA",0.397389142104365,0.398290772342277,0.397236654287688,50
"EpCAM","CD8",0.312350604780157,0.311377764741968,0.3178876837535,100
"EpCAM: SMA","CD8",0.220322291073193,0.217993966765277,0.225155066414833,100
"SMA","CD8",0.397396129139763,0.394684077161497,0.403034442824387,100
"Unclass","CD8",0.56815291822543,0.565071870661139,0.574574069782093,100
"EpCAM: SMA","EpCAM",0.475043032747236,0.469484972544826,0.471261618312708,100
"SMA","EpCAM",0.524421100867481,0.524908445309604,0.524324505463982,100
"Unclass","EpCAM",0.542839857783191,0.544820235911655,0.540992326369553,100
"SMA","EpCAM: SMA",0.544138249308385,0.539167096289848,0.545310443317526,100
"Unclass","EpCAM: SMA",0.23916423012161,0.237712071925139,0.240574223088967,100
"Unclass","SMA",0.511505782026276,0.510169115555893,0.513486562053553,100
"EpCAM","CD8",0.368825752742308,0.366259091599116,0.368966986520394,150
"EpCAM: SMA","CD8",0.256736450415137,0.257430392732439,0.259617583259478,150
"SMA","CD8",0.441218673931989,0.439661126651529,0.446702303899339,150
"Unclass","CD8",0.618619668895367,0.616210871151383,0.621975826164953,150
"EpCAM: SMA","EpCAM",0.531413576651703,0.525790367059554,0.533194714437903,150
"SMA","EpCAM",0.600960319913112,0.598125303753677,0.603368517451375,150
"Unclass","EpCAM",0.62186580199314,0.623303521590238,0.624245750993057,150
"SMA","EpCAM: SMA",0.611881730089571,0.607104465550609,0.612604753569403,150
"Unclass","EpCAM: SMA",0.2871153591395,0.286256336998823,0.287792787316848,150
"Unclass","SMA",0.558068173334894,0.557646388109869,0.558017592404213,150
"EpCAM","CD8",0.408096217105301,0.408399103375884,0.40819967763594,200
"EpCAM: SMA","CD8",0.280567794120776,0.276337716663169,0.282191504354557,200
"SMA","CD8",0.466204789886333,0.46145442759317,0.467851651742451,200
"Unclass","CD8",0.646010947966937,0.641760538501508,0.649690462064187,200
"EpCAM: SMA","EpCAM",0.564604495175341,0.562445117502435,0.568808725926605,200
"SMA","EpCAM",0.643315848937347,0.641310040574609,0.644179079808244,200
"Unclass","EpCAM",0.665273608146047,0.666246674151503,0.665291137952481,200
"SMA","EpCAM: SMA",0.64657840921812,0.646704403497032,0.649550270702448,200
"Unclass","EpCAM: SMA",0.317653024781549,0.315570851871742,0.322485104570967,200
"Unclass","SMA",0.582077319910821,0.578944550084137,0.583525723119379,200
"EpCAM","CD8",0.435343638426527,0.431042070326617,0.434259491142959,250
"EpCAM: SMA","CD8",0.300368679418402,0.297299808244047,0.303511649077778,250
"SMA","CD8",0.48072180874578,0.478037778619529,0.484657867293584,250
"Unclass","CD8",0.665964863983904,0.663586288738728,0.668483612465952,250
"EpCAM: SMA","EpCAM",0.585335903171871,0.580706528344702,0.589932415126492,250
"SMA","EpCAM",0.66929239142117,0.667719337000527,0.670378228517568,250
"Unclass","EpCAM",0.69736164026783,0.698540657296614,0.697426202543631,250
"SMA","EpCAM: SMA",0.672418110426149,0.668675932557562,0.674907716493396,250
"Unclass","EpCAM: SMA",0.340098064563138,0.339608251902647,0.34088591241589,250
"Unclass","SMA",0.602069930105403,0.602421343046018,0.604622855070758,250
"EpCAM","CD8",0.459255798387837,0.451696231166938,0.461809853554348,300
"EpCAM: SMA","CD8",0.314002857145128,0.307461526452659,0.316686963457353,300
"SMA","CD8",0.497047179050358,0.492148095697653,0.494051785451836,300
"Unclass","CD8",0.685728109725929,0.679154134578347,0.686131211194233,300
"EpCAM: SMA","EpCAM",0.599509797509161,0.598441345611351,0.604215056297711,300
"SMA","EpCAM",0.690113494084915,0.692387971820098,0.690899654011424,300
"Unclass","EpCAM",0.719206840220556,0.720076403994703,0.718793055027986,300
"SMA","EpCAM: SMA",0.687170043770572,0.686670917151586,0.693232763925369,300
"Unclass","EpCAM: SMA",0.35644898271354,0.353768204530807,0.363709721746382,300
"Unclass","SMA",0.617891901172945,0.61754959938481,0.620833640500127,300
"EpCAM","CD8",0.493652203212624,0.490211584310688,0.495903488391415,350
"EpCAM: SMA","CD8",0.337364745580799,0.335639378941747,0.337395366709293,350
"SMA","CD8",0.512341056154666,0.510543139172044,0.514522571653515,350
"Unclass","CD8",0.699358247401148,0.695298563121609,0.699881524710582,350
"EpCAM: SMA","EpCAM",0.609170562959395,0.610131156411974,0.615036022360643,350
"SMA","EpCAM",0.707323784906247,0.705725702620841,0.708026812223807,350
"Unclass","EpCAM",0.746084378444449,0.742330906054229,0.749562623549881,350
"SMA","EpCAM: SMA",0.703415402906547,0.701729433807408,0.706678920311242,350
"Unclass","EpCAM: SMA",0.377956860720935,0.378440521114383,0.382228653966556,350
"Unclass","SMA",0.628124868513894,0.6242949514376,0.628455506819643,350
"EpCAM","CD8",0.507339520749662,0.503842953948846,0.509634448656196,400
"EpCAM: SMA","CD8",0.345500329043948,0.341787686749829,0.348340156072203,400
"SMA","CD8",0.51999370924983,0.515845369736803,0.523687248337926,400
"Unclass","CD8",0.707975326888487,0.706331648698619,0.70978266816585,400
"EpCAM: SMA","EpCAM",0.618298991183758,0.616496268371475,0.620015810575209,400
"SMA","EpCAM",0.715667613567358,0.713009956910672,0.715737863334609,400
"Unclass","EpCAM",0.761565912348176,0.761978530893167,0.765392177735966,400
"SMA","EpCAM: SMA",0.712841140710352,0.710663190416184,0.715479274341483,400
"Unclass","EpCAM: SMA",0.388897664127124,0.387414904192563,0.391027597511167,400
"Unclass","SMA",0.638823176014847,0.637070019682174,0.640500934783252,400
"EpCAM","CD8",0.514486426007783,0.509099399442932,0.518152968329703,450
"EpCAM: SMA","CD8",0.354484311762154,0.348554072090888,0.361818180091719,450
"SMA","CD8",0.52583087988789,0.523240947560066,0.531968045192027,450
"Unclass","CD8",0.715563098275821,0.713177966077563,0.71832482395992,450
"EpCAM: SMA","EpCAM",0.630496277107076,0.627796603502609,0.631962114463399,450
"SMA","EpCAM",0.723069615512443,0.722300490610823,0.723299146898712,450
"Unclass","EpCAM",0.767747756483804,0.767180887129951,0.767660564910916,450
"SMA","EpCAM: SMA",0.719490756799046,0.714049877537679,0.720871876099831,450
"Unclass","EpCAM: SMA",0.400484397392435,0.399522223099772,0.402855885670717,450
"Unclass","SMA",0.650046323949108,0.652005779031378,0.650787270018162,450
"EpCAM","CD8",0.544617226314173,0.541407098628912,0.549631481070159,500
"EpCAM: SMA","CD8",0.361507289390817,0.357638084918599,0.362869503572285,500
"SMA","CD8",0.536274168874399,0.530901109961968,0.540256289138987,500
"Unclass","CD8",0.729894155215491,0.7278740209131,0.737447691221779,500
"EpCAM: SMA","EpCAM",0.635558770177018,0.632982082896354,0.63708257630761,500
"SMA","EpCAM",0.737575951168795,0.737960247785617,0.737864815917832,500
"Unclass","EpCAM",0.78472418565897,0.784572560528508,0.785893592062534,500
"SMA","EpCAM: SMA",0.726432101384276,0.723632409370954,0.722852258630648,500
"Unclass","EpCAM: SMA",0.40804683336175,0.407913007947699,0.409277847499872,500
"Unclass","SMA",0.656329134264355,0.653641357410495,0.658558090235826,500
