"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.148116790183888,0.148945825425227,0.14966731473412,50
"EpCAM: SMA","CD8",0.145255415390393,0.142110569425007,0.149429600104958,50
"SMA","CD8",0.212246253573476,0.214969663235002,0.214208587678875,50
"Unclass","CD8",0.364081636405176,0.367064445743704,0.369035869181183,50
"EpCAM: SMA","EpCAM",0.449593151086469,0.445482509001245,0.452156251636293,50
"SMA","EpCAM",0.281846387425061,0.273240515429355,0.285146281546867,50
"Unclass","EpCAM",0.352677046521882,0.351361082521785,0.352577598856678,50
"SMA","EpCAM: SMA",0.468992156130282,0.462325181503429,0.475845637067283,50
"Unclass","EpCAM: SMA",0.24714570719682,0.244264745749933,0.248279366168998,50
"Unclass","SMA",0.348250956526081,0.336687000792933,0.354898638359844,50
"EpCAM","CD8",0.226640105728426,0.225216553317951,0.236938134939154,100
"EpCAM: SMA","CD8",0.197879865234094,0.194691496730567,0.204179523331339,100
"SMA","CD8",0.290250950796134,0.286111951355099,0.299207976407223,100
"Unclass","CD8",0.495692957524182,0.49377177756284,0.510514896761297,100
"EpCAM: SMA","EpCAM",0.606209417182174,0.602658361719141,0.604286328555062,100
"SMA","EpCAM",0.484348943908797,0.473015272713034,0.492226050540051,100
"Unclass","EpCAM",0.519643860615373,0.520273611293619,0.516593640517605,100
"SMA","EpCAM: SMA",0.678979806923248,0.672372204570316,0.685937577068143,100
"Unclass","EpCAM: SMA",0.347005174519591,0.343998922795943,0.344355645102855,100
"Unclass","SMA",0.479508549419112,0.473144448774029,0.481284730747898,100
"EpCAM","CD8",0.264129276925775,0.246587789603683,0.275136535807486,150
"EpCAM: SMA","CD8",0.218493614977678,0.203770824066125,0.227484404634745,150
"SMA","CD8",0.329381638606517,0.31405077065299,0.331473489478765,150
"Unclass","CD8",0.558607400767908,0.545278418318029,0.576023479959611,150
"EpCAM: SMA","EpCAM",0.664352775781794,0.659329175311949,0.662817358394548,150
"SMA","EpCAM",0.572473599523247,0.571629229313204,0.57535708628895,150
"Unclass","EpCAM",0.594508767169455,0.593844394779009,0.591823563864452,150
"SMA","EpCAM: SMA",0.764032873385267,0.764042466645593,0.768298671189152,150
"Unclass","EpCAM: SMA",0.40214459230669,0.399305731663144,0.406548007968376,150
"Unclass","SMA",0.53279480587905,0.53460782203338,0.543260210450239,150
"EpCAM","CD8",0.294291673348023,0.280095724549344,0.295026214198034,200
"EpCAM: SMA","CD8",0.234610002929214,0.225067760837402,0.236878440116103,200
"SMA","CD8",0.350532174208352,0.334978377095769,0.355280994493531,200
"Unclass","CD8",0.611587429529901,0.590797310654331,0.609912457285713,200
"EpCAM: SMA","EpCAM",0.699832403745136,0.697787705091409,0.704039499471354,200
"SMA","EpCAM",0.623686476633899,0.618120175745654,0.638589267406382,200
"Unclass","EpCAM",0.637039588768998,0.641567307757064,0.644045696188221,200
"SMA","EpCAM: SMA",0.806903028453459,0.803442001957351,0.812421032420549,200
"Unclass","EpCAM: SMA",0.436468439198967,0.439529345647022,0.43945239563238,200
"Unclass","SMA",0.57202429807479,0.570628976898687,0.5780857605837,200
"EpCAM","CD8",0.319096961224175,0.310323565633888,0.326184572939689,250
"EpCAM: SMA","CD8",0.251308584755808,0.240923108579447,0.260537920698521,250
"SMA","CD8",0.367379961125394,0.357433330483742,0.379368605032463,250
"Unclass","CD8",0.634440752554161,0.631176637617127,0.653646443391394,250
"EpCAM: SMA","EpCAM",0.72041151668158,0.718312890725666,0.720734241715277,250
"SMA","EpCAM",0.660977160754447,0.658035438464494,0.67609249020911,250
"Unclass","EpCAM",0.668116114893356,0.663958401991665,0.662747754947261,250
"SMA","EpCAM: SMA",0.839364768208292,0.833213831887452,0.843076152322789,250
"Unclass","EpCAM: SMA",0.461024214178208,0.457317343601084,0.458306924602998,250
"Unclass","SMA",0.585564839821863,0.572693519996609,0.587231530457806,250
"EpCAM","CD8",0.349770254204507,0.336472608541456,0.3574421272625,300
"EpCAM: SMA","CD8",0.265618501465352,0.256376024700079,0.272986566400048,300
"SMA","CD8",0.397084840387117,0.386912656136399,0.40172039352088,300
"Unclass","CD8",0.685614844015368,0.670084023612539,0.699776578388339,300
"EpCAM: SMA","EpCAM",0.734926127747222,0.727673490095735,0.737728110363981,300
"SMA","EpCAM",0.694902518349134,0.686919647699425,0.702537369137305,300
"Unclass","EpCAM",0.685792447728652,0.683818829665582,0.689980234014629,300
"SMA","EpCAM: SMA",0.8582903689943,0.857165164555614,0.862131586882824,300
"Unclass","EpCAM: SMA",0.479289614219241,0.480109582154087,0.48644590735331,300
"Unclass","SMA",0.611213268719326,0.609541001978281,0.610210366938934,300
"EpCAM","CD8",0.359426250399074,0.34822557673934,0.365774224948797,350
"EpCAM: SMA","CD8",0.276246900130165,0.265842332230999,0.286459653533114,350
"SMA","CD8",0.399041374219971,0.381888177173722,0.417878081509999,350
"Unclass","CD8",0.729856260332873,0.719902844931141,0.742137773913616,350
"EpCAM: SMA","EpCAM",0.749340320352122,0.745191066127188,0.754343364329393,350
"SMA","EpCAM",0.710271398883123,0.707053978085856,0.716058284146414,350
"Unclass","EpCAM",0.708460791971897,0.704298128078049,0.704645893065427,350
"SMA","EpCAM: SMA",0.877670248514467,0.883313043279919,0.876953597098333,350
"Unclass","EpCAM: SMA",0.507220296653099,0.507297016896321,0.507175998555957,350
"Unclass","SMA",0.618999808600487,0.610714636019018,0.627454656656753,350
"EpCAM","CD8",0.372928274216013,0.367686113456327,0.383430213878021,400
"EpCAM: SMA","CD8",0.283578642580953,0.279367607051839,0.288550384372183,400
"SMA","CD8",0.405838156766441,0.403837502830428,0.412712897124551,400
"Unclass","CD8",0.724147264824525,0.726823049706768,0.740426496657983,400
"EpCAM: SMA","EpCAM",0.769956530620403,0.768851711881961,0.768240442857546,400
"SMA","EpCAM",0.741039881143722,0.731168939122596,0.742989281083302,400
"Unclass","EpCAM",0.731977072115769,0.727786565293073,0.737140741546942,400
"SMA","EpCAM: SMA",0.893517127628392,0.881567785147907,0.894069800752419,400
"Unclass","EpCAM: SMA",0.536436480304714,0.530387681586126,0.54209308747538,400
"Unclass","SMA",0.653497035449358,0.650675591632529,0.65888266660602,400
"EpCAM","CD8",0.372805132257926,0.355448490610666,0.391676267236755,450
"EpCAM: SMA","CD8",0.286488468792811,0.275933434781795,0.302117626181645,450
"SMA","CD8",0.399131690047335,0.392328363739474,0.41973413141559,450
"Unclass","CD8",0.729840187905982,0.713333573232427,0.743901465614967,450
"EpCAM: SMA","EpCAM",0.776129607470994,0.774796212148476,0.773528505925338,450
"SMA","EpCAM",0.748310891861134,0.746599811491053,0.752103179947895,450
"Unclass","EpCAM",0.737053670823035,0.737435094007367,0.734842278519977,450
"SMA","EpCAM: SMA",0.904316418332728,0.902029910060212,0.905314811108868,450
"Unclass","EpCAM: SMA",0.540103202753629,0.539442138220654,0.536961128221324,450
"Unclass","SMA",0.63739241572414,0.634815099729233,0.642255819892239,450
"EpCAM","CD8",0.435862566625784,0.429686690872041,0.438231307421891,500
"EpCAM: SMA","CD8",0.324246794409283,0.317578019063947,0.330203214396583,500
"SMA","CD8",0.463318032814612,0.462648283056758,0.460930701170852,500
"Unclass","CD8",0.828561381497688,0.82580169650571,0.827026025529751,500
"EpCAM: SMA","EpCAM",0.790557901155645,0.792761275813729,0.799364258669238,500
"SMA","EpCAM",0.75254152672606,0.743645174538601,0.761478514158041,500
"Unclass","EpCAM",0.744385979773546,0.738829406247894,0.752135468478218,500
"SMA","EpCAM: SMA",0.902652804460601,0.893841517642199,0.908576151060756,500
"Unclass","EpCAM: SMA",0.545241874959563,0.540776518533687,0.554305143943878,500
"Unclass","SMA",0.65350069054681,0.644836809801916,0.653429640337218,500
