"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.151926895046141,0.146592236957414,0.15678898788458,50
"Unclass","CD8",0.229376192444401,0.22407008660067,0.232987077476769,50
"Unclass","EpCAM",0.266804083161285,0.26701106063136,0.267992061794298,50
"EpCAM","CD8",0.255555919426519,0.247759548990786,0.262440725950518,100
"Unclass","CD8",0.364823874741276,0.352630281968449,0.371248408123559,100
"Unclass","EpCAM",0.358201162636465,0.36026446224048,0.360889007036701,100
"EpCAM","CD8",0.310208793115696,0.300473036778566,0.317830045902935,150
"Unclass","CD8",0.43795301041218,0.427934041244568,0.446974539674958,150
"Unclass","EpCAM",0.397271359613175,0.396364914797422,0.399797814996688,150
"EpCAM","CD8",0.359613877204496,0.349187737502626,0.367163469277556,200
"Unclass","CD8",0.485230973089606,0.472764842650571,0.500942921662969,200
"Unclass","EpCAM",0.426459254982886,0.424917342813515,0.424585701680865,200
"EpCAM","CD8",0.372987045801756,0.363660554133069,0.383160475643684,250
"Unclass","CD8",0.500466103481249,0.488075088357822,0.514763145972732,250
"Unclass","EpCAM",0.443212636273637,0.44265249134415,0.442703257109133,250
"EpCAM","CD8",0.427233930848408,0.420362039077324,0.435397000007023,300
"Unclass","CD8",0.571376554270079,0.557588626811699,0.582548481664748,300
"Unclass","EpCAM",0.460894547396963,0.461467518494984,0.462214756213902,300
"EpCAM","CD8",0.450744318029445,0.444422885373524,0.460066816342239,350
"Unclass","CD8",0.592178529904413,0.578241420311945,0.603121301475069,350
"Unclass","EpCAM",0.473474596503053,0.472615704755731,0.474191654496047,350
"EpCAM","CD8",0.453018229937297,0.443129994502208,0.461901858562407,400
"Unclass","CD8",0.581555077311893,0.566031151815129,0.592813557300541,400
"Unclass","EpCAM",0.484473069435099,0.487100368641789,0.486533935191901,400
"EpCAM","CD8",0.483909463204404,0.473957826654502,0.495293623526643,450
"Unclass","CD8",0.61360950507057,0.603112760731598,0.624816949348532,450
"Unclass","EpCAM",0.494868101255551,0.493208701697783,0.494349876756582,450
"EpCAM","CD8",0.481760130139812,0.475525917838474,0.495821827209859,500
"Unclass","CD8",0.625723596919532,0.610889291820165,0.631658244684972,500
"Unclass","EpCAM",0.501903094624862,0.502002703751617,0.504741118691765,500
