"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.132274790225585,0.130618352047622,0.136394070908595,50
"SMA","CD8",0.188074711582121,0.184115474174756,0.194889355694895,50
"Unclass","CD8",0.18206700678059,0.175570869042552,0.184028147004213,50
"SMA","EpCAM",0.495305196273061,0.495558185116078,0.495978654664564,50
"Unclass","EpCAM",0.13358569444258,0.133689293543022,0.133093601937032,50
"Unclass","SMA",0.285751365237996,0.283609263147312,0.286312968173203,50
"EpCAM","CD8",0.233718213321684,0.227942665267167,0.241200339473091,100
"SMA","CD8",0.321469965940725,0.312957301673564,0.330482451961542,100
"Unclass","CD8",0.312068309218758,0.301022021490542,0.321486834364261,100
"SMA","EpCAM",0.66979719209657,0.669454846304251,0.668590965524911,100
"Unclass","EpCAM",0.228915946725954,0.229244702532734,0.22826508340034,100
"Unclass","SMA",0.398695013296313,0.399824014399392,0.400313610583625,100
"EpCAM","CD8",0.300680166658347,0.29210322882718,0.306320659938951,150
"SMA","CD8",0.404193721998255,0.392799064642716,0.414840277818859,150
"Unclass","CD8",0.387327580645247,0.378143855914037,0.398167842811154,150
"SMA","EpCAM",0.733381136859887,0.732817236282167,0.734386431564681,150
"Unclass","EpCAM",0.283088255192468,0.284611038341767,0.284187164960935,150
"Unclass","SMA",0.457738222098806,0.456995628339512,0.458042675306858,150
"EpCAM","CD8",0.35460682729618,0.34779300917405,0.359449686701293,200
"SMA","CD8",0.466904254400708,0.454897147831443,0.47604625230304,200
"Unclass","CD8",0.461018414042277,0.449097392009707,0.475340071313275,200
"SMA","EpCAM",0.768787429657171,0.769572836374145,0.770246114188227,200
"Unclass","EpCAM",0.324039033884231,0.322418834221776,0.323559088805553,200
"Unclass","SMA",0.496530892823783,0.495876860562771,0.496027925771538,200
"EpCAM","CD8",0.392087058007126,0.384893201914064,0.402696408869795,250
"SMA","CD8",0.509186889388917,0.498992801042761,0.523544072525398,250
"Unclass","CD8",0.500136097272639,0.492202826884255,0.508516510439754,250
"SMA","EpCAM",0.791120051669207,0.791155152838412,0.789909245593359,250
"Unclass","EpCAM",0.350980995891652,0.347757111408129,0.35175415426334,250
"Unclass","SMA",0.526761137343141,0.522848308780536,0.527301166578684,250
"EpCAM","CD8",0.41082622243671,0.401461954982034,0.420398790285304,300
"SMA","CD8",0.534288219758257,0.521816041121489,0.545302319484673,300
"Unclass","CD8",0.517428567636077,0.510997124018343,0.530480977977431,300
"SMA","EpCAM",0.80304672040583,0.800906767774666,0.803641376857291,300
"Unclass","EpCAM",0.381559927832658,0.380429834039224,0.380587113062888,300
"Unclass","SMA",0.556313561541229,0.55638371975154,0.555974394593238,300
"EpCAM","CD8",0.456455667689417,0.445631802042244,0.46611843642588,350
"SMA","CD8",0.578613667444713,0.567066171829738,0.589692599743662,350
"Unclass","CD8",0.563725970409987,0.553004233485683,0.572198977869352,350
"SMA","EpCAM",0.817396417963339,0.815956499876649,0.817867241342575,350
"Unclass","EpCAM",0.400770943906029,0.401680127433752,0.402639979095001,350
"Unclass","SMA",0.573572577710346,0.574766391156539,0.574006255492631,350
"EpCAM","CD8",0.476723123696324,0.467928233607202,0.484876525929096,400
"SMA","CD8",0.608883799557865,0.600360502264512,0.618510308914869,400
"Unclass","CD8",0.594365224824716,0.581510008458897,0.609263082652132,400
"SMA","EpCAM",0.82430137184151,0.822947371422868,0.823993967383524,400
"Unclass","EpCAM",0.415412876508838,0.417435819168422,0.413894928197303,400
"Unclass","SMA",0.59072548301956,0.589415648707687,0.588032276526279,400
"EpCAM","CD8",0.491853080050459,0.486539453456455,0.498054437096409,450
"SMA","CD8",0.623163029791275,0.610217095623194,0.637593746719684,450
"Unclass","CD8",0.613093112750457,0.600076109887101,0.625016440266837,450
"SMA","EpCAM",0.831614774684941,0.832207767858428,0.82914689052381,450
"Unclass","EpCAM",0.439134423368776,0.442110631835085,0.437327235834032,450
"Unclass","SMA",0.611501816534811,0.611109163789653,0.612440831938301,450
"EpCAM","CD8",0.532025493202728,0.525577883722756,0.543172866317204,500
"SMA","CD8",0.658993402190732,0.647704722168622,0.671955205427216,500
"Unclass","CD8",0.646192328462707,0.635666889248553,0.647833412380635,500
"SMA","EpCAM",0.842729941722426,0.84192887903229,0.845220669137187,500
"Unclass","EpCAM",0.456726210050381,0.45600977927914,0.457228329490891,500
"Unclass","SMA",0.632052455866626,0.632501957488118,0.631301177320813,500
