"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.455103785449353,0.451481892790358,0.461198237532081,50
"EpCAM: SMA","CD8",0.0324868506261121,0.0362602425996803,0.0314155151868332,50
"SMA","CD8",0.134429442867321,0.122320031359898,0.148614800090535,50
"Unclass","CD8",0.453178487216414,0.444829496260173,0.456243207443146,50
"EpCAM: SMA","EpCAM",0.0291569350873527,0.031372462548133,0.0291888423841632,50
"SMA","EpCAM",0.109407659887408,0.104051455140745,0.115405564703916,50
"Unclass","EpCAM",0.477077219251698,0.473324411798094,0.47873906977566,50
"SMA","EpCAM: SMA",0.0366985691277106,0.0619023033996735,0.0385228684423936,50
"Unclass","EpCAM: SMA",0.0222493357816597,0.0227799788454382,0.0248061158418177,50
"Unclass","SMA",0.180671626243504,0.171081226248699,0.191741621365954,50
"EpCAM","CD8",0.683557049242825,0.676455995075,0.692516716067614,100
"EpCAM: SMA","CD8",0.096295262169993,0.0934224724405853,0.0926899566765825,100
"SMA","CD8",0.325887729856213,0.311644009841665,0.354094296775945,100
"Unclass","CD8",0.650602982782872,0.647272182556885,0.656708531825927,100
"EpCAM: SMA","EpCAM",0.0940736936642839,0.0894689575958713,0.0877333201813426,100
"SMA","EpCAM",0.27073300761194,0.263827711238106,0.280468516367414,100
"Unclass","EpCAM",0.63025228570727,0.626054054069214,0.629535034961082,100
"SMA","EpCAM: SMA",0.13512540562598,0.117300795051152,0.146893719257355,100
"Unclass","EpCAM: SMA",0.0801650008046372,0.0824792470220998,0.0789113428206138,100
"Unclass","SMA",0.398512776179433,0.388082740447835,0.407293271753596,100
"EpCAM","CD8",0.767514188959579,0.763222895737117,0.769646106354625,150
"EpCAM: SMA","CD8",0.18963387491119,0.169598942881833,0.214773733388169,150
"SMA","CD8",0.452095314033393,0.422894038727531,0.484888158191354,150
"Unclass","CD8",0.737927907089964,0.737999597138263,0.747520770651834,150
"EpCAM: SMA","EpCAM",0.181998699052256,0.170932435585627,0.205984202896249,150
"SMA","EpCAM",0.384371817811649,0.367709837601938,0.394431295186401,150
"Unclass","EpCAM",0.697669749448178,0.695697877402123,0.697495941913032,150
"SMA","EpCAM: SMA",0.264728684427413,0.234116905087191,0.264008783071061,150
"Unclass","EpCAM: SMA",0.164423728826606,0.151341888980781,0.18351831684457,150
"Unclass","SMA",0.53740714843299,0.526390711162053,0.54501017745882,150
"EpCAM","CD8",0.832151383559255,0.825326459710183,0.827684601113517,200
"EpCAM: SMA","CD8",0.299347880005409,0.267142588177908,0.328664557600836,200
"SMA","CD8",0.555012882344682,0.562425146608577,0.573380452366822,200
"Unclass","CD8",0.803004547970559,0.792805763703421,0.806285063144499,200
"EpCAM: SMA","EpCAM",0.279463611393308,0.248921493194179,0.310634296966106,200
"SMA","EpCAM",0.468470682705242,0.46671132665375,0.48092440310816,200
"Unclass","EpCAM",0.741748315677821,0.730839547718022,0.744227208644092,200
"SMA","EpCAM: SMA",0.354422263261243,0.292756255589395,0.376940514256196,200
"Unclass","EpCAM: SMA",0.260276994595603,0.230815406097148,0.299427861386258,200
"Unclass","SMA",0.643878078002236,0.643741814832646,0.666322428641355,200
"EpCAM","CD8",0.854882515535514,0.857606653965186,0.857534293862796,250
"EpCAM: SMA","CD8",0.368951488425294,0.299649733955479,0.383482638610765,250
"SMA","CD8",0.611031106672868,0.600206628948937,0.653775463125218,250
"Unclass","CD8",0.829501552336648,0.837513630806744,0.829055060978082,250
"EpCAM: SMA","EpCAM",0.35628946494349,0.312754657658112,0.390158191589641,250
"SMA","EpCAM",0.512061071604641,0.508426379178003,0.541296785872433,250
"Unclass","EpCAM",0.763222466356374,0.765115713525255,0.771008930291855,250
"SMA","EpCAM: SMA",0.436935798790354,0.366589354248538,0.429901485985094,250
"Unclass","EpCAM: SMA",0.316760013821209,0.253150844022468,0.326740604598599,250
"Unclass","SMA",0.69220879547474,0.692934337743206,0.72077610470914,250
"EpCAM","CD8",0.892934681299552,0.899912928723096,0.88578069701161,300
"EpCAM: SMA","CD8",0.45245271582466,0.405999988517737,0.497027307144449,300
"SMA","CD8",0.651351020853458,0.625826776320682,0.654610122329322,300
"Unclass","CD8",0.854429407035366,0.851666730898036,0.85330246088866,300
"EpCAM: SMA","EpCAM",0.426281306037377,0.380956581342692,0.464698220554786,300
"SMA","EpCAM",0.544676570237252,0.531923330286743,0.560755379049815,300
"Unclass","EpCAM",0.783994571996239,0.785357533600063,0.781399450621809,300
"SMA","EpCAM: SMA",0.523903194656474,0.494526113084125,0.582387138468015,300
"Unclass","EpCAM: SMA",0.402506022560102,0.358004059179285,0.460288704845906,300
"Unclass","SMA",0.737672164012281,0.721546311954282,0.738001386262374,300
"EpCAM","CD8",0.894384626085806,0.893161228653745,0.896846005302896,350
"EpCAM: SMA","CD8",0.505658852148625,0.452934121126178,0.524342815716692,350
"SMA","CD8",0.691350231013297,0.677746677759633,0.732232743501482,350
"Unclass","CD8",0.865135094566534,0.857447323924447,0.872382744781433,350
"EpCAM: SMA","EpCAM",0.462159996615757,0.406108637896892,0.478733624780927,350
"SMA","EpCAM",0.575336116807668,0.561979297995058,0.602538868745512,350
"Unclass","EpCAM",0.801086054394442,0.800344765469512,0.801542007641061,350
"SMA","EpCAM: SMA",0.549687937998004,0.516701844626512,0.588437518904536,350
"Unclass","EpCAM: SMA",0.463759757130934,0.429015018362734,0.483016242942819,350
"Unclass","SMA",0.778802248871318,0.772530172886159,0.795935627630133,350
"EpCAM","CD8",0.907883111029438,0.907919494698746,0.908830091499493,400
"EpCAM: SMA","CD8",0.581039608619419,0.544982372109624,0.621942235506636,400
"SMA","CD8",0.688882300531913,0.649760956757449,0.704496621124528,400
"Unclass","CD8",0.888585862583842,0.889739397423305,0.891439096734743,400
"EpCAM: SMA","EpCAM",0.550975837602767,0.52894208940653,0.614124628445532,400
"SMA","EpCAM",0.574880176555774,0.545161802794194,0.591797751306127,400
"Unclass","EpCAM",0.815626300126161,0.821821417124234,0.818330869908828,400
"SMA","EpCAM: SMA",0.618707029088828,0.561439805645481,0.651721151723038,400
"Unclass","EpCAM: SMA",0.560219507463843,0.541892857661462,0.571231435915566,400
"Unclass","SMA",0.777413183984441,0.741692401244578,0.80975693683087,400
"EpCAM","CD8",0.92395884603219,0.914079446120709,0.926033994229161,450
