"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.327629649328578,0.322947110305887,0.333703618048385,50
"EpCAM: SMA","CD8",0.00995181758770552,0.0112648510504669,0.00863892332218037,50
"SMA","CD8",0.148069211557635,0.14578842661584,0.153062169853946,50
"Unclass","CD8",0.458210383100938,0.451879197310157,0.460332820410398,50
"EpCAM: SMA","EpCAM",0.0127385212610803,0.0144836520770994,0.0128722191935172,50
"SMA","EpCAM",0.0172820866265289,0.016705200397427,0.0177129235901125,50
"Unclass","EpCAM",0.376701431208537,0.375544066113765,0.379178594799393,50
"SMA","EpCAM: SMA",0.0545045232425451,0.0699731456245449,0.0556785699467835,50
"Unclass","EpCAM: SMA",0.00833892795458617,0.00906385127512036,0.00889333195477694,50
"Unclass","SMA",0.218401808348601,0.215331217881575,0.220928523038992,50
"EpCAM","CD8",0.49064590692597,0.491473998542012,0.499410949815872,100
"EpCAM: SMA","CD8",0.020999622511965,0.0229490142005469,0.0185009695727122,100
"SMA","CD8",0.223053778602943,0.217151587202022,0.226018274438142,100
"Unclass","CD8",0.652089045734007,0.64368822711127,0.659741798785445,100
"EpCAM: SMA","EpCAM",0.0243545296985505,0.0224477948461103,0.0210354000421913,100
"SMA","EpCAM",0.0331932387713635,0.0341388810980188,0.033675640844366,100
"Unclass","EpCAM",0.4983443036167,0.492813249719854,0.498979708942577,100
"SMA","EpCAM: SMA",0.0825921523084917,0.075142575250422,0.0713154094537281,100
"Unclass","EpCAM: SMA",0.017580933521975,0.0149724479909016,0.0161197117741764,100
"Unclass","SMA",0.29587730827198,0.296946912611192,0.296498098300759,100
"EpCAM","CD8",0.564459690484411,0.560321043431854,0.564144025746691,150
"EpCAM: SMA","CD8",0.0274857936603927,0.0297844907185343,0.0257389611479216,150
"SMA","CD8",0.271376458338632,0.266587416397817,0.286172935441682,150
"Unclass","CD8",0.733109303650886,0.729722526209829,0.742504741041974,150
"EpCAM: SMA","EpCAM",0.0372795366544763,0.0371092601352353,0.034254659266417,150
"SMA","EpCAM",0.0479757528439066,0.0459357229325998,0.0488186222451956,150
"Unclass","EpCAM",0.549525777230256,0.545579037815219,0.546370845283975,150
"SMA","EpCAM: SMA",0.106253826657761,0.095659369832715,0.0946761643699561,150
"Unclass","EpCAM: SMA",0.0283196526305726,0.027349215161064,0.0270777629187413,150
"Unclass","SMA",0.33803485706166,0.332168245469848,0.348771439159314,150
"EpCAM","CD8",0.610247878005195,0.60855557453381,0.617399641071702,200
"EpCAM: SMA","CD8",0.0311932047672934,0.0317483518197311,0.0282673914420804,200
"SMA","CD8",0.296630844850466,0.284142948325397,0.311064526659906,200
"Unclass","CD8",0.77223377482311,0.767113919495464,0.773200559098238,200
"EpCAM: SMA","EpCAM",0.0428240676919628,0.0440897374458031,0.0396657441184109,200
"SMA","EpCAM",0.0601461578387449,0.0580978147757304,0.0630170800598508,200
"Unclass","EpCAM",0.580335683444065,0.581551399142968,0.581792494082212,200
"SMA","EpCAM: SMA",0.11786493681778,0.111233444389121,0.119292887787125,200
"Unclass","EpCAM: SMA",0.032286671230327,0.0301910378225539,0.0313610523098879,200
"Unclass","SMA",0.366587754861587,0.357426132982743,0.373584611160703,200
"EpCAM","CD8",0.631409604092356,0.628256581428324,0.631710131235444,250
"EpCAM: SMA","CD8",0.0424408367774087,0.0408541997513119,0.0384912139139907,250
"SMA","CD8",0.325123229477142,0.317908670631244,0.336932711049687,250
"Unclass","CD8",0.795823479468692,0.790499526487791,0.803711750293346,250
"EpCAM: SMA","EpCAM",0.0559278884655854,0.0529146332780989,0.0467151156486434,250
"SMA","EpCAM",0.079594377613737,0.0790544590334973,0.0829935158582342,250
"Unclass","EpCAM",0.604160572510732,0.602255672306345,0.606057468414439,250
"SMA","EpCAM: SMA",0.127996651883039,0.115336099872997,0.10610681847397,250
"Unclass","EpCAM: SMA",0.0459516459039714,0.0417144001342771,0.0363239713607376,250
"Unclass","SMA",0.396711018141298,0.395758912082009,0.410106982699741,250
"EpCAM","CD8",0.659349974040666,0.650554704663518,0.661805085111391,300
"EpCAM: SMA","CD8",0.0507942151074705,0.0516676127494568,0.0637666723145636,300
"SMA","CD8",0.379299608018037,0.369187773340045,0.382461921233325,300
"Unclass","CD8",0.823035217950182,0.821042820809924,0.823712185457318,300
"EpCAM: SMA","EpCAM",0.0735729224886042,0.0727359931418916,0.0869936511955465,300
"SMA","EpCAM",0.102105036225681,0.0991703535209264,0.106894772566618,300
"Unclass","EpCAM",0.630107008333215,0.631225887005235,0.629201092705092,300
"SMA","EpCAM: SMA",0.131401776269184,0.143914340913377,0.15825111377603,300
"Unclass","EpCAM: SMA",0.0582565559925055,0.0595548648700753,0.0668513836351869,300
"Unclass","SMA",0.432259462169794,0.417552485556348,0.446784039021555,300
"EpCAM","CD8",0.674779600241138,0.669007102061253,0.679656286346325,350
"EpCAM: SMA","CD8",0.0676932496556747,0.0709547428358598,0.073479748488193,350
"SMA","CD8",0.37082972984877,0.362640969942061,0.373940232800639,350
"Unclass","CD8",0.83249165733766,0.832413631032741,0.84279992835869,350
"EpCAM: SMA","EpCAM",0.0935653498338121,0.0931154772899905,0.0977747893742729,350
"SMA","EpCAM",0.094921803478482,0.0883007913246284,0.0916161075400783,350
"Unclass","EpCAM",0.634114237970152,0.632694942193127,0.633147086746745,350
"SMA","EpCAM: SMA",0.14942136508636,0.135177631506301,0.160933328510773,350
"Unclass","EpCAM: SMA",0.0805839318730406,0.0797818388523769,0.0836975251818307,350
"Unclass","SMA",0.429305470789664,0.418015291809203,0.431902102615357,350
"EpCAM","CD8",0.692381855153347,0.693488922233695,0.690408457353642,400
"EpCAM: SMA","CD8",0.0691152165320038,0.0656156138658497,0.0897217050880151,400
"SMA","CD8",0.373460400183373,0.359985741380571,0.37389369621054,400
"Unclass","CD8",0.844111372470189,0.841005372001348,0.844911336636819,400
"EpCAM: SMA","EpCAM",0.106581189317352,0.100868445835514,0.130437879856064,400
"SMA","EpCAM",0.112615301480208,0.107439290119693,0.112778389585265,400
"Unclass","EpCAM",0.656049473436964,0.653510324013937,0.657612930339143,400
"SMA","EpCAM: SMA",0.15828469349967,0.149406645847447,0.192335688606995,400
"Unclass","EpCAM: SMA",0.0940023615791743,0.0899552905012534,0.118721438389923,400
"Unclass","SMA",0.438307776024146,0.429167505435397,0.443804750409915,400
"EpCAM","CD8",0.703877729447927,0.692820978741174,0.706958474791249,450
"EpCAM: SMA","CD8",0.0973437094277005,0.0998368809176392,0.0979553584364752,450
"SMA","CD8",0.403713816521263,0.405314474966714,0.415893242015408,450
"Unclass","CD8",0.852665537378245,0.843063605851006,0.858360891491678,450
"EpCAM: SMA","EpCAM",0.160886055015559,0.156564802303483,0.165700689340072,450
"SMA","EpCAM",0.132014836944597,0.132098976164453,0.135156934698879,450
"Unclass","EpCAM",0.674307760702174,0.675586312775542,0.677588046524469,450
"SMA","EpCAM: SMA",0.146155459802575,0.143571064006314,0.148783636303232,450
"Unclass","EpCAM: SMA",0.122003304884361,0.1218338223518,0.123178549487892,450
"Unclass","SMA",0.443128204269309,0.436730557601551,0.450978101551386,450
"EpCAM","CD8",0.715620090685475,0.715354203456708,0.718916771522877,500
"EpCAM: SMA","CD8",0.1168684137138,0.0991829390525001,0.133100368660485,500
"SMA","CD8",0.442533491036554,0.434696766519926,0.452369525671503,500
"Unclass","CD8",0.859462595169887,0.854743226571317,0.859181725691237,500
"EpCAM: SMA","EpCAM",0.169981967262495,0.153137053458771,0.174131244271099,500
"SMA","EpCAM",0.176470222376338,0.172912346968023,0.183594524873916,500
"Unclass","EpCAM",0.692151201122983,0.692026237277676,0.694496081283997,500
"SMA","EpCAM: SMA",0.180925952255634,0.158007602474265,0.201640388047968,500
"Unclass","EpCAM: SMA",0.154927671493884,0.140530219812509,0.160949748756232,500
"Unclass","SMA",0.48848478291496,0.484061098967321,0.500503860028178,500
