"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.150428482042993,0.15075992599492,0.151909039210864,50
"EpCAM: SMA","CD8",0.138322183996706,0.138576186591456,0.138463695656532,50
"SMA","CD8",0.131786114507366,0.133751307507082,0.13093281289532,50
"Unclass","CD8",0.161829317715881,0.163191161195513,0.162576884311587,50
"EpCAM: SMA","EpCAM",0.5241252590828,0.523017893177216,0.526182009067415,50
"SMA","EpCAM",0.435109781117641,0.432951303779688,0.436117184968902,50
"Unclass","EpCAM",0.289509464827179,0.288675581554139,0.289225243455351,50
"SMA","EpCAM: SMA",0.509989312259584,0.506339300226283,0.513175791776922,50
"Unclass","EpCAM: SMA",0.149011005947136,0.149248405004209,0.148730012462758,50
"Unclass","SMA",0.261919978580834,0.261075055728034,0.261358470463608,50
"EpCAM","CD8",0.260334696223249,0.259106509480633,0.26112600431791,100
"EpCAM: SMA","CD8",0.240893991547547,0.238010050316793,0.242194668818242,100
"SMA","CD8",0.236143781019046,0.235536331268668,0.237293248122973,100
"Unclass","CD8",0.261738005532308,0.260488729544748,0.263116914372299,100
"EpCAM: SMA","EpCAM",0.675352649892437,0.675088081829824,0.67825544642227,100
"SMA","EpCAM",0.676732645942035,0.676746863610972,0.678548929425319,100
"Unclass","EpCAM",0.397714542787818,0.39626349833907,0.397701584116038,100
"SMA","EpCAM: SMA",0.715805016582687,0.712635850883893,0.71844065815987,100
"Unclass","EpCAM: SMA",0.210178445477377,0.209495627401046,0.208913814853487,100
"Unclass","SMA",0.346661444328962,0.34504512095323,0.345330219040601,100
"EpCAM","CD8",0.333298180342511,0.33097649549032,0.336175629191922,150
"EpCAM: SMA","CD8",0.304198575851133,0.301473455517007,0.3078032739969,150
"SMA","CD8",0.299738043540709,0.295309671569899,0.302783437749814,150
"Unclass","CD8",0.319235406698545,0.314615459833051,0.320603715127728,150
"EpCAM: SMA","EpCAM",0.723936550480278,0.724268330890621,0.7248834184159,150
"SMA","EpCAM",0.767485499341386,0.764681284506825,0.768115130696091,150
"Unclass","EpCAM",0.447574296905802,0.448011383404777,0.448758790226916,150
"SMA","EpCAM: SMA",0.787628882563277,0.787221671826213,0.789626215153355,150
"Unclass","EpCAM: SMA",0.241499167158767,0.241386958260182,0.241722632245697,150
"Unclass","SMA",0.381456140143487,0.381310201292974,0.380480463104615,150
"EpCAM","CD8",0.375872887784308,0.371214746484977,0.376476067981459,200
"EpCAM: SMA","CD8",0.342740286633196,0.336203719011763,0.346141931003574,200
"SMA","CD8",0.338897592959843,0.334359478412468,0.342167853157014,200
"Unclass","CD8",0.353057313846549,0.34939401906941,0.354990830974444,200
"EpCAM: SMA","EpCAM",0.748937499726939,0.748279203925536,0.748318554054466,200
"SMA","EpCAM",0.814616310588454,0.816651990085655,0.816919111695677,200
"Unclass","EpCAM",0.477856691951635,0.477100824486012,0.479411804412578,200
