"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.421593545258204,0.42042687529172,0.421376793732457,50
"SMA","CD8",0.226168294597571,0.220059100168037,0.229105989219621,50
"Unclass","CD8",0.388098248168461,0.386454354254243,0.390779472005792,50
"SMA","EpCAM",0.183471929092208,0.177852923614317,0.186108081124116,50
"Unclass","EpCAM",0.252634671447998,0.251660258899302,0.254582312006236,50
"Unclass","SMA",0.31318952705207,0.309035851642758,0.321151662449589,50
"EpCAM","CD8",0.570239249501796,0.569995695912082,0.572995303876144,100
"SMA","CD8",0.395924979146924,0.386494304967292,0.400609180425746,100
"Unclass","CD8",0.54266167656215,0.534414135921199,0.54594775067583,100
"SMA","EpCAM",0.362226061634704,0.360834623110102,0.374088928524288,100
"Unclass","EpCAM",0.415682156303409,0.413599441839254,0.417980720463035,100
"Unclass","SMA",0.506378189463355,0.50060528706804,0.509037517865774,100
"EpCAM","CD8",0.637179407827275,0.641316182166096,0.638124252759998,150
"SMA","CD8",0.494725181394562,0.488026293939258,0.503465510136443,150
"Unclass","CD8",0.614226320325818,0.614527640316804,0.611463146714405,150
"SMA","EpCAM",0.479481239515964,0.472419156426385,0.49258277856964,150
"Unclass","EpCAM",0.500536974591845,0.498533610529437,0.504515757133965,150
"Unclass","SMA",0.591063682296712,0.572175675116406,0.598431325129018,150
"EpCAM","CD8",0.682212244221748,0.681795848435709,0.684641465712948,200
"SMA","CD8",0.554339875145274,0.541796969991536,0.571140075654278,200
"Unclass","CD8",0.664032359326342,0.661302678688129,0.663895715998803,200
"SMA","EpCAM",0.556676466913364,0.539966930304987,0.563632699594567,200
"Unclass","EpCAM",0.563648226583664,0.564369788584273,0.565558071890834,200
"Unclass","SMA",0.6557828835109,0.65235128344493,0.661379320745838,200
"EpCAM","CD8",0.706105577496837,0.703134200715367,0.705539105401684,250
"SMA","CD8",0.601387750360322,0.597159684322752,0.612353094727465,250
"Unclass","CD8",0.695614729284186,0.68733829932153,0.69483535667788,250
"SMA","EpCAM",0.631014165049651,0.633151711372083,0.642253781351785,250
"Unclass","EpCAM",0.603406998776568,0.599944321943859,0.603874589226494,250
"Unclass","SMA",0.693144578673802,0.679027138961179,0.702551417735439,250
"EpCAM","CD8",0.740191694723832,0.739277877197972,0.739089101686145,300
"SMA","CD8",0.647894905818215,0.639727326107943,0.653011028852252,300
"Unclass","CD8",0.729358914203227,0.728204147067002,0.734677312261649,300
"SMA","EpCAM",0.677393031248761,0.663597639745326,0.690272064619971,300
"Unclass","EpCAM",0.643597475256721,0.640583037451069,0.646239625784622,300
"Unclass","SMA",0.726619200216289,0.725552535920251,0.729436266474714,300
"EpCAM","CD8",0.757416416481348,0.759936961017682,0.757041883393507,350
"SMA","CD8",0.65853640292171,0.645191860335459,0.674107894013493,350
"Unclass","CD8",0.747132699595697,0.741437441317961,0.748410824630895,350
"SMA","EpCAM",0.690424024202713,0.685378269408316,0.696642652057563,350
"Unclass","EpCAM",0.67508052447634,0.672405239797192,0.676893478836665,350
"Unclass","SMA",0.745600294923715,0.740189512854055,0.752174898535704,350
"EpCAM","CD8",0.767630818487685,0.764523616601255,0.76982708729058,400
"SMA","CD8",0.687601864035942,0.673408839252516,0.700217177369264,400
"Unclass","CD8",0.769644952877383,0.766906126020946,0.77270147390049,400
"SMA","EpCAM",0.726249367679589,0.721545838879674,0.73415469720875,400
"Unclass","EpCAM",0.69814205670691,0.697550848445005,0.697307420158372,400
"Unclass","SMA",0.764932083383168,0.761066240616942,0.768459673676519,400
"EpCAM","CD8",0.778434788784339,0.775532205709477,0.782475260875768,450
"SMA","CD8",0.701983593644061,0.693710510182189,0.710876393750905,450
"Unclass","CD8",0.785213781088308,0.775393442508914,0.788453828233534,450
"SMA","EpCAM",0.753974925241345,0.750322371254306,0.756983975500019,450
"Unclass","EpCAM",0.71787200727775,0.711418786447088,0.718780951342738,450
"Unclass","SMA",0.778217886786417,0.781109401482662,0.785836237360555,450
"EpCAM","CD8",0.794503983910622,0.791933986757045,0.798697979955062,500
"SMA","CD8",0.73605252310004,0.729365324706092,0.744497672585507,500
"Unclass","CD8",0.80334922469494,0.803374070076253,0.801354793625604,500
"SMA","EpCAM",0.790163133130213,0.787589001281665,0.800495432284326,500
"Unclass","EpCAM",0.735131732193142,0.73098123993737,0.7352856785923,500
"Unclass","SMA",0.806986032344187,0.797751861368351,0.81098122127038,500
