"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.121594842896731,0.118458899127134,0.123018053724961,50
"EpCAM: SMA","CD8",0.131678067867142,0.130686240404678,0.132030666601066,50
"SMA","CD8",0.173350047787884,0.167541940631707,0.172585076729829,50
"Unclass","CD8",0.143779662306239,0.142495762378034,0.144725028443972,50
"EpCAM: SMA","EpCAM",0.356007134825228,0.351877307429256,0.358838689097963,50
"SMA","EpCAM",0.193875114533546,0.194598531724161,0.194163425182308,50
"Unclass","EpCAM",0.363679455586811,0.360628601647659,0.365063201072413,50
"SMA","EpCAM: SMA",0.32629413569464,0.328680013886542,0.329330232395141,50
"Unclass","EpCAM: SMA",0.198059740357554,0.197166154324959,0.19921000543041,50
"Unclass","SMA",0.362848224378526,0.360014325440166,0.366496663142673,50
"EpCAM","CD8",0.269993288692798,0.266293588410358,0.278498551651287,100
"EpCAM: SMA","CD8",0.281012234087878,0.274405125847866,0.296173146410322,100
"SMA","CD8",0.336714343167063,0.325318618096479,0.34264398163087,100
"Unclass","CD8",0.288319692156443,0.288646939040986,0.292703765366469,100
"EpCAM: SMA","EpCAM",0.51259460567365,0.507060684726899,0.511528278687835,100
"SMA","EpCAM",0.373509047757831,0.375477751521941,0.374957972573876,100
"Unclass","EpCAM",0.568565130179563,0.567695704429971,0.568807660106813,100
"SMA","EpCAM: SMA",0.465025878092395,0.46186782589289,0.468271563373478,100
"Unclass","EpCAM: SMA",0.30597682022211,0.299062062578759,0.30343898860569,100
"Unclass","SMA",0.499700454268404,0.500266089868688,0.50312898251548,100
"EpCAM","CD8",0.381122239757883,0.371857221801662,0.397233760805266,150
"EpCAM: SMA","CD8",0.378841250925074,0.370545386987479,0.392757542257918,150
"SMA","CD8",0.438596177497302,0.428093203691975,0.443190220226788,150
"Unclass","CD8",0.381420868875467,0.372023741742777,0.388338795339992,150
"EpCAM: SMA","EpCAM",0.589398962599596,0.586805478198942,0.590065099632546,150
"SMA","EpCAM",0.471337275919109,0.470324952425135,0.475751647602773,150
"Unclass","EpCAM",0.658652824195263,0.655031600819278,0.654718996402493,150
"SMA","EpCAM: SMA",0.525479900867491,0.523601164285024,0.529102795615569,150
"Unclass","EpCAM: SMA",0.359484680866397,0.35800341406524,0.36022461581126,150
"Unclass","SMA",0.565458086368926,0.565972087578647,0.567737396252574,150
"EpCAM","CD8",0.455199454700917,0.447811639335229,0.467195889393552,200
"EpCAM: SMA","CD8",0.451858665096798,0.452000462085563,0.467798783740097,200
"SMA","CD8",0.510319917687938,0.494646577709414,0.517975714012258,200
"Unclass","CD8",0.446947289533781,0.427283756088215,0.454907606771252,200
"EpCAM: SMA","EpCAM",0.633862113325562,0.633961523189228,0.637297565209961,200
"SMA","EpCAM",0.532364761241985,0.530156741245344,0.531284762756586,200
"Unclass","EpCAM",0.70298643063594,0.701838454413618,0.701319181626837,200
"SMA","EpCAM: SMA",0.57121899224101,0.570698299629646,0.573225226376579,200
"Unclass","EpCAM: SMA",0.402144338297421,0.400262929830607,0.402693711189498,200
"Unclass","SMA",0.609093475824335,0.608379932095283,0.609933424578333,200
"EpCAM","CD8",0.496543657389808,0.489322375884154,0.507984671181944,250
"EpCAM: SMA","CD8",0.493125331568699,0.487913047612804,0.512708754540977,250
"SMA","CD8",0.565904961632234,0.557426418425675,0.580245478827128,250
"Unclass","CD8",0.489237750106348,0.488569661032912,0.502938733139042,250
"EpCAM: SMA","EpCAM",0.662174681633003,0.659482896336022,0.662141593898229,250
"SMA","EpCAM",0.579450314861887,0.575063172309041,0.57672963761316,250
"Unclass","EpCAM",0.731267443375609,0.727244497640636,0.728638732122593,250
"SMA","EpCAM: SMA",0.601594670645628,0.599868728382867,0.597546778047037,250
"Unclass","EpCAM: SMA",0.424650181586161,0.422372530185606,0.42535287898338,250
"Unclass","SMA",0.644667284786248,0.6394883719278,0.646062150587669,250
"EpCAM","CD8",0.54178171080544,0.532645429424084,0.551188326654804,300
"EpCAM: SMA","CD8",0.540422360638265,0.537087151752983,0.548540869655384,300
"SMA","CD8",0.599163477140134,0.58988567211836,0.608920863925601,300
"Unclass","CD8",0.521351643898102,0.511034491420018,0.5275943193016,300
"EpCAM: SMA","EpCAM",0.684777228909445,0.683180347582392,0.686173491597481,300
"SMA","EpCAM",0.602940816817787,0.601177904513218,0.608460256319341,300
"Unclass","EpCAM",0.753317086158563,0.7532072134716,0.753210505036692,300
"SMA","EpCAM: SMA",0.621920681325949,0.616974441959124,0.627800250765633,300
"Unclass","EpCAM: SMA",0.449179272147438,0.445581501892841,0.448747357667465,300
"Unclass","SMA",0.655010061799672,0.652505445328617,0.658089930865631,300
"EpCAM","CD8",0.56053324964108,0.550890185440356,0.571399087499221,350
"EpCAM: SMA","CD8",0.549823896531792,0.537881514754556,0.558722881378421,350
