"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.0902852711986519,0.087631411888543,0.0940076436236315,50
"SMA","CD8",0.103160446841795,0.101723244208712,0.105680051472415,50
"Unclass","CD8",0.0910944254798713,0.0917026944115734,0.0924275669758307,50
"SMA","EpCAM",0.620507768993137,0.617565408022259,0.622360626713181,50
"Unclass","EpCAM",0.170579134224947,0.169444056026585,0.173091152558625,50
"Unclass","SMA",0.21478048688204,0.214504786043117,0.215703666940534,50
"EpCAM","CD8",0.260263714095396,0.256830335557864,0.267312377972463,100
"SMA","CD8",0.280241556595732,0.265902808983566,0.290972220626442,100
"Unclass","CD8",0.231428285316584,0.226764791959452,0.233043788679406,100
"SMA","EpCAM",0.802028585613334,0.802045377788201,0.800960245656759,100
"Unclass","EpCAM",0.285542838908962,0.283674672437199,0.288751902806721,100
"Unclass","SMA",0.316409150339714,0.314560675096351,0.320698727677575,100
"EpCAM","CD8",0.404177306719637,0.393453429219114,0.414024563349805,150
"SMA","CD8",0.432995399062115,0.423445303270338,0.451228099804048,150
"Unclass","CD8",0.340934765788033,0.341954676321557,0.341446556681928,150
"SMA","EpCAM",0.857696086113582,0.8573794292907,0.860405644991922,150
"Unclass","EpCAM",0.356637482005954,0.347853517742072,0.356932549569823,150
"Unclass","SMA",0.380134502805309,0.370498763234647,0.379409474846281,150
"EpCAM","CD8",0.510742864613313,0.501097341991593,0.523868558610579,200
"SMA","CD8",0.536742913349177,0.531306292677869,0.546717231524612,200
"Unclass","CD8",0.420006658031689,0.402642605876864,0.42980960556935,200
"SMA","EpCAM",0.886644219210587,0.884049355590019,0.886172327801393,200
"Unclass","EpCAM",0.407322773921919,0.402811772253947,0.412208256303563,200
"Unclass","SMA",0.426578631389227,0.424662901996197,0.430897356352919,200
"EpCAM","CD8",0.580904651591013,0.569278229268356,0.593052200313389,250
"SMA","CD8",0.614594872665255,0.595802461273361,0.620244814218637,250
"Unclass","CD8",0.474780912295535,0.458660926748023,0.486401361408497,250
"SMA","EpCAM",0.903115596032431,0.904149160791088,0.902606611236313,250
"Unclass","EpCAM",0.452158056000263,0.450625200747372,0.461529929248921,250
"Unclass","SMA",0.465685188419852,0.468168949363293,0.474744448487577,250
"EpCAM","CD8",0.638275363780174,0.610104896244754,0.65495184096834,300
"SMA","CD8",0.67288394504786,0.655289491550037,0.695103953255268,300
"Unclass","CD8",0.526850343400621,0.52473578910232,0.526120507544702,300
"SMA","EpCAM",0.915086691510937,0.915994932381554,0.915991412855681,300
"Unclass","EpCAM",0.484073497649787,0.484975150116117,0.484198055135063,300
"Unclass","SMA",0.498711766578045,0.503179498301657,0.498742768801233,300
"EpCAM","CD8",0.689008981409524,0.667422502276649,0.69520396370982,350
"SMA","CD8",0.720992722682852,0.707198501433864,0.721538261536219,350
"Unclass","CD8",0.56076416480281,0.552005480196095,0.594636216939857,350
"SMA","EpCAM",0.920091167625047,0.921485463439896,0.920397876708221,350
"Unclass","EpCAM",0.512597266031696,0.512555150442353,0.515688451369635,350
"Unclass","SMA",0.530159712023828,0.528646616239643,0.533757319489173,350
"EpCAM","CD8",0.702073612228916,0.686650554299648,0.724430503152743,400
"SMA","CD8",0.73182366371366,0.716283968931047,0.748659784746226,400
"Unclass","CD8",0.589081146641946,0.583589823775126,0.594946951976724,400
"SMA","EpCAM",0.928187731417832,0.926646595604479,0.927959493249517,400
"Unclass","EpCAM",0.53821194930968,0.536978215886006,0.53558853759401,400
"Unclass","SMA",0.551572647810445,0.54944954493383,0.550970708912647,400
"EpCAM","CD8",0.73962303987674,0.719508666969969,0.755425513833067,450
"SMA","CD8",0.766650679651487,0.753681493505142,0.780874437987687,450
"Unclass","CD8",0.636926190957731,0.636832831501253,0.637264388290491,450
"SMA","EpCAM",0.935391248060187,0.935981841839516,0.935470647559224,450
"Unclass","EpCAM",0.578653073979669,0.573439235255107,0.581344537573605,450
"Unclass","SMA",0.588173948238835,0.58157185548187,0.590887496281406,450
"EpCAM","CD8",0.757259785858052,0.741598060527336,0.777775721871753,500
"SMA","CD8",0.788174385164796,0.780290027669988,0.807445417464045,500
"Unclass","CD8",0.664066141787758,0.641982032851788,0.66709966943156,500
"SMA","EpCAM",0.936930255355668,0.936874606149959,0.935816128014233,500
"Unclass","EpCAM",0.60507742341449,0.605027480417358,0.602322555354582,500
"Unclass","SMA",0.615319560379186,0.616459327945753,0.613183448239958,500
