"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.0643964695179606,0.0642325064698728,0.065527596543203,50
"SMA","CD8",0.149961379773972,0.150283437844935,0.149748805346191,50
"Unclass","CD8",0.0879025243369565,0.0882279252445131,0.0873966999242406,50
"SMA","EpCAM",0.384260335388408,0.382076293957529,0.385062479225359,50
"Unclass","EpCAM",0.283721995801847,0.282497177282478,0.28668057976069,50
"Unclass","SMA",0.25741647196962,0.257471280293016,0.257048527294173,50
"EpCAM","CD8",0.110490373492451,0.10930872275043,0.110344253582812,100
"SMA","CD8",0.238923598161605,0.23678968960593,0.240763473800565,100
"Unclass","CD8",0.143838454596758,0.142019421601445,0.145136708928269,100
"SMA","EpCAM",0.49042414933013,0.488159274958988,0.491781094238595,100
"Unclass","EpCAM",0.446267029030015,0.44588794208127,0.44773311396512,100
"Unclass","SMA",0.350860674231816,0.351250680555503,0.351100915437504,100
"EpCAM","CD8",0.143009361277452,0.142276413908655,0.145536681409468,150
"SMA","CD8",0.294789484462813,0.291369030714071,0.297403817917921,150
"Unclass","CD8",0.179894416093383,0.17835764592352,0.179312132813739,150
"SMA","EpCAM",0.53141608788183,0.531354711335371,0.532291497690124,150
"Unclass","EpCAM",0.524554964736295,0.522725603221475,0.526078076991882,150
"Unclass","SMA",0.396956125898145,0.395952593942325,0.398486365081698,150
"EpCAM","CD8",0.172779600218802,0.171424359728778,0.175614584184117,200
"SMA","CD8",0.346380943880829,0.344398164712916,0.351318657268691,200
"Unclass","CD8",0.210578602800077,0.209658408380635,0.214902382539754,200
"SMA","EpCAM",0.554318340027712,0.553640378049328,0.553840128524032,200
"Unclass","EpCAM",0.571519551304083,0.569971504719982,0.57290616963041,200
"Unclass","SMA",0.425263792548473,0.422776058675485,0.425958643434102,200
"EpCAM","CD8",0.198020270803141,0.19699129442449,0.200124760461234,250
"SMA","CD8",0.389520190386675,0.384947499890833,0.391739486114641,250
"Unclass","CD8",0.238726512729895,0.234933913360366,0.243521577897795,250
"SMA","EpCAM",0.568593306189915,0.56940971322735,0.569756638970456,250
"Unclass","EpCAM",0.605626301365651,0.60433016069696,0.605529069851402,250
"Unclass","SMA",0.447594195459972,0.445903890717387,0.449133543612314,250
"EpCAM","CD8",0.216831597783895,0.213635515170722,0.218998095573403,300
"SMA","CD8",0.418061229380755,0.412613180727643,0.419603285373276,300
"Unclass","CD8",0.256035749130104,0.255621771644857,0.258671051558065,300
"SMA","EpCAM",0.580336652943962,0.578562241042459,0.582063064627329,300
"Unclass","EpCAM",0.630406882244961,0.630616430540892,0.632739743899084,300
"Unclass","SMA",0.464802129991129,0.46377133548138,0.464965738812551,300
"EpCAM","CD8",0.230992446299414,0.230132861099069,0.233452560804939,350
"SMA","CD8",0.438462406087851,0.435868636817588,0.44270628304982,350
"Unclass","CD8",0.269420849593478,0.267558012607839,0.270527773179803,350
"SMA","EpCAM",0.590030876998164,0.588375708957958,0.58952542666186,350
"Unclass","EpCAM",0.649877549700055,0.648119773923227,0.652410442001934,350
"Unclass","SMA",0.477320444335919,0.475939017283566,0.478847949452938,350
"EpCAM","CD8",0.252132812363204,0.251069929755735,0.25430726085332,400
"SMA","CD8",0.47865759435053,0.475310133781821,0.48115282758674,400
"Unclass","CD8",0.290654783014053,0.286910100151042,0.294691667798635,400
"SMA","EpCAM",0.595693357697195,0.595257963602339,0.596584301123394,400
"Unclass","EpCAM",0.670923812777299,0.668774891611443,0.671856141668025,400
"Unclass","SMA",0.492330040434863,0.491360679434774,0.494087855155612,400
"EpCAM","CD8",0.27144546520602,0.268923722727292,0.277074307628856,450
"SMA","CD8",0.499124083826828,0.493341039723684,0.505056776185986,450
"Unclass","CD8",0.306459069216528,0.301268315103132,0.312107223272272,450
"SMA","EpCAM",0.604905988037663,0.605171090987043,0.603643001448372,450
"Unclass","EpCAM",0.685078849299394,0.684902286927852,0.684981442240459,450
"Unclass","SMA",0.496539631281097,0.496234358583116,0.496604383402394,450
"EpCAM","CD8",0.281606431627583,0.280392628942086,0.283370116548356,500
"SMA","CD8",0.514580227033175,0.509477604199148,0.516821699179659,500
"Unclass","CD8",0.317224641310576,0.314972937654417,0.320235727396587,500
"SMA","EpCAM",0.608571495869938,0.607658382463724,0.609357878355952,500
"Unclass","EpCAM",0.694586305604298,0.693349246495396,0.69718639665987,500
"Unclass","SMA",0.508573285465451,0.50772406656446,0.510361914237185,500
