"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.157280962474749,0.156775590990934,0.157805998251542,50
"SMA","CD8",0.250089692501697,0.249145029751084,0.249851272150365,50
"Unclass","CD8",0.363816349215352,0.362263196899287,0.367077570822171,50
"SMA","EpCAM",0.615746674026871,0.615359884763651,0.616300575659687,50
"Unclass","EpCAM",0.151796613771425,0.151306512355211,0.152397100054698,50
"Unclass","SMA",0.2995872859394,0.297637514317724,0.299964259464355,50
"EpCAM","CD8",0.284633010474686,0.282583009095125,0.288087965468392,100
"SMA","CD8",0.392320911284498,0.389753872704782,0.396407288476986,100
"Unclass","CD8",0.535888258926913,0.532669073053378,0.536595132909642,100
"SMA","EpCAM",0.804439468514519,0.804364954192228,0.805154509541265,100
"Unclass","EpCAM",0.268124730044863,0.268004016667138,0.268143933105753,100
"Unclass","SMA",0.409536546482399,0.408997177659064,0.409463989886411,100
"EpCAM","CD8",0.359910024367208,0.358963370745546,0.363266560915292,150
"SMA","CD8",0.462025017278967,0.460661806607505,0.466552276178576,150
"Unclass","CD8",0.607995564653556,0.60311061800419,0.60920614965352,150
"SMA","EpCAM",0.866122910809991,0.866531944278397,0.86640540663631,150
"Unclass","EpCAM",0.345751105064154,0.345103190141384,0.345738563795758,150
"Unclass","SMA",0.469940951819806,0.46822836906872,0.470816249514209,150
"EpCAM","CD8",0.410075688177153,0.407274195143004,0.411719814090822,200
"SMA","CD8",0.505973666039572,0.502045162401845,0.508506630011646,200
"Unclass","CD8",0.648772754193507,0.645457677884595,0.653129563575711,200
"SMA","EpCAM",0.895322995945385,0.895308617721425,0.895132961916689,200
"Unclass","EpCAM",0.405725337974754,0.405185184254881,0.407016298236348,200
"Unclass","SMA",0.514127980279851,0.514000767084229,0.514472147892488,200
"EpCAM","CD8",0.447930164932742,0.444059592928923,0.452282853565337,250
"SMA","CD8",0.537492742634237,0.532591378635468,0.539999474529107,250
"Unclass","CD8",0.676888613955451,0.67421065411616,0.680257439381013,250
"SMA","EpCAM",0.912736926817318,0.912571923240837,0.912972369788932,250
"Unclass","EpCAM",0.458969679001159,0.459926402438471,0.45965114064555,250
"Unclass","SMA",0.555789652377546,0.556481049617665,0.555654862772069,250
"EpCAM","CD8",0.487442660362535,0.485576284771826,0.489094852848741,300
"SMA","CD8",0.566835366739742,0.564422601166836,0.568225861398897,300
"Unclass","CD8",0.69353588749568,0.689434766437385,0.697511404528488,300
"SMA","EpCAM",0.925611921954614,0.926065426021406,0.925748891743145,300
"Unclass","EpCAM",0.50370685552726,0.502313676697596,0.505354008063997,300
"Unclass","SMA",0.587750648844725,0.586257632814117,0.589590346141884,300
"EpCAM","CD8",0.512340532107192,0.508086010422712,0.515808136420713,350
"SMA","CD8",0.584791091544544,0.583525854797815,0.588783789775738,350
"Unclass","CD8",0.712041612911778,0.707900406536269,0.714129139986354,350
"SMA","EpCAM",0.934597919680079,0.93450360119794,0.9345533102793,350
"Unclass","EpCAM",0.540777662037639,0.53945724812415,0.541273425582317,350
"Unclass","SMA",0.613189555544593,0.61273342128616,0.614814462446373,350
"EpCAM","CD8",0.543908686469639,0.540099869437086,0.547981505636049,400
"SMA","CD8",0.609470248968179,0.607085484073974,0.612975628309905,400
"Unclass","CD8",0.72245429804366,0.718828318488649,0.72576118929427,400
"SMA","EpCAM",0.941933199809964,0.941225001387132,0.941926989784378,400
"Unclass","EpCAM",0.58018627542769,0.579594493027271,0.580954322008153,400
"Unclass","SMA",0.643243944953302,0.642792356224487,0.643757355661493,400
"EpCAM","CD8",0.568026159878235,0.56511052349699,0.572275485508442,450
"SMA","CD8",0.629524950480099,0.627437444839802,0.633903486306762,450
"Unclass","CD8",0.738508506998905,0.736148018687467,0.739806292567577,450
"SMA","EpCAM",0.945865159873084,0.945890369245715,0.946659145477465,450
"Unclass","EpCAM",0.614831183366547,0.61224044193647,0.616097524159422,450
"Unclass","SMA",0.669995216413108,0.667896687068879,0.670702083494023,450
"EpCAM","CD8",0.575320363775717,0.571589920640664,0.578710318913921,500
"SMA","CD8",0.635281400578858,0.631631939875744,0.638968282587177,500
"Unclass","CD8",0.742287546493111,0.739029101993153,0.744258682532591,500
"SMA","EpCAM",0.950008604578195,0.949103531543973,0.950423217345507,500
"Unclass","EpCAM",0.628561776114648,0.62801798231298,0.629461495713675,500
"Unclass","SMA",0.682856869187988,0.6834348057085,0.683991889503061,500
