"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.0900910295862894,0.0910691201166798,0.0900635613487723,50
"SMA","CD8",0.232083316558752,0.228898925459922,0.235516199407888,50
"Unclass","CD8",0.0614310516087797,0.0604087537259273,0.0619980464464694,50
"SMA","EpCAM",0.285164841970477,0.284328723508667,0.285364636200173,50
"Unclass","EpCAM",0.0450215517331712,0.0452511716112668,0.0451290096556331,50
"Unclass","SMA",0.0944979172014162,0.0940361210717135,0.0949674555106359,50
"EpCAM","CD8",0.159941834619747,0.15834001568717,0.160866440772377,100
"SMA","CD8",0.366555711911972,0.362373392771975,0.369252270139125,100
"Unclass","CD8",0.101050139229318,0.0979868203458871,0.104845840772224,100
"SMA","EpCAM",0.398981190761523,0.399143479225731,0.40076948726525,100
"Unclass","EpCAM",0.0737631220549807,0.0731874296499771,0.0730354231103429,100
"Unclass","SMA",0.141989796402111,0.140646334859645,0.142214068097578,100
"EpCAM","CD8",0.204715622351884,0.202560042186425,0.204396805938489,150
"SMA","CD8",0.443197533656569,0.436479249707233,0.44774994954677,150
"Unclass","CD8",0.122373461987394,0.122003809593294,0.127121637618849,150
"SMA","EpCAM",0.451601718179573,0.451821094964491,0.451712318273524,150
"Unclass","EpCAM",0.0907140135222761,0.0920454007699749,0.0911419283247725,150
"Unclass","SMA",0.168017145880329,0.169612473509341,0.170577196566827,150
"EpCAM","CD8",0.23782868951557,0.235020099516044,0.24123932746889,200
"SMA","CD8",0.485250447366062,0.479726160583887,0.492258356374463,200
"Unclass","CD8",0.135839893266707,0.137859370494827,0.135604383548463,200
"SMA","EpCAM",0.486749223936839,0.485156450736071,0.485289297476123,200
"Unclass","EpCAM",0.103789963347349,0.103759787141794,0.103818386277301,200
"Unclass","SMA",0.185659043173006,0.1863416466945,0.186274489753733,200
"EpCAM","CD8",0.273809153086818,0.26934176620295,0.277663761557688,250
"SMA","CD8",0.528354278905985,0.522033569068418,0.534388228257581,250
"Unclass","CD8",0.147798498629994,0.146696431410376,0.144712309408016,250
"SMA","EpCAM",0.516812701407104,0.516147565249521,0.517835859761544,250
"Unclass","EpCAM",0.116066965514807,0.117801309330338,0.115548550337851,250
"Unclass","SMA",0.203060470066058,0.205806220263991,0.202178568154018,250
"EpCAM","CD8",0.289302042041878,0.289080802498035,0.289661057960596,300
"SMA","CD8",0.544691668061076,0.54173709129286,0.550487773493026,300
"Unclass","CD8",0.159059220417777,0.152693963187645,0.159865590414973,300
"SMA","EpCAM",0.537361914944084,0.536941232303983,0.538572378612535,300
"Unclass","EpCAM",0.12445572132879,0.120231364960705,0.126117944338881,300
"Unclass","SMA",0.214660963511618,0.210415119136049,0.21493351949903,300
"EpCAM","CD8",0.312451004083688,0.308531399338694,0.317663327954371,350
"SMA","CD8",0.567097624767343,0.562601875855084,0.573336127673499,350
"Unclass","CD8",0.180787066966034,0.17936184343519,0.182316486315888,350
"SMA","EpCAM",0.54993927185944,0.548968794062492,0.548498349159644,350
"Unclass","EpCAM",0.132191079177809,0.132742967093148,0.132361589954723,350
"Unclass","SMA",0.23350855417248,0.231456043499183,0.234189098387819,350
"EpCAM","CD8",0.336897254185363,0.335990186391322,0.339534304473749,400
"SMA","CD8",0.587810948964888,0.578111343442232,0.594115285739812,400
"Unclass","CD8",0.183845405042989,0.183992021872976,0.186127888005342,400
"SMA","EpCAM",0.572079306342096,0.57245254497858,0.572247424241156,400
"Unclass","EpCAM",0.143254286650529,0.143794870744519,0.143194778998323,400
"Unclass","SMA",0.241421829241475,0.243437443055271,0.242586249264426,400
"EpCAM","CD8",0.361432066652675,0.358472483921439,0.363556708563063,450
"SMA","CD8",0.614366047208646,0.611448425337218,0.617819332471332,450
"Unclass","CD8",0.183613099817621,0.181822416906605,0.186610066501056,450
"SMA","EpCAM",0.583332966494575,0.583382224112325,0.585106060753057,450
"Unclass","EpCAM",0.144767355032319,0.139740006808377,0.14676105491057,450
"Unclass","SMA",0.24056544121572,0.232894022119242,0.245282880499498,450
"EpCAM","CD8",0.3656331143203,0.361460099970223,0.37044850517397,500
"SMA","CD8",0.61616278831064,0.611597448771221,0.622161743077153,500
"Unclass","CD8",0.19774089745881,0.196461714021124,0.198101872715953,500
"SMA","EpCAM",0.596691724698226,0.595397437138689,0.59725757198954,500
"Unclass","EpCAM",0.1552543251267,0.154243510610859,0.155798233088376,500
"Unclass","SMA",0.258168382089314,0.25759096533165,0.257964191935997,500
