"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.146840017881146,0.145297392774228,0.147693442381193,50
"EpCAM: SMA","CD8",0.138919734769548,0.135800058811531,0.139502242802598,50
"SMA","CD8",0.188491149986315,0.188118608217179,0.188751701241416,50
"Unclass","CD8",0.166371636618075,0.165987041201528,0.168161035311709,50
"EpCAM: SMA","EpCAM",0.515008447597388,0.514765280635973,0.516065693643041,50
"SMA","EpCAM",0.389050237152932,0.389548247914377,0.389929151701996,50
"Unclass","EpCAM",0.173525788059606,0.174274149543078,0.17490101593907,50
"SMA","EpCAM: SMA",0.503457804741426,0.501244928640977,0.503969104176356,50
"Unclass","EpCAM: SMA",0.149524478975196,0.148652658871761,0.151221635484142,50
"Unclass","SMA",0.26991507366811,0.267676322325302,0.270438629324635,50
"EpCAM","CD8",0.25150017558717,0.248485608843597,0.252684561793986,100
"EpCAM: SMA","CD8",0.248824539242406,0.246621251422068,0.249944162228175,100
"SMA","CD8",0.296399580111472,0.291845981794686,0.299214228446697,100
"Unclass","CD8",0.248523025983338,0.243403131876732,0.251864486858115,100
"EpCAM: SMA","EpCAM",0.72046094189866,0.720673289827406,0.721743112624315,100
"SMA","EpCAM",0.587779475125167,0.589012735472526,0.588123968528708,100
"Unclass","EpCAM",0.280865515126931,0.279899061032215,0.280942522399314,100
"SMA","EpCAM: SMA",0.710358476186282,0.709905354025119,0.711616356898308,100
"Unclass","EpCAM: SMA",0.23823501815363,0.236658390637924,0.238926766361947,100
"Unclass","SMA",0.363204502210042,0.362388591675184,0.363357247842427,100
"EpCAM","CD8",0.324732811191202,0.324374989958308,0.327776719108152,150
"EpCAM: SMA","CD8",0.322213523348994,0.322197338662236,0.325760048272761,150
"SMA","CD8",0.368160150815657,0.367556132300087,0.370022043921018,150
"Unclass","CD8",0.295198226908147,0.292837368355789,0.295396948690289,150
"EpCAM: SMA","EpCAM",0.790748674222328,0.789108637763127,0.790748919162762,150
"SMA","EpCAM",0.678857289932933,0.678151120719814,0.67931911417209,150
"Unclass","EpCAM",0.341594199588229,0.341252077689492,0.342591178784463,150
"SMA","EpCAM: SMA",0.790301278751984,0.789740236825268,0.790728819024702,150
"Unclass","EpCAM: SMA",0.285016472791851,0.282689956511949,0.287178534441957,150
"Unclass","SMA",0.403110213564201,0.399967398791395,0.405195015446995,150
"EpCAM","CD8",0.382247439830779,0.384555169506739,0.382519453605365,200
"EpCAM: SMA","CD8",0.385350707858219,0.387104031091366,0.384562419797673,200
"SMA","CD8",0.424892600581599,0.425328389537471,0.42441575666706,200
"Unclass","CD8",0.326878320261116,0.328635747753791,0.330117465424269,200
"EpCAM: SMA","EpCAM",0.826176610988994,0.82580159226903,0.827776749667735,200
"SMA","EpCAM",0.729099692954418,0.728242218591895,0.729699930481533,200
"Unclass","EpCAM",0.381469307010687,0.379181122724935,0.383765091752269,200
"SMA","EpCAM: SMA",0.82969308718823,0.824992847106943,0.830947233881044,200
"Unclass","EpCAM: SMA",0.31849789616329,0.313859397122701,0.321060458717813,200
"Unclass","SMA",0.431970182584408,0.429115009776714,0.43403567775342,200
"EpCAM","CD8",0.425107819812132,0.425202336838422,0.42645415462631,250
"EpCAM: SMA","CD8",0.426826711437925,0.424697630839524,0.427489040796275,250
"SMA","CD8",0.46351536033109,0.46164006888454,0.464084758721194,250
"Unclass","CD8",0.352226667884465,0.350473969416662,0.355344303003385,250
"EpCAM: SMA","EpCAM",0.844995027989511,0.843862303477342,0.846246590722273,250
"SMA","EpCAM",0.759995629315416,0.759365091966005,0.761842629661851,250
"Unclass","EpCAM",0.413354340817665,0.413040952192345,0.416063209162257,250
"SMA","EpCAM: SMA",0.852881473281963,0.851349546589212,0.854186364867368,250
"Unclass","EpCAM: SMA",0.343034501480875,0.341076192131921,0.343806166325882,250
"Unclass","SMA",0.450966336566723,0.448435680920135,0.451213768087671,250
"EpCAM","CD8",0.462322398462693,0.458927427544373,0.46499932229948,300
"EpCAM: SMA","CD8",0.465503392371892,0.463090028116293,0.466987371984871,300
"SMA","CD8",0.503775820200302,0.502791282889822,0.508033599315415,300
"Unclass","CD8",0.374039813385147,0.370151545432208,0.376819019174484,300
"EpCAM: SMA","EpCAM",0.858081501813314,0.855949272051649,0.858515691112067,300
"SMA","EpCAM",0.779560141268758,0.779654093238717,0.77976359109538,300
"Unclass","EpCAM",0.433226197608705,0.433087667602254,0.434709957172451,300
"SMA","EpCAM: SMA",0.864899130433016,0.864663142000206,0.86468122572083,300
"Unclass","EpCAM: SMA",0.360340730470728,0.35970940603974,0.362560877228771,300
"Unclass","SMA",0.46479491517404,0.462581150164589,0.46570558240563,300
"EpCAM","CD8",0.495436250072895,0.492558752991243,0.498621855169577,350
"EpCAM: SMA","CD8",0.500221165767153,0.497554382900959,0.503523256156353,350
"SMA","CD8",0.538100282671716,0.535793473479013,0.541688321320891,350
"Unclass","CD8",0.386588634106695,0.382512348296214,0.38929337961552,350
"EpCAM: SMA","EpCAM",0.867009022667667,0.86692255236144,0.867611744463622,350
"SMA","EpCAM",0.797159888335424,0.797580851255649,0.79658328584211,350
"Unclass","EpCAM",0.452339031469844,0.45006981633586,0.454346858439576,350
"SMA","EpCAM: SMA",0.877240228190907,0.876997172488947,0.87766480812574,350
"Unclass","EpCAM: SMA",0.377037480422386,0.375153516622956,0.378050227535826,350
"Unclass","SMA",0.479699319992016,0.478052250990791,0.480500281160904,350
"EpCAM","CD8",0.526793652281442,0.526870838344969,0.53011746732862,400
"EpCAM: SMA","CD8",0.535744856169696,0.537648150274828,0.539875507512185,400
"SMA","CD8",0.572919991325843,0.572464966676625,0.574149618454896,400
"Unclass","CD8",0.402885624489099,0.399635080071241,0.403375953438788,400
"EpCAM: SMA","EpCAM",0.875649798897771,0.875428842079025,0.876130311062681,400
"SMA","EpCAM",0.807285192306445,0.805714228444678,0.806773934498184,400
"Unclass","EpCAM",0.467656573185049,0.464647970827837,0.4697859458765,400
"SMA","EpCAM: SMA",0.884042828943204,0.881894270535257,0.884420023237965,400
"Unclass","EpCAM: SMA",0.391015240572629,0.386497681747603,0.393590284946163,400
"Unclass","SMA",0.492963739670642,0.489581320953926,0.49504719517979,400
"EpCAM","CD8",0.540931073290304,0.541073951814476,0.544182882604646,450
"EpCAM: SMA","CD8",0.550361622045436,0.548390345147907,0.553528304930913,450
"SMA","CD8",0.584280556129383,0.583777648427236,0.587984252098571,450
"Unclass","CD8",0.417203908477149,0.41441300190961,0.416230579303507,450
"EpCAM: SMA","EpCAM",0.882017034194369,0.88022386821792,0.882132720012777,450
"SMA","EpCAM",0.817082978582144,0.817811268040289,0.817332230786608,450
"Unclass","EpCAM",0.481842841882116,0.479090689987704,0.482565083182737,450
"SMA","EpCAM: SMA",0.890978730799145,0.890322351328872,0.891236643678569,450
"Unclass","EpCAM: SMA",0.404960049134887,0.400460033909175,0.407273928625675,450
"Unclass","SMA",0.502986226149661,0.500999706541426,0.505043417550742,450
"EpCAM","CD8",0.561848542767026,0.559731663813879,0.562746123911184,500
