"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.312992466161627,0.309687743831422,0.30938245401409,50
"EpCAM: SMA","CD8",0.0366425085660582,0.0358058222985915,0.0462197742237853,50
"SMA","CD8",0.049423209818844,0.0527436946943224,0.055308331280056,50
"Unclass","CD8",0.288326231865271,0.286674578619935,0.279713884508528,50
"EpCAM: SMA","EpCAM",0.0258927182369594,0.0259205535642439,0.0269341272272479,50
"SMA","EpCAM",0.0160133551785421,0.0163182940688558,0.0175829698141218,50
"Unclass","EpCAM",0.457768507838622,0.45385590557482,0.456258266307475,50
"SMA","EpCAM: SMA",0.1606795497173,0.118979971085895,0.234560351453012,50
"Unclass","EpCAM: SMA",0.0176623382231949,0.0181013944935773,0.017868068631394,50
"Unclass","SMA",0.0524181404404061,0.0496083644234671,0.0568930837981003,50
"EpCAM","CD8",0.540983179920758,0.536894781022044,0.546798302273235,100
"EpCAM: SMA","CD8",0.0840244434310352,0.0895058765737692,0.0920952309007067,100
"SMA","CD8",0.120643499735193,0.115030663968471,0.122237156848729,100
"Unclass","CD8",0.48491534871173,0.466918633278316,0.489072225060395,100
"EpCAM: SMA","EpCAM",0.0574773160202871,0.0574677038775823,0.0554692294267336,100
"SMA","EpCAM",0.0440318785098104,0.0382106490643556,0.0419089793181964,100
"Unclass","EpCAM",0.628212048918523,0.625687852966868,0.633271173811931,100
"SMA","EpCAM: SMA",0.28357618676786,0.250870478164952,0.345176931111617,100
"Unclass","EpCAM: SMA",0.0482318638154652,0.048841728552815,0.0536283412972941,100
"Unclass","SMA",0.109275730674474,0.0937312897053292,0.109895486277631,100
"EpCAM","CD8",0.6488849150546,0.635027546749694,0.656101450608483,150
"EpCAM: SMA","CD8",0.148878075217885,0.173614898214924,0.130070782853203,150
"SMA","CD8",0.165716662997078,0.166834379056172,0.156291926877942,150
"Unclass","CD8",0.595021956870128,0.580193008824621,0.588657555289809,150
"EpCAM: SMA","EpCAM",0.0913276236001438,0.102778943991729,0.0812168902594893,150
"SMA","EpCAM",0.0662974572555025,0.0668291692572121,0.0652177811475437,150
"Unclass","EpCAM",0.699833237023289,0.698438948581028,0.701115783133636,150
"SMA","EpCAM: SMA",0.411657171211608,0.351104491702684,0.511992938876515,150
"Unclass","EpCAM: SMA",0.0922054594995102,0.0988788749193415,0.082454494630591,150
"Unclass","SMA",0.141787240170126,0.143070896670135,0.129923479755976,150
"EpCAM","CD8",0.709172101080335,0.69943806497408,0.726643511024136,200
"EpCAM: SMA","CD8",0.187364889222113,0.180582171535093,0.179168306463103,200
"SMA","CD8",0.196174935619057,0.190973793928335,0.183688822770915,200
"Unclass","CD8",0.637528194293471,0.622414283006877,0.650038000539462,200
"EpCAM: SMA","EpCAM",0.1265427494562,0.118207115137452,0.119335375122754,200
"SMA","EpCAM",0.0832182976864294,0.0699225970794636,0.07788891752684,200
"Unclass","EpCAM",0.738202279056344,0.736506276288359,0.737626591064146,200
"SMA","EpCAM: SMA",0.458868896274497,0.404963497087828,0.536881945876138,200
"Unclass","EpCAM: SMA",0.129477549734289,0.118105111021264,0.130910563281693,200
"Unclass","SMA",0.163117631249535,0.145444157001477,0.152048224491166,200
"EpCAM","CD8",0.753281244144212,0.749920151928103,0.747598706957648,250
"EpCAM: SMA","CD8",0.22767011421168,0.217766517480662,0.279387342585259,250
"SMA","CD8",0.245907976132472,0.244082439307311,0.265762182183937,250
"Unclass","CD8",0.670401108787399,0.659847548350112,0.656794088258216,250
