"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.172269734316541,0.170867467949945,0.173687497062859,50
"SMA","CD8",0.190624827606142,0.188372327598222,0.195134227679008,50
"Unclass","CD8",0.172095028618326,0.171212486708536,0.168640304154011,50
"SMA","EpCAM",0.502875371244275,0.500201757290064,0.505497845746031,50
"Unclass","EpCAM",0.351036174372359,0.345740493840871,0.357231820980617,50
"Unclass","SMA",0.197559903524766,0.195849710287114,0.200424008953222,50
"EpCAM","CD8",0.412772528443942,0.399422124605139,0.413702785188655,100
"SMA","CD8",0.406299012577437,0.392860177703007,0.420184316163096,100
"Unclass","CD8",0.340880213098188,0.333415267844953,0.355696645081741,100
"SMA","EpCAM",0.646185237197792,0.644721151478898,0.651388300061014,100
"Unclass","EpCAM",0.518151794604091,0.517465676431501,0.518194888811561,100
"Unclass","SMA",0.239923657591888,0.238331124858667,0.238442727006988,100
"EpCAM","CD8",0.576517533901973,0.557897772067752,0.587679706783469,150
"SMA","CD8",0.538200502470849,0.530965697438847,0.551831869798721,150
"Unclass","CD8",0.429569223281658,0.405283359995888,0.443612620982535,150
"SMA","EpCAM",0.685519332589686,0.684044683597564,0.687023809544454,150
"Unclass","EpCAM",0.588551729461546,0.592151561648362,0.591314369930935,150
"Unclass","SMA",0.254775182928468,0.25441720152646,0.258259489987847,150
"EpCAM","CD8",0.678353476994118,0.659187618670722,0.688711231883304,200
"SMA","CD8",0.61269691489225,0.597154360959919,0.621613055767311,200
"Unclass","CD8",0.48860297771192,0.483161704942577,0.504601527123579,200
"SMA","EpCAM",0.705343888045389,0.703702977387893,0.708219621317789,200
"Unclass","EpCAM",0.624188298273079,0.624128298276084,0.627730392918113,200
"Unclass","SMA",0.265051889512776,0.263885301313017,0.270061541659908,200
"EpCAM","CD8",0.753638518070259,0.742702265149506,0.770376476357805,250
"SMA","CD8",0.663229959798752,0.644008992469022,0.676471054452155,250
"Unclass","CD8",0.53479902598915,0.52891505409081,0.5444625056932,250
"SMA","EpCAM",0.717898680559362,0.714101964201164,0.716996962318797,250
"Unclass","EpCAM",0.659700000393215,0.661868729414719,0.659950118173622,250
"Unclass","SMA",0.273309430246077,0.27094235645129,0.272764095725574,250
"EpCAM","CD8",0.805013329856863,0.794408401497478,0.819165012554125,300
"SMA","CD8",0.696647374094315,0.688180069609673,0.700481235827534,300
"Unclass","CD8",0.5631196898714,0.550179942836818,0.581296142523489,300
"SMA","EpCAM",0.726681668971906,0.721802244105152,0.728051038156163,300
"Unclass","EpCAM",0.674616105632697,0.673659694631001,0.673210866608415,300
"Unclass","SMA",0.279249207020609,0.275764033835043,0.276310031168424,300
"EpCAM","CD8",0.825124763973801,0.80392889381812,0.839409304571558,350
"SMA","CD8",0.71094046833373,0.712626418838647,0.702579256314462,350
"Unclass","CD8",0.566830771421591,0.544840126825468,0.594594093130306,350
"SMA","EpCAM",0.73195659454451,0.730874498530531,0.734302632566896,350
"Unclass","EpCAM",0.683867820130871,0.685206741343359,0.686901124669241,350
"Unclass","SMA",0.281502886180298,0.280165524517279,0.284927163362668,350
"EpCAM","CD8",0.855991490365267,0.844657486959415,0.864964132521847,400
"SMA","CD8",0.737546412293371,0.717996717087287,0.761306407428716,400
"Unclass","CD8",0.590818935402649,0.597644932765781,0.587959659640577,400
"SMA","EpCAM",0.735626285157801,0.734771580460143,0.736146692419485,400
"Unclass","EpCAM",0.692497951889812,0.687905585203642,0.692255633046622,400
"Unclass","SMA",0.286620235673567,0.284219113358648,0.28768805266784,400
"EpCAM","CD8",0.873524874361616,0.854720622352483,0.883979057353628,450
"SMA","CD8",0.741264783944253,0.73610010182263,0.742811609220362,450
"Unclass","CD8",0.60468415215945,0.598447859856094,0.621996859643583,450
"SMA","EpCAM",0.740115149480637,0.742444546291267,0.742245244536935,450
"Unclass","EpCAM",0.709566479888747,0.707299137294502,0.711993710276743,450
"Unclass","SMA",0.292624933002764,0.290103500441493,0.297045263307206,450
"EpCAM","CD8",0.898287056207977,0.882679625628216,0.903633543835254,500
"SMA","CD8",0.759563670175256,0.760025009958645,0.773530071251399,500
"Unclass","CD8",0.613074899568442,0.595772582236981,0.618056426352897,500
"SMA","EpCAM",0.743576058438079,0.746768562100098,0.745737657129789,500
"Unclass","EpCAM",0.717963217246967,0.718057423532459,0.718897731217019,500
"Unclass","SMA",0.29481567250802,0.297263687324886,0.299243768484614,500
