,11ND,8LD,8RCU,12LD,6RB,11RD,14ND,14NC,3NB,3RC,10LC,10RBU,11LB,11RC,15LB,15NC/D,15RD,16LD,2RA,2RC,5NA,6RD,8RCL
Leukocytes,91384,37956,82957,29883,,,29143,57674,111882,61638,41475,89960,124379,20489,,,,,,,,,
leukocytes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Th,18.2373282,12.2325851,12.39798932,5.427835224,,,15.03276945,13.7046156,9.641407912,9.800772251,8.323086197,14.89995554,9.106038801,4.543901606,,,,,,,,,
Tregs,10.20747614,38.22584045,5.701749099,7.030753271,,,7.030847888,4.386725388,17.22260954,13.92971868,16.07233273,13.87394398,2.633885141,2.923519938,,,,,,,,,
CD8 T cells,5.58631708,3.293286964,2.48803597,2.399357494,,,6.811241121,4.03648091,6.289662323,4.382037055,2.013261001,4.357492219,0.88680565,1.883937723,,,,,,,,,
gd T cells,0.572310251,0.295078512,0.483382957,0.518689556,,,0.528428782,0.348510594,0.543429685,0.996138746,1.08981314,0.395731436,0.231550342,0.780906828,,,,,,,,,
NK cells,0.81852403,0.239751291,0.864303193,0.823210521,,,0.247057612,0.339841176,0.574712644,1.302767773,0.730560579,0.789239662,0.473552609,0.092732686,,,,,,,,,
B cells,3.202967697,2.597744757,11.50957725,36.91731085,,,5.521051367,16.27076326,16.90977995,16.48820533,8.528028933,14.1596265,11.31782696,58.91942018,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
DC,8.47253315,0.99781107,2.406491932,9.376231123,7.967667436,9.043307516,2.108293861,8.662805339,12.46231156,24.39218812,3.38069263,0.873729312,7.876542094,4.410011919,7.829967121,16.14173228,5.821186519,5.295566502,3.711428165,0.345152181,6.057410825,2.245827011,6.561238223
Monocytes,8.696400895,9.926940899,10.52140659,10.75508864,7.505773672,8.966946656,16.71774868,2.279022916,6.582914573,4.065364687,3.888113662,5.735248817,5.504089656,6.078665077,6.308125881,9.216177523,13.45743199,22.19147847,8.187578013,3.269532476,13.37319811,8.713361553,8.821220278
Neutrophils,11.95109351,7.135344117,9.896464882,9.612606697,10.3926097,4.843460238,8.219559766,7.957693276,11.65829146,3.905938621,20.22707091,4.424654849,13.78131261,3.694874851,8.393612024,6.299212598,10.58861758,9.597914401,11.7710259,2.133668026,18.75633004,6.817346857,7.021085689
MHCII-hi Macro,0.792147408,1.887597009,3.273948326,9.78332239,2.540415704,10.52688993,10.1513885,3.286325863,3.417085427,4.623355919,2.606875555,2.245932398,8.564929881,3.098927294,6.604039455,7.587687903,2.836319747,11.03736165,4.566210046,4.606212739,7.571069828,17.25740756,4.633991326
MHCII-lo Macro,4.511796108,29.75239503,26.54603115,10.99146422,5.427251732,9.763281335,16.08618928,6.900025183,8.944723618,2.789956158,2.537105163,25.59018735,5.110940395,5.36352801,8.628464068,6.066571224,6.471079751,10.09692278,25.76353668,25.02039536,7.217281518,18.34358278,8.666068491
,,,,,,,,,,,,,,,,,,,,,,,
Total,73.04889447,106.5843752,86.08938067,103.63587,33.83371824,43.14388568,88.45457631,68.1728095,94.24692868,86.67644334,69.3969405,87.34574205,65.48747414,91.79042611,37.76420855,45.31138153,39.1746356,58.21924381,53.9997788,35.37496078,52.97529031,53.37752576,35.70360401
Lin-,26.95110553,-6.584375195,13.91061933,-3.635869978,66.16628176,56.85611432,11.54542369,31.8271905,5.753071322,13.32355666,30.6030595,12.65425795,34.51252586,8.209573892,62.23579145,54.68861847,60.8253644,41.78075619,46.0002212,64.62503922,47.02470969,46.62247424,64.29639599
