,CD8.WSI,CD8Frac.WSI,CD8_EPorSMARatio.WSI,CD8_AnySMARatio.WSI,CD8_EPRatio.WSI,CD8.FACS,CD45.FACS,TumSize,CD8normTumSize,CD8.EpBoundingBox,Treatment,Growth,SpatialManual,log2CD8_EPorSMARatio.WSI,log2CD8_EPRatio.WSI,CD8.FACS,OverallCD8_Fig4c.Manual,TIL_Fig4d.Manual,CD45_graphpad,T.cell.CD8._TIMER,T.cell.CD8._CIBERSORT,T.cell.CD8._CIBERSORT.ABS,T.cell.CD8._QUANTISEQ,T.cell.CD8..naive_XCELL,T.cell.CD8._XCELL,T.cell.CD8..central.memory_XCELL,T.cell.CD8..effector.memory_XCELL,T.cell.CD8._EPIC,TumorFinalSize,CD8.EpDomTiles,CD8.TumSize,CD8.EpBoundingBox
10LB,65507,0.02289774,0.029356261,0.059267549,0.085979942,NA,15.2,35,1871.628571,5990.743476,PDL1,growing,Infiltrating,-5.04186207,-3.523173445,NA,54.75,2.5,15.20538084,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4.892905314,2072.914286,0.000150375
10LC,3481,0.010034071,0.013006374,0.021105156,0.032557357,0.02013261,51.4,25,139.24,13156.78353,PDL1,growing,Infiltrating,-6.157772645,-4.897227118,2.013261001,45,12.5,51.4318044,0.260336791,0.089441998,0.183019157,0.066569642,0.007868285,0.205261692,0.31486716,0.053278434,1.17E-08,25,1.589801444,140.92,6.84E-05
10LD,67342,0.068108769,0.084298468,0.169729811,0.349467304,NA,49.8,10,6734.2,2028.462895,PDL1,stable,Infiltrating,-3.551336354,-1.512648237,NA,145,52,49.80670843,0.340505442,0.207377923,0.444229078,0.096751659,0.001735046,0.310657717,0.439160244,0.065316255,0.227843338,10,25.24113255,8112.5,0.000531368
10NA,27239,0.046562712,0.05536821,0.083829589,0.083829589,NA,NA,12,2269.916667,3508.528407,PDL1,NA,restricted,-4.148974433,-3.559288609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4.042325718,2300.083333,0.000263813
10ND,22618,0.022719488,0.030338434,0.048843587,0.048843587,NA,NA,15,1507.866667,8705.544884,PDL1,stable,restricted,-4.995923121,-4.326448283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2.162980516,1643,0.000120371
10RBL,3393,0.020271481,0.026915114,0.040673212,0.058275939,NA,14.5,40,84.825,5686.653634,PDL1,growing,restricted,-5.162809749,-4.076409576,NA,41.53439153,2.645502646,14.49809512,0.116181193,0.202526101,0.272231147,0.212589707,0.022360437,0.29851648,0.35718124,0.05480509,0.139670426,40,2.911148365,86.825,0.000168592
10RBU,178767,0.067064099,0.085280689,0.134164839,0.409031003,NA,31.7,12,14897.25,1761.718288,PDL1,NA,restricted,-3.534818497,-1.286195096,4.357492219,NA,NA,NA,0.212421301,0.192339411,0.372822283,0.153945582,0.007524303,0.243055005,0.346889838,0.078131231,0.027623413,12,20.12044151,15494.41667,0.000570355
11LB,196293,0.152177739,0.334079351,0.334106077,0.33411347,0.008868057,37.3,25,7851.72,882.2211248,PDL1,growing,NA,-1.577425309,-1.577278418,0.88680565,NA,NA,NA,0.061042349,0.165355706,0.297017356,0,0.015055991,0.23068893,0.309712031,0.064853194,0.082801093,25,13.80637701,7880.68,0.001078374
11ND,42097,0.380067171,0.833983795,11.67739251,27.14184397,0.055863171,70.3,3,14032.33333,352.7403121,PDL1,stable,Infiltrating,-0.260179897,4.762499986,5.58631708,246.8253968,39.41798942,70.3,0.37426294,0.142317024,0.200803473,0.005596984,0.020988842,0.320293665,0.450504533,0.084663111,0.301111599,3,38.6663837,15183,0.00225927
11RC,40084,0.050418604,0.072787626,0.104111311,0.161983044,0.018839377,23.8,19,2109.684211,2933.438294,PDL1,growing,restricted,-3.760477292,-2.617206218,1.883937723,NA,NA,23.79151346,0.185880944,0.222598358,0.665126943,0.26215424,0.008515209,0.268773373,0.346027757,0.052597914,0.09667919,19,6.669449598,2270.421053,0.000353198
