"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Chad",274.890302385074,0.921436113157036,0.165403435116944,5.5708402458846,2.535137062828e-08,5.07661196831306e-05
"Cecr2",143.237847716252,-0.268056336175491,0.0793265472526054,-3.37915042894657,0.000727102110109918,0.0311448550908045
"Kin",245.723289945564,-0.25069718955177,0.0581278383399183,-4.31285932371595,1.61156666119769e-05,0.00297834134066218
"Hsp90aa1",303.994299682749,-0.717703808885617,0.155787795725603,-4.60693217682948,4.08653217561504e-06,0.00133622495036429
"Pamr1",384.086645739461,0.496536049622869,0.134907433853679,3.68056848639946,0.000232714542655691,0.0165425734917838
"Adamts7",250.252652908646,0.395933579692343,0.119079770899731,3.32494408328793,0.000884362697207631,0.0352425134558862
"Ccl11",537.44376918097,0.451507690309508,0.115308282765241,3.91565704979531,9.01583323762074e-05,0.0100301144768531
"Mcpt8l2",277.522978692614,0.387565344966363,0.116014575268676,3.34066080980608,0.000835792631567287,0.0339832435474821
"Gcnt1",177.298398574133,-0.264573376898065,0.0765825353237135,-3.45474821092977,0.000550806953449088,0.0262616886733762
"Cst6",1137.67619061266,0.260932714444382,0.0627199992078942,4.16027930069776,3.17858641936043e-05,0.00480386362624095
"Rps6",123.304267724162,-0.486781747560172,0.143584034552427,-3.39022196358768,0.000698360543939445,0.0307355382250272
"Mir207",132.673544242659,-0.294402800519362,0.0559931211770071,-5.25783871895063,1.45758261470444e-07,0.000116752367437826
"Lamc3",136.652538459519,0.405470979741558,0.110663588661292,3.66399630308919,0.000248310369813041,0.0172953570626301
"Serpinh1",11858.6931698901,0.272710159255846,0.0748233659296411,3.64471921127265,0.000267683892704012,0.01832605111589
"Tpsab1",590.696154917598,0.760475283133691,0.0980970666436591,7.75227342827837,9.02617721113072e-15,7.22996794611571e-11
"Mcpt1l1",351.354969812087,0.575271140896903,0.121328324482572,4.74144140166985,2.12203036836597e-06,0.00084987316253057
"Hsph1",15660.4703766597,-0.311225094229237,0.0705609959611138,-4.41072422504855,1.03025460336058e-05,0.00208877913696331
