"","Skeletal muscle development","Blood vessel morphogenesis","Regulation of angiogenesis","Neuromuscular junction","Neurogenesis","ERK5 in cell proliferation and neuronal survival","Neurogenesis in general","EMT","Wnt","IL-6 signaling","ESR1-membrane pathway","ESR1-nuclear pathway","ERBB-family signaling","NOTCH signaling","Mitosis","Meiosis","G1-S Growth factor regulation","Cholecystokinin signaling","Negative regulation of cell proliferation","Cytoplasmic microtubules","Regulation of cytoskeleton rearrangement","Spindle microtubules","Actin filaments","NA","Phagocytosis","Cadherins","Integrin priming","Attractive and repulsive receptors","Integrin-mediated cell-matrix adhesion","Amyloid proteins","Platelet aggregation","Cell-matrix interactions",""
"C1T1","2","5","11","6","1","0","7","5","7","1","1","8","5","7","5","5","4","2","1","4","2","6","1","5","7","4","8","1","5","6","3","12","Development"
"C2T1","3","4","3","0","0","0","1","4","1","4","0","0","0","4","4","1","0","0","6","0","0","4","0","2","0","3","0","1","0","4","0","5","Development"
"C3T1","0","8","8","1","5","0","5","6","3","2","3","1","1","3","2","2","2","2","7","2","2","2","1","1","3","6","5","5","4","1","2","2","Development"
"C3T2","0","6","6","0","1","1","2","4","1","3","0","2","2","3","2","1","2","0","2","0","0","1","0","0","3","4","1","1","2","1","0","2","Development"
"C3T3","0","5","4","0","4","1","3","5","1","1","2","2","0","2","5","2","0","2","3","2","1","3","1","0","1","5","3","3","2","2","1","2","Development"
"C4T1","0","7","3","3","1","1","8","4","1","2","0","3","0","4","7","1","0","0","1","5","1","9","0","2","1","6","3","2","1","4","1","4","Development"
"C20T1","2","9","5","5","11","2","8","7","4","3","3","6","4","10","6","4","2","4","8","3","2","8","3","2","3","4","5","6","3","7","2","4","Development"
"C21T1","5","9","3","3","8","0","2","7","1","3","2","5","1","8","6","7","2","2","8","3","5","5","3","4","2","5","2","6","3","6","3","4","Development"
"C22T1","8","11","6","5","13","2","4","4","5","5","4","8","4","5","4","2","2","4","3","3","7","5","6","1","4","8","6","10","6","9","7","5","Cardiac development"
"C22T2","0","7","1","2","1","2","1","2","0","4","3","3","2","3","4","2","1","1","1","2","0","3","0","1","0","3","1","2","2","3","1","1","Inflammation"
"C22T3","2","5","3","3","3","2","1","3","1","4","1","4","2","2","3","2","2","1","2","1","1","3","1","2","1","6","3","3","2","3","0","2","Signal transduction"
"C23T1","2","3","5","2","3","0","6","4","1","4","1","3","0","5","3","1","0","1","3","3","1","3","1","2","4","4","1","2","3","3","2","1","Signal transduction"
"C24T1","4","7","3","1","6","2","1","3","1","8","3","6","3","5","4","6","2","2","4","2","6","3","3","4","4","10","3","8","3","3","4","4","Signal transduction"
"C25T1","3","5","2","2","4","0","5","5","4","3","1","5","1","4","7","2","2","0","3","6","3","7","3","5","3","8","4","5","5","4","2","4","Signal transduction"
"C26T1","2","8","4","6","4","1","4","4","3","3","3","11","4","8","6","4","3","3","8","5","4","8","1","5","2","6","4","1","3","6","2","5","Cell cycle"
"C27T1","2","7","4","7","2","1","11","3","2","2","5","13","6","6","6","5","4","2","4","4","2","8","2","3","2","7","4","2","3","5","2","4","Cell cycle"
"C28T1","2","5","4","3","1","1","7","3","1","2","0","6","1","6","6","3","1","1","2","3","1","6","3","4","2","5","2","3","0","6","0","7","Cell cycle"
"C29T1","3","7","7","4","1","0","3","4","4","1","1","0","1","1","2","1","0","1","0","1","0","3","3","4","5","3","4","2","2","4","1","4","Signal Transduction"
"C30T2","2","11","3","0","2","0","4","8","3","1","0","2","2","3","3","8","1","0","1","2","19","3","18","3","1","23","1","2","2","6","2","6","Proliferation"
"C30T3","0","6","2","2","3","1","4","5","3","2","3","2","3","4","3","5","2","2","3","1","21","4","20","1","0","23","4","2","4","6","3","6","Cytoskeleton"
"C31T1","0","4","0","2","1","0","4","0","0","1","0","2","0","2","4","3","0","1","2","2","0","5","1","1","0","3","0","1","0","1","0","0","Cytoskeleton"
"C6T1","4","10","7","8","6","2","8","15","7","5","3","7","5","9","8","9","8","7","6","3","4","3","2","9","6","12","9","6","6","8","6","5","Cytoskeleton"
"C9T1","4","6","3","4","8","1","5","6","1","7","2","6","3","8","4","3","5","4","3","3","2","5","3","5","4","8","5","10","5","4","4","4","Cytoskeleton"
"C9T2","5","8","6","4","7","0","10","12","6","5","0","9","2","12","9","3","5","3","7","8","2","10","4","3","2","10","5","5","5","5","5","8","Muscle contraction"
"C10T1","2","6","4","1","4","0","3","2","3","3","2","5","0","3","6","2","0","1","1","2","2","3","1","4","2","8","2","4","4","5","1","7","Immune response"
"C10T6","4","10","5","3","4","0","5","2","3","2","2","5","1","2","4","1","0","0","3","2","6","2","6","4","5","4","4","6","8","6","4","7","Cell adhesion"
"C10T7","2","7","4","0","2","1","3","2","3","4","1","5","0","2","5","4","0","0","1","4","2","6","2","4","2","9","2","2","3","5","2","6","Cell adhesion"
"C11T1","3","7","2","3","2","0","5","3","3","1","1","5","2","4","5","4","1","2","1","4","1","7","2","4","2","4","1","2","2","7","2","4","Cell adhesion"
"C12T1","0","2","2","1","3","0","0","3","0","1","0","3","0","4","3","3","0","1","5","0","2","3","3","1","0","3","1","4","1","2","1","2","Cell adhesion"
"C15T1","2","6","2","1","0","0","4","5","1","0","1","4","3","3","5","3","5","1","5","2","1","3","4","4","3","5","2","1","2","8","2","7","Cell adhesion"
"C19T1","2","6","3","2","2","3","2","2","3","2","0","7","1","4","2","1","2","1","2","0","1","3","2","4","1","5","4","3","1","3","2","5","Cell adhesion"
