"","C2T1","C3T1","C5T1","C7T1","C9T1","C10T2","C10T4","C10T6","C11T1","C17T4"
"Cd300le",11.8377032405699,9.02882460192821,9.94503344954696,8.23256210002448,11.2242132626254,9.26156784023285,7.5292709517385,5.85564714003239,8.30142935038349,6.82779618313673
"Tnfrsf4",13.3112014816169,14.2751808157024,14.3586595390121,12.4822595603544,13.0726922755099,13.4142889029515,12.474127524772,13.5737142376277,12.538533012512,13.0383568738913
"Ptn",8.88354956354541,10.534358939366,9.57039928462636,7.64110611885056,9.57821963088585,8.20369068464065,8.72479300568004,10.1781278785688,8.23783934058746,8.21786920420741
"C4a",9.02389206118606,6.65260914029852,8.38032965362772,5.65831082790426,4.74342100890473,4.18856182672874,4.80353610959102,5.53091233457025,4.85579846809695,4.47752375790547
"Adrb2",8.03944268799726,8.41892434239118,7.7503968157898,9.30504472808414,7.63614146099627,9.38719086090842,10.1022062762235,8.16607283420108,10.0378298984766,9.84856496177465
"Was",9.89196694084712,10.1788155514587,11.1321232621188,9.23800916468022,10.0680803361561,9.99933771134494,9.134778209434,9.95127853129111,9.40510981333252,9.19142020835119
"Wfdc2",7.8219160781586,8.89975660661214,8.53588403128522,6.28991606421834,8.45319477849246,7.07625459098182,7.01620627279639,6.79621859927343,6.7207013848104,6.00941441392598
"Ifng",7.20841673762584,8.89975660661214,7.2970833188481,9.46109593768943,8.32512767491713,6.75087871299185,10.3665033296549,9.13467233023026,9.16210928100188,10.3707457418647
"Ccl12",12.8278274529894,6.88470780517745,7.63897600711545,4.87006336369161,10.6094106275195,3.48748816779447,5.44425504339392,4.65109193866087,5.32655926903644,4.56799293278708
"Gja1",9.39762361608855,7.75121747410137,8.52027911310973,5.41395609191962,6.17816978244628,6.46825086981071,3.48748816779447,5.53091233457025,4.74384781035829,4.86259718925626
"S100a6",15.1296525656756,15.0714998123913,14.0398867038105,10.3701992049859,12.9370349831559,12.4274216617104,11.4507067020746,12.0811331612584,11.8783646465679,11.6543707763527
"Hspa5",13.7104441621335,14.1537165939859,14.399844618138,16.3020612189708,14.5630593671734,15.4596545867314,16.4964364311256,16.0376501678541,16.7832739115133,16.2605464990611
"Srxn1",9.26384844308654,8.12990313788582,9.72123270829514,12.0355998425194,9.79952622924043,8.27261103597523,10.4327108259473,7.8442157740092,11.5058120989455,9.12482498129875
"Havcr2",9.52903383744149,9.2770854275341,9.57039928462636,11.577616877837,9.75919094579081,8.25568798422883,10.8658273320717,8.12680506929694,10.605053957006,9.61181742651136
"Crlf2",12.2741388568123,11.5535636782101,11.8781884795852,9.05662242909844,9.01870383713817,8.68330882519252,8.4839624622572,9.27681783335954,9.23333564046317,8.29568329744269
"Ache",6.90855040705432,6.23589773386518,6.13984220171239,8.71869108318344,6.50568008066528,5.63252107346751,8.26202289500737,7.4501073670903,9.06538487423902,7.04908716186405
"Rarres2",9.41228995019535,8.71172377379454,8.67626140490722,5.10992267397449,4.97032859138124,4.95308709571921,5.37120180504281,4.17123589495271,3.48748816779447,3.48748816779447
"Prkaca",8.95876340011933,8.87707506621178,9.47655135387281,6.96755625412018,7.64551728270558,7.98488967072502,6.79817753059887,7.60450226729983,7.52966612986322,6.92313110000562
"Gmfg",14.5520541291543,14.5033145757043,13.7151470033607,10.659240508305,13.5813861898937,12.5429376029727,11.700855184025,12.6297306243353,12.1064626872806,12.236320968024
"Il3ra",11.1194613398808,10.8823806209936,10.771267336523,8.17816575670157,8.28975637570923,7.16092073234898,7.07126610625011,7.21152817181972,7.99269614135082,7.11962999436096
"Cd3g",13.0927022653397,14.5492939686998,14.345172759863,11.7167037921389,12.7016735262077,13.6520185897593,12.0704024129046,13.4950714794442,12.5862728141901,12.5274165740301
"Lst1",9.51551348204284,7.66537124145907,8.4478853891181,6.52954691577872,9.83263915366166,6.52665540418073,7.25351987694042,6.95525500437789,6.41383873866714,6.53097318044806
"Ctsd",13.0589333190484,13.8455022034816,13.2494618243581,12.049535493478,13.8719207435754,13.4530295279856,11.7300244077459,11.9676759492788,11.7192749349947,11.4604850993595
"Ifngr1",11.5109544056074,11.998516074148,12.1529963401189,13.9814858937829,12.0178181798881,11.8792282240996,12.8783241939692,11.8904461484332,12.3695608289832,12.6973897728108
"Pdk1",9.9534176707724,9.59219624510506,8.63339173011596,7.79985197620471,9.9485657238813,9.60137575468934,8.41371723792945,8.9597020817297,8.57961131678094,8.36469926193685
"Crabp1",9.48346409522457,8.39249841949568,9.78786634292221,5.10992267397449,6.22996870885631,5.35651875922768,3.48748816779447,4.87060128146384,5.32655926903644,4.79660007050427
"Anxa4",12.6725674368515,11.500169517746,11.8378787149743,10.3932344607787,11.4329210998249,11.0096385371774,9.98751597049288,10.8222360891125,10.7031573687181,10.406216373421
"Ddit3",9.95007156730443,9.24792405855372,9.7246385308948,11.9995076707599,11.6643181752178,10.2903053034347,11.8201485274835,10.6600495260584,12.2187290915891,11.8452107113525
"Rps6ka4",11.4494911299785,11.6931228881134,12.1928795526233,8.59965169234092,8.9711544052848,9.71394651493812,9.14755705581556,9.45451353289323,9.67666761959696,8.8537979570718
"Nr4a2",7.04125495747634,9.0492553905476,10.081441957176,12.8272520102382,9.94289067228184,10.8378828263974,12.6244717463214,11.2957159780648,12.1846101418921,12.6854099452845
"Rbp1",8.59717537234765,8.64167192640539,8.33643846346984,4.81509939218659,5.50867715614389,4.3868676199137,3.48748816779447,6.22207125341798,4.80132842112086,3.93716210476771
"Gabarap",15.6261338517516,14.5819293945851,14.4343081294791,13.1745768477869,14.2021031618196,12.7590389944526,12.3820046862086,12.7880271348966,12.7255191050147,12.6863720008177
"Mapk3",10.3712340139362,9.53299383988725,10.0573352630627,6.87873442945098,9.48496157306898,8.5334816252738,8.11345147199576,8.61372628011462,8.02321027726277,7.77140264867629
"Nfkb1",12.6219549659991,13.29473922463,12.9117292474702,14.7371891508984,11.2611626753596,13.4481562941045,15.1752593299679,13.5000876267175,14.3220445195992,13.6554607438497
"Slamf7",8.50889651245057,7.1865896530243,7.84126178313796,10.8201345889099,8.73751652940873,5.99264475222873,9.4679397046965,7.74963173005724,10.250149559719,10.1817274599271
"S100a16",8.8041928512058,8.76211407376124,8.99682549355305,4.30561002964715,8.6285395373187,7.15175812109166,3.48748816779447,7.07077911441868,5.09360000897485,5.03945911576775
"Cyba",16.0597910147392,14.8092874584294,14.7582302947857,12.5544472218538,13.0802503879779,12.4804375529941,12.2916741232717,12.4450537541642,12.6190449746955,12.3052647737238
"Cd79b",6.90855040705432,6.9878869530902,5.63885698873534,7.10100012643048,7.19959423666015,5.99264475222873,3.48748816779447,5.24563250824097,8.57618887761438,11.5280506292377
"Des",9.22005848351247,8.11056779000237,9.05210711453168,6.12334481115712,6.32807854175707,7.22346113617621,7.03848669281852,7.20312709496229,6.15765024975473,5.59673809000539
"Klf4",10.4773113062851,10.5736608205628,9.51639947543834,11.5187255653365,9.64265761833781,10.3472600436552,11.6662098075704,10.2769549948795,11.8499738302182,11.0524278768253
"Gnb2",12.9893349482902,12.7727950149166,12.7173347863688,9.85084622308183,10.435781799792,10.6091775807654,9.83000303130923,10.3411724611276,9.91190237252653,9.61989831526497
"Lcn2",7.93479258041986,7.57405627931052,8.63339173011596,5.23303744420613,10.8817216398088,5.68657633073796,5.8900987305003,8.25373208469508,4.9076194434263,6.08347300982851
"Bach2",5.01431742041124,6.23589773386518,5.57655143628907,8.67683047697626,6.46335446658284,7.10503964502697,8.366367029836,6.60418901907935,8.47690123294301,8.10710259474668
