"","cell_type","variable","value","cell_type2","sdat"
"1","B cell naive_CIBERSORT","C2N__CD45",0.013869621885601,"B ce","C2N__CD45.B ce"
"2","B cell memory_CIBERSORT","C2N__CD45",0.0100446566036549,"B ce","C2N__CD45.B ce"
"3","B cell plasma_CIBERSORT","C2N__CD45",0,"B ce","C2N__CD45.B ce"
"4","T cell CD8+_CIBERSORT","C2N__CD45",0.154339820062122,"T CD8","C2N__CD45.T CD8"
"5","T cell CD4+ naive_CIBERSORT","C2N__CD45",0,"T CD4","C2N__CD45.T CD4"
"6","T cell CD4+ memory resting_CIBERSORT","C2N__CD45",0,"T CD4","C2N__CD45.T CD4"
"7","T cell CD4+ memory activated_CIBERSORT","C2N__CD45",0,"T CD4","C2N__CD45.T CD4"
"8","T cell follicular helper_CIBERSORT","C2N__CD45",0.0733743724565973,"T ce","C2N__CD45.T ce"
"9","T cell regulatory (Tregs)_CIBERSORT","C2N__CD45",0.0911984642750658,"T ce","C2N__CD45.T ce"
"10","T cell gamma delta_CIBERSORT","C2N__CD45",0,"T ce","C2N__CD45.T ce"
"11","NK cell resting_CIBERSORT","C2N__CD45",0,"NK c","C2N__CD45.NK c"
"12","NK cell activated_CIBERSORT","C2N__CD45",0.099012237553731,"NK c","C2N__CD45.NK c"
"13","Monocyte_CIBERSORT","C2N__CD45",0.0677060934288769,"Mono","C2N__CD45.Mono"
"14","Macrophage M0_CIBERSORT","C2N__CD45",0,"Macr","C2N__CD45.Macr"
"15","Macrophage M1_CIBERSORT","C2N__CD45",0,"Macr","C2N__CD45.Macr"
"16","Macrophage M2_CIBERSORT","C2N__CD45",0.108750881604872,"Macr","C2N__CD45.Macr"
"17","Myeloid dendritic cell resting_CIBERSORT","C2N__CD45",0.126978201859231,"Myel","C2N__CD45.Myel"
"18","Myeloid dendritic cell activated_CIBERSORT","C2N__CD45",0.10078087837394,"Myel","C2N__CD45.Myel"
"19","Mast cell activated_CIBERSORT","C2N__CD45",0,"Mast","C2N__CD45.Mast"
"20","Mast cell resting_CIBERSORT","C2N__CD45",0.153944771896307,"Mast","C2N__CD45.Mast"
"21","Eosinophil_CIBERSORT","C2N__CD45",0,"Eosi","C2N__CD45.Eosi"
"22","Neutrophil_CIBERSORT","C2N__CD45",0,"Neut","C2N__CD45.Neut"
"23","B cell naive_CIBERSORT","C2R__CD45",0,"B ce","C2R__CD45.B ce"
"24","B cell memory_CIBERSORT","C2R__CD45",0.046431141110678,"B ce","C2R__CD45.B ce"
"25","B cell plasma_CIBERSORT","C2R__CD45",0,"B ce","C2R__CD45.B ce"
"26","T cell CD8+_CIBERSORT","C2R__CD45",0.340867793573519,"T CD8","C2R__CD45.T CD8"
"27","T cell CD4+ naive_CIBERSORT","C2R__CD45",0,"T CD4","C2R__CD45.T CD4"
"28","T cell CD4+ memory resting_CIBERSORT","C2R__CD45",0,"T CD4","C2R__CD45.T CD4"
"29","T cell CD4+ memory activated_CIBERSORT","C2R__CD45",0.0247205336491495,"T CD4","C2R__CD45.T CD4"
"30","T cell follicular helper_CIBERSORT","C2R__CD45",0.0810899438681897,"T ce","C2R__CD45.T ce"
"31","T cell regulatory (Tregs)_CIBERSORT","C2R__CD45",0.3518179567392,"T ce","C2R__CD45.T ce"
"32","T cell gamma delta_CIBERSORT","C2R__CD45",0,"T ce","C2R__CD45.T ce"
"33","NK cell resting_CIBERSORT","C2R__CD45",0,"NK c","C2R__CD45.NK c"
"34","NK cell activated_CIBERSORT","C2R__CD45",0.0111096505836886,"NK c","C2R__CD45.NK c"
"35","Monocyte_CIBERSORT","C2R__CD45",0.0197362133080142,"Mono","C2R__CD45.Mono"
"36","Macrophage M0_CIBERSORT","C2R__CD45",0,"Macr","C2R__CD45.Macr"
"37","Macrophage M1_CIBERSORT","C2R__CD45",0,"Macr","C2R__CD45.Macr"
"38","Macrophage M2_CIBERSORT","C2R__CD45",0.0204487253163431,"Macr","C2R__CD45.Macr"
"39","Myeloid dendritic cell resting_CIBERSORT","C2R__CD45",0.0309239366272349,"Myel","C2R__CD45.Myel"
"40","Myeloid dendritic cell activated_CIBERSORT","C2R__CD45",0,"Myel","C2R__CD45.Myel"
"41","Mast cell activated_CIBERSORT","C2R__CD45",0.0728541052239833,"Mast","C2R__CD45.Mast"
"42","Mast cell resting_CIBERSORT","C2R__CD45",0,"Mast","C2R__CD45.Mast"
"43","Eosinophil_CIBERSORT","C2R__CD45",0,"Eosi","C2R__CD45.Eosi"
"44","Neutrophil_CIBERSORT","C2R__CD45",0,"Neut","C2R__CD45.Neut"
"45","B cell naive_CIBERSORT","C5R__CD45",0,"B ce","C5R__CD45.B ce"
"46","B cell memory_CIBERSORT","C5R__CD45",0.0581750711569987,"B ce","C5R__CD45.B ce"
"47","B cell plasma_CIBERSORT","C5R__CD45",0,"B ce","C5R__CD45.B ce"
"48","T cell CD8+_CIBERSORT","C5R__CD45",0.208292138550155,"T CD8","C5R__CD45.T CD8"
"49","T cell CD4+ naive_CIBERSORT","C5R__CD45",0,"T CD4","C5R__CD45.T CD4"
"50","T cell CD4+ memory resting_CIBERSORT","C5R__CD45",0,"T CD4","C5R__CD45.T CD4"
"51","T cell CD4+ memory activated_CIBERSORT","C5R__CD45",0.0205980733742182,"T CD4","C5R__CD45.T CD4"
"52","T cell follicular helper_CIBERSORT","C5R__CD45",0.0942116950394148,"T ce","C5R__CD45.T ce"
"53","T cell regulatory (Tregs)_CIBERSORT","C5R__CD45",0.454309616919024,"T ce","C5R__CD45.T ce"
"54","T cell gamma delta_CIBERSORT","C5R__CD45",0,"T ce","C5R__CD45.T ce"
"55","NK cell resting_CIBERSORT","C5R__CD45",0,"NK c","C5R__CD45.NK c"
"56","NK cell activated_CIBERSORT","C5R__CD45",0.00738177231440204,"NK c","C5R__CD45.NK c"
"57","Monocyte_CIBERSORT","C5R__CD45",0.085155789484755,"Mono","C5R__CD45.Mono"
