"","sample","Val","Lower","Upper","Type","Batch","Calc"
"Control1__CD45","Control1__CD45",0.874321399552648,0.68206211404057,0.92570991314847,"CD45","Normal","shannon"
"NMU10_LL_CD45","NMU10_LL_CD45",0.727495477013323,0.61361219342813,0.815827696536594,"CD45","1","shannon"
"NMU12_LA_CD45","NMU12_LA_CD45",NA,NA,NA,"CD45","1","shannon"
"NMU13_LAU_CD45","NMU13_LAU_CD45",0,NA,NA,"CD45","1","shannon"
"NMU13_LLU_CD45","NMU13_LLU_CD45",0,NA,NA,"CD45","1","shannon"
"NMU13_RAU_CD45","NMU13_RAU_CD45",0,NA,NA,"CD45","1","shannon"
"NMU14__CD45","NMU14__CD45",0.90495650884083,0.650097561010293,0.956771083948889,"CD45","1","shannon"
"NMU7_RLU_CD45","NMU7_RLU_CD45",0.842272141340582,0.703014573572461,0.887317135016065,"CD45","1","shannon"
"C2N__CD45","C2N__CD45",0.919036886109272,0.709837315790489,0.973751592909213,"CD45","1","shannon"
"C2R__CD45","C2R__CD45",0.878970403010289,0.73410244232617,0.928653793217103,"CD45","1","shannon"
"C5R__CD45","C5R__CD45",0,NA,NA,"CD45","1","shannon"
"C2N_matchedNMUCD45","C2N_matchedNMUCD45",0.860816733271509,0.794920124076162,0.866754629640498,"CD45","match","shannon"
"C2R_matchedNMUCD45","C2R_matchedNMUCD45",0.880514041450062,0.818082520285327,0.887987412236568,"CD45","match","shannon"
"C5R_matchedNMUCD45","C5R_matchedNMUCD45",0.70431312523473,0.548373983792302,0.791980322548984,"CD45","match","shannon"
"C6N_matchedNMUCD45","C6N_matchedNMUCD45",0.805617295122452,0.623720660243238,0.860124862739705,"CD45","match","shannon"
"C6R_matchedNMUCD45","C6R_matchedNMUCD45",0.751614367592493,0.536935172750194,0.845706838726999,"CD45","match","shannon"
"C7N_matchedNMUCD45","C7N_matchedNMUCD45",0.939151920962355,0.817554014719361,0.943414829330667,"CD45","match","shannon"
"C7R_matchedNMUCD45","C7R_matchedNMUCD45",0.809819687796436,0.703202585838304,0.83422227606278,"CD45","match","shannon"
"Control1__CD451","Control1__CD45",0.381578947368421,0.276315789473684,0.526315789473684,"CD45","Normal","Gini"
"NMU10_LL_CD451","NMU10_LL_CD45",0.324074074074074,0.0277777777777777,0.398148148148148,"CD45","1","Gini"
"NMU12_LA_CD451","NMU12_LA_CD45",0,0,0,"CD45","1","Gini"
"NMU13_LAU_CD451","NMU13_LAU_CD45",NA,NA,NA,"CD45","1","Gini"
"NMU13_LLU_CD451","NMU13_LLU_CD45",NA,NA,NA,"CD45","1","Gini"
"NMU13_RAU_CD451","NMU13_RAU_CD45",NA,NA,NA,"CD45","1","Gini"
"NMU14__CD451","NMU14__CD45",0.298136645962733,0.186335403726708,0.496894409937888,"CD45","1","Gini"
"NMU7_RLU_CD451","NMU7_RLU_CD45",0.461538461538462,0.382920110192837,0.573484848484849,"CD45","1","Gini"
"C2N__CD451","C2N__CD45",0.276923076923077,0.153846153846154,0.461923076923077,"CD45","1","Gini"
"C2R__CD451","C2R__CD45",0.399092970521542,0.285650510204082,0.526077097505669,"CD45","1","Gini"
"C5R__CD451","C5R__CD45",NA,NA,NA,"CD45","1","Gini"
"C2N_matchedNMUCD451","C2N_matchedNMUCD45",0.478021622321486,0.474964898233888,0.578236204359689,"CD45","match","Gini"
"C2R_matchedNMUCD451","C2R_matchedNMUCD45",0.471870946822309,0.452556028601748,0.556001522585011,"CD45","match","Gini"
"C5R_matchedNMUCD451","C5R_matchedNMUCD45",0.552173913043478,0.463768115942029,0.663446054750403,"CD45","match","Gini"
"C6N_matchedNMUCD451","C6N_matchedNMUCD45",0.402412280701754,0.408955381241566,0.60672514619883,"CD45","match","Gini"
"C6R_matchedNMUCD451","C6R_matchedNMUCD45",0.472826086956522,0.380434782608696,0.619604037267081,"CD45","match","Gini"
"C7N_matchedNMUCD451","C7N_matchedNMUCD45",0.30952380952381,0.272642390289449,0.469845679012346,"CD45","match","Gini"
"C7R_matchedNMUCD451","C7R_matchedNMUCD45",0.456997971602434,0.454462284482759,0.592377616995074,"CD45","match","Gini"
"Control1__CD452","Control1__CD45",0.842105263157895,0.842105263157895,0.842105263157895,"CD45","Normal","Top10"
"NMU10_LL_CD452","NMU10_LL_CD45",1,1,1,"CD45","1","Top10"
"NMU12_LA_CD452","NMU12_LA_CD45",1,1,1,"CD45","1","Top10"
"NMU13_LAU_CD452","NMU13_LAU_CD45",0,0,0,"CD45","1","Top10"
"NMU13_LLU_CD452","NMU13_LLU_CD45",0,0,0,"CD45","1","Top10"
"NMU13_RAU_CD452","NMU13_RAU_CD45",0,0,0,"CD45","1","Top10"
"NMU14__CD452","NMU14__CD45",0.826086956521739,0.826086956521739,0.826086956521739,"CD45","1","Top10"
"NMU7_RLU_CD452","NMU7_RLU_CD45",0.757575757575758,0.757575757575758,0.757575757575758,"CD45","1","Top10"
"C2N__CD452","C2N__CD45",1,1,1,"CD45","1","Top10"
"C2R__CD452","C2R__CD45",0.816326530612245,0.816326530612245,0.816326530612245,"CD45","1","Top10"
"C5R__CD452","C5R__CD45",0,0,0,"CD45","1","Top10"
"C2N_matchedNMUCD452","C2N_matchedNMUCD45",0.439114391143911,0.439114391143911,0.439114391143911,"CD45","match","Top10"
"C2R_matchedNMUCD452","C2R_matchedNMUCD45",0.431906614785992,0.431906614785992,0.431906614785992,"CD45","match","Top10"
"C5R_matchedNMUCD452","C5R_matchedNMUCD45",0.826086956521739,0.826086956521739,0.826086956521739,"CD45","match","Top10"
"C6N_matchedNMUCD452","C6N_matchedNMUCD45",0.614035087719298,0.614035087719298,0.614035087719298,"CD45","match","Top10"
"C6R_matchedNMUCD452","C6R_matchedNMUCD45",0.847826086956522,0.847826086956522,0.847826086956522,"CD45","match","Top10"
"C7N_matchedNMUCD452","C7N_matchedNMUCD45",0.523809523809524,0.523809523809524,0.523809523809524,"CD45","match","Top10"
"C7R_matchedNMUCD452","C7R_matchedNMUCD45",0.510344827586207,0.510344827586207,0.510344827586207,"CD45","match","Top10"
