"","Time(weeks)","P5T1","P5T2","P5T3","P4T1","P7T1","P7T2","P6T2","P6T1","P8T2","P8T1","P12T1","P12T2","P12T3","P12T4","P14T1","P13T1","P40T1","P39T3","P39T1","P9T1","P11T1","P11T2","P10T1","P10T2","P41T1","P16T1","P18T1","P15T1","P15T2","P17T1","P17T2","P17T3","P18T2","P20T3","P20T1","P20T2","P19T4","P19T2","P19T1","P19T3","P21T1","P22T2","P22T1","P24T1","P24T3","P24T2","P26T1","P25T2","P27T1","P29T2","P29T1","P28T1","P30T2","P38T2","P38T1","P37T1","P42T1","P42T2","P42T3","P42T4","P32T2","P32T1","P31T2","P31T3","P31T1","P33T1","P35T1","P34T3","P34T2","P34T1","P36T3","P3T2","P2T2","P1T1","P2T1","P23T2","P23T1","P36T2"
"1","Untreated","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","Vehicle","LY","LY","LY","LY","LY","LY","LY","LY","LY","LY","LY","LY","LY","LY","LY","LY","LY","LY","PDL1","PDL1","PDL1","PDL1","PDL1","PDL1","PDL1","PDL1","PDL1","PDL1","PDL1","PDL1","PDL1","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY","PDL1+LY"
"2","0","4","0","0","4","3","1","7","0","5","0","5","0","15","2","4","10","10","5","7","0","0","7","6","6","10","10","2","2","0","5","0","0","2","3","3","3","2","0","0","0","3","2","0","5","0","0","6","2","3","3","0","2","2","3","12","5","6","5","2","15","3","0","3","0","0","3","4","4","0","0","3","7","4","2","6","7","0","0"
"3","1","8","15","20","9","12","3","14",NA,"12","4",NA,"4",NA,NA,NA,NA,"20","7","15",NA,NA,"11","12","15","17","40","5","2",NA,"10",NA,NA,"3","2",NA,NA,"2",NA,NA,NA,"6","5","12","10",NA,NA,"10","2","2","5","3","2","3","3",NA,"8","10","8","2",NA,"2",NA,"4",NA,NA,"5","8","5",NA,NA,"4","10","6","2","6","10",NA,NA
"4","2","10",NA,NA,"24","20","3","22",NA,"20","10","6",NA,"22","4","25","22",NA,NA,"20","22","28","15","15","16","22",NA,"3","3",NA,"15",NA,NA,"4","3",NA,NA,"5",NA,NA,NA,"9","20",NA,"15","5",NA,"14","2","0","6","4","0","3","3","12","16","12","8","5",NA,"1",NA,"5",NA,NA,"10","17","4","5",NA,"5","10","10","4","7","15","20",NA
"5","3","18",NA,NA,"40","22","3","26",NA,"25","20",NA,NA,NA,"3","35","26","35","16","28","26","34",NA,"15","20","29",NA,NA,"3",NA,"18",NA,NA,"3","1","5","12","4",NA,NA,NA,"8","25",NA,"23","8","16","18","0","0","8","4","0","4",NA,"15",NA,"12",NA,"4","30","1",NA,"7","2",NA,NA,"17","4","5","12","7",NA,NA,NA,NA,NA,NA,NA
"6","4","20",NA,NA,"47","15","3","30","12","30","32",NA,NA,NA,"2",NA,NA,NA,"16",NA,"31","36",NA,NA,NA,"35",NA,"10","2",NA,"20","35","6","1","1","8","20","2","5",NA,NA,"7","26",NA,"30","8","25","25","0","7","12","6","1",NA,"2","20","17","8","10",NA,"40","2",NA,"7","5","13",NA,"17","4","12","20",NA,"12","10","4","10","20","32",NA
"7","5","20",NA,NA,NA,"14","3",NA,NA,"32","35",NA,NA,NA,NA,NA,NA,NA,"9",NA,"35","40",NA,NA,NA,NA,NA,NA,"0",NA,"18","40","6","1","1",NA,NA,"1","7",NA,NA,"7","27",NA,"35","10","25","30","0","19","20","11","1","6","2","23","21","6",NA,"2",NA,"2","20","7","4","17",NA,NA,"3",NA,"30","10",NA,NA,NA,NA,NA,NA,NA
"8","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","0","22","25","19",NA,NA,"2","25","22","4",NA,NA,NA,"1","25","8","5","20",NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA
"9","7",NA,NA,NA,NA,"6","0",NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,"0","15",NA,NA,"6",NA,NA,NA,NA,NA,"40","0","25",NA,NA,"3",NA,"3",NA,"23","3","10",NA,NA,"1","30","6","5","23",NA,NA,NA,NA,NA,"10","13","12","9",NA,"30","42","5"
"10","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"40","0",NA,NA,NA,NA,"0","1",NA,NA,"0","18","5","12",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"25","2","10","2",NA,"1","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","11",NA,NA,NA,NA
