"","Trichrome","Growth","Treatment"
"10LB",0.12664383309166,"growing","PDL1"
"10LC",0.150025705049749,"growing","PDL1"
"10LD",0.176618842694733,"stable","PDL1"
"10NA",NA,NA,"PDL1"
"10ND",NA,"stable","PDL1"
"10RBL",NA,"growing","PDL1"
"10RBU",0.145513854031148,NA,"PDL1"
"10RC",NA,NA,"PDL1"
"11LB",0.133181297679202,"growing","PDL1"
"11ND",0.374043581170937,"stable","PDL1"
"11RC",0.124598668056126,"growing","PDL1"
"11RD",0.161619227345989,"growing","PDL1"
"12LC",NA,NA,"PDL1"
"12LD",0.276814784264216,"stable","PDL1"
"13NA",0.166215509004265,"growing","Vehicle"
"14NB",0.142755297464136,"growing","PDL1+LY"
"14NC",0.15485032053922,"stable","PDL1+LY"
"14RD",0.0217913475951452,"stable","PDL1+LY"
"15LB",0.00295475085300382,"growing","PDL1+LY"
"15NC-D",NA,"growing","PDL1+LY"
"15ND",0.126578024868847,"stable","PDL1+LY"
"15RD",0.140691073282721,"growing","PDL1+LY"
"16LA",NA,NA,"PDL1+LY"
"16LC",NA,"stable","PDL1+LY"
"16LD",0.1935505629915,"stable","PDL1+LY"
"16ND",0.359852126250554,"stable","PDL1"
"16RD",NA,"stable","PDL1"
"17NA",0.299769371626505,"growing","Vehicle"
"17ND",0.350950798461984,"stable","Vehicle"
"17RB",0.34230818181261,"growing","Vehicle"
"2N",0.126077261157979,"growing","Vehicle"
"2RA",0.19008060786476,"growing","Vehicle"
"2RD",NA,"growing","Vehicle"
"3LA",0.0974472884287867,"growing","Vehicle"
"3NB",0.433978944576645,"stable","Vehicle"
"3RB",0.12018569287281,"growing","Vehicle"
"3RC",0.154296069680264,"growing","Vehicle"
"4LB",0.185753281488712,"growing","Vehicle"
"4NC",0.294572883370248,"growing","Vehicle"
"4ND",NA,"growing","Vehicle"
"4RB",0.244984442858644,"growing","Vehicle"
"5LA",NA,"stable","Vehicle"
"5LB",NA,"growing","Vehicle"
"5LC",NA,"growing","Vehicle"
"5LD",NA,"stable","Vehicle"
"5RB",0.256966970951017,"growing","Vehicle"
"6LDU",NA,"growing","LY"
"6ND",NA,"growing","LY"
"6RB",0.114344669757582,"growing","LY"
"6RC",0.108067761591177,"growing","LY"
"7NB",0.238777705969805,"growing","LY"
"7NC",0.238762369875553,"growing","LY"
"7RA",NA,"stable","LY"
"7RB",NA,"growing","LY"
"7RD",NA,"stable","LY"
"8LD",0.445971508497105,"stable","LY"
"8RCL",0.415612058953682,"growing","LY"
"8RCU",NA,"growing","LY"
