"","PC1","PC2","group","Treatment","name"
"10L_D_CD45",-3.3710167560507,-13.8781602431827,"PDL1","PDL1","10L_D_CD45"
"10L_C_CD45",7.08881669433407,-25.7073665767011,"PDL1","PDL1","10L_C_CD45"
"10R_BL_CD45",-5.76454504870548,10.1452465438155,"PDL1","PDL1","10R_BL_CD45"
"11L_B_CD45",-7.16613786238195,3.98677459468473,"PDL1","PDL1","11L_B_CD45"
"11N_D_CD45",-26.5966929838867,-5.2524754049769,"PDL1","PDL1","11N_D_CD45"
"11R_D_CD45",-6.88625867610444,7.33382899563801,"PDL1","PDL1","11R_D_CD45"
"11R_C_CD45",-11.7730193714654,5.64306545033979,"PDL1","PDL1","11R_C_CD45"
"14N_B_CD45",-22.9251837560909,3.4489369222622,"PDL1+LY","PDL1+LY","14N_B_CD45"
"14N_C_CD45",-15.0176067157262,13.2516919891938,"PDL1+LY","PDL1+LY","14N_C_CD45"
"14N_D_CD45",-16.1459092341177,6.84192684734443,"PDL1+LY","PDL1+LY","14N_D_CD45"
"15L_B_CD45",14.0718032324583,-28.3356213186463,"PDL1+LY","PDL1+LY","15L_B_CD45"
"15N_C_CD45",0.247140154909647,4.33672955033192,"PDL1+LY","PDL1+LY","15N_C_CD45"
"15R_D_CD45",-22.488222856068,-2.41675944758,"PDL1+LY","PDL1+LY","15R_D_CD45"
"16L_D_CD45",-9.75171829567499,7.23932595563982,"PDL1+LY","PDL1+LY","16L_D_CD45"
"17N_A_CD45",-4.7333313978061,7.55566715417193,"Vehicle","Vehicle","17N_A_CD45"
"2N__CD45",18.0546996649945,-3.68837465538165,"Vehicle","Vehicle","2N__CD45"
"2R_A_CD45",5.4225319255585,-2.50270020137085,"Vehicle","Vehicle","2R_A_CD45"
"2R_C_CD45",20.4019383169502,-7.91789146141164,"Vehicle","Vehicle","2R_C_CD45"
"2R_D_CD45",45.7838909167775,13.0889953078996,"Vehicle","Vehicle","2R_D_CD45"
"3L_D_CD45",55.6055496675639,3.79762303385156,"Vehicle","Vehicle","3L_D_CD45"
"3L_A_CD45",19.140215865681,1.81074809642677,"Vehicle","Vehicle","3L_A_CD45"
"3N_B_CD45",-7.38470050925318,-20.9065233630027,"Vehicle","Vehicle","3N_B_CD45"
"3R_C_CD45",27.57337126422,2.60855007918867,"Vehicle","Vehicle","3R_C_CD45"
"3R_B_CD45",12.5906587146459,0.579564835895062,"Vehicle","Vehicle","3R_B_CD45"
"5N_A_CD45",-3.43971629865926,6.24773933127385,"Vehicle","Vehicle","5N_A_CD45"
"5R_B_CD45",10.4191797661084,11.4224111565047,"Vehicle","Vehicle","5R_B_CD45"
"6N_D_CD45",-2.05286128897346,0.319256817927366,"LY","LY","6N_D_CD45"
"6R_D_CD45",-25.8119348741353,-10.2089685895087,"LY","LY","6R_D_CD45"
"7N_A_CD45",8.16708335855484,0.0942988856570569,"LY","LY","7N_A_CD45"
"7N_B_CD45",-11.209957486547,8.54956026833862,"LY","LY","7N_B_CD45"
"8L_D_CD45",-15.1840075345144,-11.8366417119663,"LY","LY","8L_D_CD45"
"8R_CU_CD45",11.6809383931804,3.38408571329963,"LY","LY","8R_CU_CD45"
"8R_CL_CD45",-14.9422702287566,-2.86251947044782,"LY","LY","8R_CL_CD45"
"9L_B_CD45",-23.6027267610194,13.8279749144916,"PDL1+LY","PDL1+LY","9L_B_CD45"
