"","PC1","PC2","group","Treatment","name"
"10L_C_DN",-44.7006215419753,-0.0766093475097223,"PDL1","PDL1","10L_C_DN"
"10R_BL_DN",16.2593888142175,-1.12250205711835,"PDL1","PDL1","10R_BL_DN"
"11L_B_DN",23.0334340824868,-4.4287641902355,"PDL1","PDL1","11L_B_DN"
"11R_D_DN",-7.60041221789422,-2.80724229606001,"PDL1","PDL1","11R_D_DN"
"11R_C_DN",-4.14299644837024,9.64754442044983,"PDL1","PDL1","11R_C_DN"
"12L_D_DN",-13.898332699316,14.096316844039,"PDL1","PDL1","12L_D_DN"
"14N_C_DN",14.0829837462498,0.115221248499896,"PDL1+LY","PDL1+LY","14N_C_DN"
"14N_D_DN",28.3987894570114,0.746296938723307,"PDL1+LY","PDL1+LY","14N_D_DN"
"14R_B_DN",28.1462556266302,0.638477916900902,"PDL1+LY","PDL1+LY","14R_B_DN"
"15L_B_DN",-16.4041605026344,-3.21271438069038,"PDL1+LY","PDL1+LY","15L_B_DN"
"15N_C_DN",19.2471068678126,5.9007253904325,"PDL1+LY","PDL1+LY","15N_C_DN"
"16L_C_DN",-5.13103392307878,-11.9355443883595,"PDL1+LY","PDL1+LY","16L_C_DN"
"16L_D_DN",23.7743466056173,-2.48031973773917,"PDL1+LY","PDL1+LY","16L_D_DN"
"16R_D_DN",49.1143191526546,-2.95209784446802,"PDL1","PDL1","16R_D_DN"
"17N_D_DN",31.5954262220005,5.02266369507613,"Vehicle","Vehicle","17N_D_DN"
"17N_A_DN",41.8536000170905,-6.09627341023175,"Vehicle","Vehicle","17N_A_DN"
"2N__DN",-16.7140638801036,-18.8704470123723,"Vehicle","Vehicle","2N__DN"
"2R_A_DN",-39.2913919172836,10.0981414972683,"Vehicle","Vehicle","2R_A_DN"
"2R_C_DN",-28.9757248857306,-8.94419788338501,"Vehicle","Vehicle","2R_C_DN"
"3L_D_DN",-53.9555490779973,-20.4326709394379,"Vehicle","Vehicle","3L_D_DN"
"3L_A_DN",-21.1999222433869,-9.32032786677764,"Vehicle","Vehicle","3L_A_DN"
"3N_B_DN",-10.1075157914577,18.3856883072489,"Vehicle","Vehicle","3N_B_DN"
"3R_C_DN",-28.5380397746329,-7.03647481601937,"Vehicle","Vehicle","3R_C_DN"
"3R_B_DN",-29.7623708284552,-4.1073146074481,"Vehicle","Vehicle","3R_B_DN"
"4N_C_DN",15.6763499957715,13.1100488464293,"Vehicle","Vehicle","4N_C_DN"
"6R_B_DN",-34.6577352445457,16.9375062515747,"LY","LY","6R_B_DN"
"6R_D_DN",-39.4305418416147,16.7990118063358,"LY","LY","6R_D_DN"
"8R_CU_DN",32.8727318751042,0.361984916872006,"LY","LY","8R_CU_DN"
"8R_CL_DN",39.7243680888264,3.04592224871912,"LY","LY","8R_CL_DN"
"9L_A_DN",30.731312267004,-11.082049550717,"PDL1+LY","PDL1+LY","9L_A_DN"
