"","PC1","PC2","group","Treatment","name"
"10L_D_Ep",-19.6216903504869,-5.86338919760373,"PDL1","PDL1","10L_D_Ep"
"10R_BL_Ep",5.05166220129721,8.49059788163053,"PDL1","PDL1","10R_BL_Ep"
"11L_B_Ep",9.82271824593475,-8.64284468226995,"PDL1","PDL1","11L_B_Ep"
"11N_D_Ep",-4.2402086944691,-29.2396674445647,"PDL1","PDL1","11N_D_Ep"
"11R_D_Ep",10.1298990477185,4.39687944879737,"PDL1","PDL1","11R_D_Ep"
"11R_C_Ep",-9.82271824593477,8.64284468226996,"PDL1","PDL1","11R_C_Ep"
"12L_D_Ep",-10.6282807667092,7.64392499940745,"PDL1","PDL1","12L_D_Ep"
"14N_C_Ep",11.1773158650488,7.10192945598777,"PDL1+LY","PDL1+LY","14N_C_Ep"
"14N_D_Ep",-3.84693288410379,16.6502192511112,"PDL1+LY","PDL1+LY","14N_D_Ep"
"14R_B_Ep",9.00818026206343,4.18738810556224,"PDL1+LY","PDL1+LY","14R_B_Ep"
"15N_C_Ep",-11.4504532034739,12.0830093926163,"PDL1+LY","PDL1+LY","15N_C_Ep"
"16L_C_Ep",27.8200385599755,-4.50500977295569,"PDL1+LY","PDL1+LY","16L_C_Ep"
"17N_D_Ep",8.55562132419809,2.9489442420133,"Vehicle","Vehicle","17N_D_Ep"
"2N__Ep",19.6983828324579,-11.4956543447668,"Vehicle","Vehicle","2N__Ep"
"3N_B_Ep",-16.2571397215427,-4.88214283249123,"Vehicle","Vehicle","3N_B_Ep"
"3R_C_Ep",15.7439392018978,-1.07530433141274,"Vehicle","Vehicle","3R_C_Ep"
"6R_B_Ep",-18.8474480289338,-8.83587158387631,"LY","LY","6R_B_Ep"
"7N_A_Ep",3.66314523472605,-0.579294952083135,"LY","LY","7N_A_Ep"
"8L_D_Ep",-21.4095766013035,-7.29935319002999,"LY","LY","8L_D_Ep"
"8R_CU_Ep",-4.54645427836049,10.2727948726582,"LY","LY","8R_CU_Ep"
