"","cell","method","cor","p"
"1","B cell","TIMER",-0.0655358602499418,0.712694888614148
"2","T cell CD4+","TIMER",-0.35679030466115,0.038327352091596
"3","T cell CD8+","TIMER",-0.147780709689653,0.404244549019816
"4","Neutrophil","TIMER",-0.342917715495932,0.0470992017972982
"5","Macrophage","TIMER",0.274805432689363,0.115742849357145
"6","Myeloid dendritic cell","TIMER",0.276666794288531,0.113197066905762
"7","B cell naive","CIBERSORT",-0.203311275363246,0.248807845106103
"8","B cell memory","CIBERSORT",0.230732745682623,0.189228287396799
"9","B cell plasma","CIBERSORT",-0.211661280479655,0.229481283082879
"10","T cell CD8+","CIBERSORT",-0.0915878095434478,0.606445758926158
"11","T cell CD4+ naive","CIBERSORT",NA,NA
"12","T cell CD4+ memory resting","CIBERSORT",-0.139119253747807,0.432639751216275
"13","T cell CD4+ memory activated","CIBERSORT",-0.167995461997276,0.342261578567855
"14","T cell follicular helper","CIBERSORT",-0.242397613394505,0.167204664221881
"15","T cell regulatory (Tregs)","CIBERSORT",-0.0853677770115714,0.631202942718756
"16","T cell gamma delta","CIBERSORT",-0.127286821194249,0.473147222523122
"17","NK cell resting","CIBERSORT",NA,NA
"18","NK cell activated","CIBERSORT",-0.12037365873828,0.497701049269222
"19","Monocyte","CIBERSORT",0.438440031100747,0.00949490518016103
"20","Macrophage M0","CIBERSORT",NA,NA
"21","Macrophage M1","CIBERSORT",-0.173280416367518,0.327067904305659
"22","Macrophage M2","CIBERSORT",0.247620271091709,0.15796319902608
"23","Myeloid dendritic cell resting","CIBERSORT",0.339436239698213,0.049535491506567
"24","Myeloid dendritic cell activated","CIBERSORT",0.127224774422977,0.473364734719462
"25","Mast cell activated","CIBERSORT",-0.0705215526620245,0.691868292947355
"26","Mast cell resting","CIBERSORT",-0.102500190067375,0.564046934722576
"27","Eosinophil","CIBERSORT",-0.292346142431936,0.0933912139936483
"28","Neutrophil","CIBERSORT",-0.1481692198651,0.402996313211873
"29","B cell naive","CIBERSORT-ABS",-0.145451342571069,0.411774580878236
"30","B cell memory","CIBERSORT-ABS",0.151524893974915,0.392306814708125
"31","B cell plasma","CIBERSORT-ABS",-0.205003909895614,0.244805243987226
"32","T cell CD8+","CIBERSORT-ABS",0.0950663813456194,0.592783268241596
"33","T cell CD4+ naive","CIBERSORT-ABS",NA,NA
"34","T cell CD4+ memory resting","CIBERSORT-ABS",-0.146688981868243,0.407763906933892
"35","T cell CD4+ memory activated","CIBERSORT-ABS",-0.079739477954124,0.653950641360039
"36","T cell follicular helper","CIBERSORT-ABS",-0.146216326239674,0.409292963553852
"37","T cell regulatory (Tregs)","CIBERSORT-ABS",0.0201727096213756,0.909842082884586
"38","T cell gamma delta","CIBERSORT-ABS",-0.127286821194249,0.473147222523122
"39","NK cell resting","CIBERSORT-ABS",NA,NA
"40","NK cell activated","CIBERSORT-ABS",-0.074477264190409,0.675499793711251
"41","Monocyte","CIBERSORT-ABS",0.374139331287664,0.0292686510210693
"42","Macrophage M0","CIBERSORT-ABS",NA,NA
"43","Macrophage M1","CIBERSORT-ABS",-0.169787301919359,0.337062807408193
"44","Macrophage M2","CIBERSORT-ABS",0.242785736587567,0.166504870491787
"45","Myeloid dendritic cell resting","CIBERSORT-ABS",0.138718349049253,0.433980096895705
"46","Myeloid dendritic cell activated","CIBERSORT-ABS",0.057426092295456,0.747005503752591
"47","Mast cell activated","CIBERSORT-ABS",-0.0705215526620245,0.691868292947355
"48","Mast cell resting","CIBERSORT-ABS",-0.0721528700566245,0.685100868702223
"49","Eosinophil","CIBERSORT-ABS",-0.272155137562266,0.11944127225367
"50","Neutrophil","CIBERSORT-ABS",-0.1481692198651,0.402996313211873
"51","B cell","QUANTISEQ",-0.204062411693545,0.247026276367871
"52","Macrophage M1","QUANTISEQ",0.291020543225093,0.0949554032403096
"53","Macrophage M2","QUANTISEQ",0.34468688870985,0.0458984601199896
"54","Monocyte","QUANTISEQ",0.42893697162094,0.0113654581440423
"55","Neutrophil","QUANTISEQ",0.440909388333336,0.00905404686653827
"56","NK cell","QUANTISEQ",0.257897221350057,0.140864346466813
"57","T cell CD4+ (non-regulatory)","QUANTISEQ",-0.0272970106641361,0.8782071500667
"58","T cell CD8+","QUANTISEQ",0.146206410778492,0.409325075142016
"59","T cell regulatory (Tregs)","QUANTISEQ",-0.368033899017703,0.0322318204611406
"60","Myeloid dendritic cell","QUANTISEQ",0.00983845620469991,0.955960794055828
"61","uncharacterized cell","QUANTISEQ",0.404014935470841,0.0178028494606686
"62","Myeloid dendritic cell activated","XCELL",-0.0408340902061515,0.818642693275775
"63","B cell","XCELL",-0.208334904597112,0.237054636373052
"64","T cell CD4+ memory","XCELL",-0.386143837148866,0.0240919865081626
"65","T cell CD4+ naive","XCELL",0.0149418637575314,0.933159016526994
"66","T cell CD4+ (non-regulatory)","XCELL",-0.441857194631558,0.00888951620697799
"67","T cell CD4+ central memory","XCELL",-0.468120084269218,0.00523851166699735
"68","T cell CD4+ effector memory","XCELL",-0.163720544599546,0.354860488368219
"69","T cell CD8+ naive","XCELL",-0.127286821194247,0.473147222523127
"70","T cell CD8+","XCELL",-0.386584614885164,0.023917338749786
"71","T cell CD8+ central memory","XCELL",-0.310780939708578,0.0736210447537045
"72","T cell CD8+ effector memory","XCELL",-0.419002967877633,0.0136446014891891
"73","Class-switched memory B cell","XCELL",-0.296064431689412,0.0891086586047704
"74","Common lymphoid progenitor","XCELL",-0.138399541777356,0.435047595093025
"75","Common myeloid progenitor","XCELL",-0.0950391739888298,0.592889605036306
"76","Myeloid dendritic cell","XCELL",0.290180955843647,0.0959563911105263
"77","Endothelial cell","XCELL",0.211585965544253,0.229650921341783
"78","Eosinophil","XCELL",0.0335305023843361,0.850677233485297
"79","Cancer associated fibroblast","XCELL",-0.197021102633836,0.264062634659786
