"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Rab39a",10.6219112900346,-1.03674025036762,0.790215184170064,-1.31197206929967,0.189529558757933,NA
"2","Fdxacb1",118.903300694505,0.382130155913003,0.203800642209568,1.875019390371,0.0607900559961988,0.187890410311491
"3","Mrpl52",1038.12268629565,-0.427729534010936,0.19976848710214,-2.14112616166654,0.0322638654664236,0.125848685104999
"4","Rrlt",14.6404782398105,-0.179379597774435,0.343295301542315,-0.522522728882511,0.601306425486911,0.762557956541819
"5","Ensa",1631.16576229091,0.0201200305351654,0.0939061788594572,0.214256727081587,0.83034686120786,0.911010082037183
"6","Tpm1",493.726118849342,-0.774818800701333,0.330123585066319,-2.3470567864628,0.0189223706168435,0.0894079962883339
"7","Efhd2",5744.31391456313,-0.623584802342889,0.215870080995623,-2.88870416625977,0.0038683281557239,0.0347926299908885
"8","Aaas",411.134910174153,-0.18953980707213,0.152174119919427,-1.24554561033431,0.212931260806244,0.411404967431142
"9","Nsun4",19.4912470537024,0.133694688653864,0.402691816572958,0.332002497074935,0.739887373462962,0.858063730461822
"10","Ubl4a",582.9958220952,-0.461686929327883,0.2052451861963,-2.24944096319179,0.0244844549034365,0.106100953948138
"11","Otub1",1791.00592642532,-0.149708162411943,0.150948521620123,-0.991782899263493,0.321303441359543,0.527924780908525
"12","Bach1",163.099846286477,-0.0163222448107433,0.276272404976419,-0.0590802574442295,0.9528881834472,0.977068616673774
"13","Ccr1l1",60.5849864802983,-0.338225160656074,0.502967667384478,-0.672459051721765,0.501291500187823,0.687244316040355
"14","Xcr1",154.29304620868,-0.0936369426176239,0.719259447035609,-0.130185210640672,0.896419895197302,0.9479682019085
"15","Csf3",23.8669463218288,2.62136330905896,1.5023925134816,1.74479257952656,NA,NA
"16","Eloa",1772.64759051217,0.206545874812273,0.123831393740814,1.66796051124632,0.095323566051108,0.250935843540773
"17","Cox4i1",3553.98368212552,-0.355123608398173,0.25445208059957,-1.39564041905803,0.162822804439241,0.349134590493734
"18","Arg1",210.898187296765,-2.69053525785323,0.621302290318513,-4.33047696713611,1.48786709258638e-05,0.00188751511396714
"19","Rcn2",803.16615176827,0.392866644580802,0.218618558771017,1.79704159971292,0.0723290158623792,0.210653914324228
"20","Inhba",30.5550128310058,0.214814818305005,0.836902438178613,0.25667844721843,0.79742701087106,0.892755988608744
"21","Fdx1",630.147394694334,0.540036673179605,0.297802078362732,1.81340800624576,0.0697689156210821,0.206001836197224
"22","Cd63",5767.11221376046,-1.14436962675734,0.458546253341823,-2.49564709866742,0.0125727614155715,0.070019819828425
"23","Vdr",644.688126465627,0.149596726364733,0.345896742590762,0.432489549465703,0.66538564604057,0.811827040740619
"24","Tnp2",3.6204782237507,-0.532363511812195,1.04085762205458,-0.511466218368412,0.609024637352436,NA
"25","Tbxa2r",78.0162631637265,0.250738780286315,0.460854795147078,0.544073280622574,0.586391046342688,0.751765724512189
"26","Cd37",5530.50159625554,-0.0168155872026316,0.0990759403222901,-0.169724225154273,0.865227021557297,0.931912223977737
"27","Areg",273.782928311486,0.00865398055809843,0.534999891467872,0.0161756678760338,0.987094247146663,0.993186501193667
"28","Casp12",12.5427348056098,0.120003268262977,0.707217970240826,0.16968356760238,0.865258997810446,NA
"29","Anxa7",969.489149952421,-0.29588064246947,0.168431932964461,-1.75667782980262,0.0789727385138414,0.222576227637822
"30","Lonp1",821.024220041443,0.29061525941953,0.124437525753461,2.33543103384509,0.0195209147912583,0.0913655857454431
"31","Naa35",549.228903968052,-0.0504862481455056,0.129634113760805,-0.389451870968629,0.696941907187917,0.831484583535035
"32","Asb1",75.9349775397549,0.134937669072362,0.22199485948922,0.607841413007651,0.54329265967786,0.719418487491032
"33","Fgfr2",32.5684770261357,-0.349216074267668,0.624656166058152,-0.55905327321328,0.576125363177823,0.745043604228487
"34","Brsk1",17.2548417481143,0.101562021328953,0.432747452050057,0.234691205801033,0.814448413879116,0.901954317391219
"35","Preb",884.698298470531,0.0141756805621152,0.113610530699834,0.1247743538807,0.900702191333463,0.950094702749888
"36","Cldn15",3.19143064575912,0.0143017356034848,1.02703925555351,0.0139252083366347,0.988889650334023,NA
"37","Fgd3",1243.53892890102,0.847445387297229,0.31348833218899,2.70327568933678,0.00686597725802642,0.0486730421605382
"38","Pbx4",58.7500928514795,-0.189839692077544,0.400980924806994,-0.473438211977091,0.635900573294969,0.788652105834576
"39","Nol8",30.0936404919463,0.503777355996493,0.456558716577094,1.10342292832214,0.269843544199425,0.475912232010302
"40","B4galt5",339.231982178648,-0.528008483113088,0.274247723334093,-1.92529759844117,0.0541921379261276,0.175025525391963
"41","Polr3f",104.263255941787,-0.225794690514621,0.265307109056626,-0.851069130101706,0.394730952343058,0.598930167413055
"42","Smc2",697.492428689401,-0.00295664206035828,0.19390500477748,-0.0152478893659874,0.987834415904467,0.993480224697432
"43","Ephx3",10.5221164638386,-0.50520467386069,1.06176275318108,-0.47581691140236,0.634204820647811,NA
"44","Cbfa2t3",366.922708862221,-0.609386280455811,0.258057581780444,-2.36143528995121,0.0182043486743292,0.0877174326586354
"45","Plec",1534.56903413233,-0.243855716959854,0.167915532586494,-1.45225229139683,0.14643146769618,0.326367173149199
"46","Strn4",1151.62744533341,0.132456850548945,0.173194833415256,0.764785230234685,0.444399444135686,0.639545961683199
"47","Hmg20a",385.554552467207,0.200806100553659,0.1869998911039,1.07383004005114,0.282898863513321,0.488259933128452
"48","Smim22",71.1266777395254,-0.65028042601147,0.394142650509873,-1.64986059024633,0.0989714528027607,0.256736709335535
"49","Samd3",39.7179046434623,0.666880490506828,0.43408166323331,1.53630191503481,0.12446435005072,0.294301269842513
"50","Ube2s",5392.01304555287,0.637994379494405,0.238768759799179,2.67201781351548,0.00753966458782645,0.0517344280837651
"51","Prpf31",166.104888988732,-0.16075311524575,0.179816735629335,-0.89398305826838,0.371330955770432,0.576932601460468
"52","Mrpl51",215.740203345996,-0.402962108316861,0.159436260206788,-2.52741821587022,0.0114904582493989,0.0662721425121421
"53","Fam185a",451.324420909736,0.80122757654749,0.263978463650313,3.0352005442719,0.00240375795164839,0.0262775543612063
"54","Msmo1",556.657919217817,-0.213701350258374,0.255114217131028,-0.837669310090295,0.402216454355965,0.605349912680863
