"","TermType","sigTerm","stable_vs_growing.NES","stable_vs_growing.padj","names"
"NCell adhesion_Cell-matrix interactions","Cell adhesion","Cell-matrix interactions","0.591614930275162","0","NCell adhesion_Cell-matrix interactions"
"NImmune response_Antigen presentation","Immune response","Antigen presentation","-0.316628744215021","0","NImmune response_Antigen presentation"
"NInflammation_Interferon signaling","Inflammation","Interferon signaling","-0.445574323669613","0","NInflammation_Interferon signaling"
"NDevelopment_Ossification and bone remodeling","Development","Ossification and bone remodeling","0.510868519523954","0","NDevelopment_Ossification and bone remodeling"
"NCytoskeleton_Spindle microtubules","Cytoskeleton","Spindle microtubules","0.516577548198649","0","NCytoskeleton_Spindle microtubules"
"NTranslation_Translation initiation","Transcription","Translation initiation","-0.56135504809729","0","NTranslation_Translation initiation"
"NDevelopment_Neurogenesis_Axonal guidance","Development","Neurogenesis","0.440814177171832","0","NDevelopment_Neurogenesis_Axonal guidance"
"NInflammation_IL-6 signaling","Inflammation","IL-6 signaling","-0.353501522813405","0","NInflammation_IL-6 signaling"
"NCell cycle_Core","Cell cycle","Core","0.508006659962784","0","NCell cycle_Core"
"NCardiac development_Wnt_beta-catenin, Notch, VEGF, IP3 and integrin signaling","Cardiac development","Wnt","0.484306635960086","0","NCardiac development_Wnt_beta-catenin, Notch, VEGF, IP3 and integrin signaling"
"NApoptosis_Anti-apoptosis mediated by external signals via NF-kB","Transcription","Anti-apoptosis mediated by external signals via NF-kB","-0.277260126901354","0","NApoptosis_Anti-apoptosis mediated by external signals via NF-kB"
"NInflammation_IFN-gamma signaling","Inflammation","IFN-gamma signaling","-0.323352391915133","0","NInflammation_IFN-gamma signaling"
"NTransport_Calcium transport","Transport","Calcium transport","0.577324560429211","0","NTransport_Calcium transport"
"NApoptosis_Endoplasmic reticulum stress pathway","Transcription","Endoplasmic reticulum stress pathway","-0.407801877274196","0","NApoptosis_Endoplasmic reticulum stress pathway"
"NImmune response_Th17-derived cytokines","Immune response","Th17-derived cytokines","-0.367273053986391","0","NImmune response_Th17-derived cytokines"
"NInflammation_Protein C signaling","Inflammation","Protein C signaling","-0.415080031307766","0","NInflammation_Protein C signaling"
"NTransport_Potassium transport","Transport","Potassium transport","0.501943882440293","0","NTransport_Potassium transport"
"NNeurophysiological process_Transmission of nerve impulse","Neurophysiological process","Transmission of nerve impulse","0.593825903390097","0","NNeurophysiological process_Transmission of nerve impulse"
"NInflammation_Innate inflammatory response","Inflammation","Innate inflammatory response","-0.411220081326443","0","NInflammation_Innate inflammatory response"
"NImmune response_Innate immune response to RNA viral infection ","Immune response","Innate immune response to RNA viral infection ","-0.395257984886608","0","NImmune response_Innate immune response to RNA viral infection "
"NSignal transduction_Leptin signaling","Signal transduction","Leptin signaling","-0.269848276084348","0","NSignal transduction_Leptin signaling"
"NCell adhesion_Platelet aggregation","Cell adhesion","Platelet aggregation","0.508495932402177","0","NCell adhesion_Platelet aggregation"
"NInflammation_Kallikrein-kinin system","Inflammation","Kallikrein-kinin system","-0.265686196980944","0","NInflammation_Kallikrein-kinin system"
"NNeurophysiological process_GABAergic neurotransmission","Neurophysiological process","GABAergic neurotransmission","0.539805316522534","0","NNeurophysiological process_GABAergic neurotransmission"
"NTranslation_Elongation-Termination","Transcription","Elongation-Termination","-0.556728277868432","0","NTranslation_Elongation-Termination"
