"","sample","Val","Lower","Upper","Type","Batch","Calc","Growth","NewID","Treatment"
"10L_D_CD45","10L_D_CD45",0.772227856377754,0.739852015948668,0.791679345339209,"CD45","2","shannon",NA,NA,NA
"10R_BL_CD45","10R_BL_CD45",0.965633607142825,0.482159360969681,1,"CD45","2","shannon",NA,NA,NA
"11N_D_CD45","11N_D_CD45",0.811129068466648,0.790041258188301,0.818881795172812,"CD45","2","shannon",NA,NA,NA
"11R_D_CD45","11R_D_CD45",0.87483096132453,0.803031677185174,0.884107591400457,"CD45","2","shannon",NA,NA,NA
"14N_B_CD45","14N_B_CD45",0,NA,NA,"CD45","2","shannon",NA,NA,NA
"14N_D_CD45","14N_D_CD45",0.268424846784418,0.0782036594901208,0.44680784917027,"CD45","2","shannon",NA,NA,NA
"14N_C_CD45","14N_C_CD45",0.853688255517408,0.772674698818112,0.873067303650339,"CD45","2","shannon",NA,NA,NA
"15N_C_CD45","15N_C_CD45",0.940285958670631,0.591672778582327,1,"CD45","2","shannon",NA,NA,NA
"2N__CD45","2N__CD45",0,NA,NA,"CD45","2","shannon",NA,NA,NA
"3L_D_CD45","3L_D_CD45",NA,NA,NA,"CD45","2","shannon",NA,NA,NA
"3N_B_CD45","3N_B_CD45",0.736911094062108,0.703426946222452,0.757186156723299,"CD45","2","shannon",NA,NA,NA
"3R_C_CD45","3R_C_CD45",0.910912752106078,0.856236551118654,0.918933048291533,"CD45","2","shannon",NA,NA,NA
"6N_D_CD45","6N_D_CD45",0.756698902201981,0.395383473968009,0.920992879194242,"CD45","2","shannon",NA,NA,NA
"7N_A_CD45","7N_A_CD45",0.958318351144895,0.65874051582556,0.978984825320896,"CD45","2","shannon",NA,NA,NA
"8L_D_CD45","8L_D_CD45",0.725687310352303,0.702884684256797,0.738930487397438,"CD45","2","shannon",NA,NA,NA
"8R_CU_CD45","8R_CU_CD45",0.909989859693119,0.847080860371395,0.919432927209902,"CD45","2","shannon",NA,NA,NA
"16L_D_CD45","16L_D_CD45",0.899923791542524,0.857247796555182,0.893393486130821,"CD45","3","shannon",NA,NA,NA
"9L_B_CD45","9L_B_CD45",0.865840158373582,0.821429882768166,0.86703151276369,"CD45","3","shannon",NA,NA,NA
"10L_C_CD45","10L_C_CD45",0.874632511982967,0.826622200393203,0.880250236037115,"CD45","3","shannon",NA,NA,NA
"10R_BU_CD45","10R_BU_CD45",0.792855765629849,0.699944799413852,0.825572447292356,"CD45","3","shannon",NA,NA,NA
"11L_B_CD45","11L_B_CD45",0.806038336445222,0.751586868953713,0.828773692135318,"CD45","3","shannon",NA,NA,NA
"11R_C_CD45","11R_C_CD45",0.853325257296397,0.833655907785371,0.847396773124172,"CD45","3","shannon",NA,NA,NA
"15L_B_CD45","15L_B_CD45",0.701406973586573,0.572881571445098,0.782101196931205,"CD45","3","shannon",NA,NA,NA
"15R_D_CD45","15R_D_CD45",0.792812845751546,0.751651807833725,0.809208916024199,"CD45","3","shannon",NA,NA,NA
"17N_A_CD45","17N_A_CD45",0.94695162671541,0.841845661747793,0.948004704627515,"CD45","3","shannon",NA,NA,NA
"2R_A_CD45","2R_A_CD45",0.842647951672267,0.78958518096583,0.853996572727641,"CD45","3","shannon",NA,NA,NA
"2R_C_CD45","2R_C_CD45",0.869468623712918,0.816531406454544,0.888440134119133,"CD45","3","shannon",NA,NA,NA
"2R_D_CD45","2R_D_CD45",0.626861569965207,0.574059139715229,0.657937732708003,"CD45","3","shannon",NA,NA,NA
"3L_A_CD45","3L_A_CD45",0.946640067371459,0.834424815925471,0.948247147797263,"CD45","3","shannon",NA,NA,NA
"3R_B_CD45","3R_B_CD45",0.936109895376947,0.883716588003593,0.93755678703657,"CD45","3","shannon",NA,NA,NA
"5N_A_CD45","5N_A_CD45",0.890491640219491,0.391243563629256,0.995727452084926,"CD45","3","shannon",NA,NA,NA
"5R_B_CD45","5R_B_CD45",NA,NA,NA,"CD45","3","shannon",NA,NA,NA
"6R_D_CD45","6R_D_CD45",0.868104036424525,0.818364657597167,0.875637357004407,"CD45","3","shannon",NA,NA,NA
"7N_B_CD45","7N_B_CD45",0.769965988928646,0.740306212169997,0.778864772943199,"CD45","3","shannon",NA,NA,NA
"8R_CL_CD45","8R_CL_CD45",0.80950020369123,0.786529018028626,0.81349116535885,"CD45","3","shannon",NA,NA,NA
"10L_D_CD451","10L_D_CD45",0.631823984380867,0.591431347150259,0.657659382743861,"CD45","2","Gini",NA,NA,NA
"10R_BL_CD451","10R_BL_CD45",0.148148148148148,0,0.388888888888889,"CD45","2","Gini",NA,NA,NA
"11N_D_CD451","11N_D_CD45",0.648485169117906,0.628050070099871,0.66980653459333,"CD45","2","Gini",NA,NA,NA
"11R_D_CD451","11R_D_CD45",0.45710928319624,0.436685751375649,0.558508631713555,"CD45","2","Gini",NA,NA,NA
"14N_B_CD451","14N_B_CD45",NA,NA,NA,"CD45","2","Gini",NA,NA,NA
"14N_D_CD451","14N_D_CD45",0.598870056497175,0.415254237288136,0.632768361581921,"CD45","2","Gini",NA,NA,NA
"14N_C_CD451","14N_C_CD45",0.505844155844156,0.46285563973064,0.583213604577241,"CD45","2","Gini",NA,NA,NA
"15N_C_CD451","15N_C_CD45",0.142857142857143,0,0.357142857142857,"CD45","2","Gini",NA,NA,NA
"2N__CD451","2N__CD45",NA,NA,NA,"CD45","2","Gini",NA,NA,NA
"3L_D_CD451","3L_D_CD45",0,0,0,"CD45","2","Gini",NA,NA,NA
"3N_B_CD451","3N_B_CD45",0.656770130454341,0.628441458375669,0.687192635772968,"CD45","2","Gini",NA,NA,NA
"3R_C_CD451","3R_C_CD45",0.430112721417069,0.384272199217851,0.497751790771281,"CD45","2","Gini",NA,NA,NA
"6N_D_CD451","6N_D_CD45",0.409090909090909,0.227272727272727,0.568181818181818,"CD45","2","Gini",NA,NA,NA
"7N_A_CD451","7N_A_CD45",0.1875,0.104166666666667,0.4375,"CD45","2","Gini",NA,NA,NA
"8L_D_CD451","8L_D_CD45",0.700161133622426,0.680310745006043,0.720704088877443,"CD45","2","Gini",NA,NA,NA
"8R_CU_CD451","8R_CU_CD45",0.422179404838364,0.377257225433526,0.503622443308137,"CD45","2","Gini",NA,NA,NA
"16L_D_CD451","16L_D_CD45",0.459727656507414,0.474300551536423,0.540888134319548,"CD45","3","Gini",NA,NA,NA
"9L_B_CD451","9L_B_CD45",0.5038213518032,0.512954422881138,0.582242128222815,"CD45","3","Gini",NA,NA,NA
"10L_C_CD451","10L_C_CD45",0.511515151515151,0.488881027253669,0.577585784313726,"CD45","3","Gini",NA,NA,NA
"10R_BU_CD451","10R_BU_CD45",0.552325581395349,0.490648908142068,0.634035427716578,"CD45","3","Gini",NA,NA,NA
"11L_B_CD451","11L_B_CD45",0.577643386656262,0.523369098712446,0.622922356613344,"CD45","3","Gini",NA,NA,NA
"11R_C_CD451","11R_C_CD45",0.602502615254193,0.621010776483432,0.645015675204784,"CD45","3","Gini",NA,NA,NA
"15L_B_CD451","15L_B_CD45",0.583333333333333,0.479591836734694,0.645833333333333,"CD45","3","Gini",NA,NA,NA
"15R_D_CD451","15R_D_CD45",0.629466739967015,0.589777919618631,0.660780519859813,"CD45","3","Gini",NA,NA,NA
"17N_A_CD451","17N_A_CD45",0.287339971550498,0.259119413531178,0.449552338716425,"CD45","3","Gini",NA,NA,NA
"2R_A_CD451","2R_A_CD45",0.5410927456382,0.511778499278499,0.603094937469937,"CD45","3","Gini",NA,NA,NA
"2R_C_CD451","2R_C_CD45",0.476615646258503,0.420580469029717,0.541666666666667,"CD45","3","Gini",NA,NA,NA
"2R_D_CD451","2R_D_CD45",0.735376044568245,0.703406351300722,0.763651843745855,"CD45","3","Gini",NA,NA,NA
"3L_A_CD451","3L_A_CD45",0.302287581699346,0.264705882352941,0.446085640138408,"CD45","3","Gini",NA,NA,NA
"3R_B_CD451","3R_B_CD45",0.36892497879045,0.337725016015375,0.455903178162147,"CD45","3","Gini",NA,NA,NA
"5N_A_CD451","5N_A_CD45",0.192307692307692,0.0384615384615383,0.423076923076923,"CD45","3","Gini",NA,NA,NA
"5R_B_CD451","5R_B_CD45",0,0,0,"CD45","3","Gini",NA,NA,NA
"6R_D_CD451","6R_D_CD45",0.495059447300771,0.476298363905712,0.566094307156481,"CD45","3","Gini",NA,NA,NA
"7N_B_CD451","7N_B_CD45",0.687301512063327,0.669768298097033,0.714011055695325,"CD45","3","Gini",NA,NA,NA
"8R_CL_CD451","8R_CL_CD45",0.663793103448276,0.645859095368996,0.684614030321951,"CD45","3","Gini",NA,NA,NA
"10L_D_CD452","10L_D_CD45",0.713298791018998,0.713298791018998,0.713298791018998,"CD45","2","Top10",NA,NA,NA
"10R_BL_CD452","10R_BL_CD45",1,1,1,"CD45","2","Top10",NA,NA,NA
"11N_D_CD452","11N_D_CD45",0.411966987620358,0.411966987620358,0.411966987620358,"CD45","2","Top10",NA,NA,NA
"11R_D_CD452","11R_D_CD45",0.483695652173913,0.483695652173913,0.483695652173913,"CD45","2","Top10",NA,NA,NA
"14N_B_CD452","14N_B_CD45",0,0,0,"CD45","2","Top10",NA,NA,NA
"14N_D_CD452","14N_D_CD45",1,1,1,"CD45","2","Top10",NA,NA,NA
"14N_C_CD452","14N_C_CD45",0.56969696969697,0.56969696969697,0.56969696969697,"CD45","2","Top10",NA,NA,NA
"15N_C_CD452","15N_C_CD45",1,1,1,"CD45","2","Top10",NA,NA,NA
"2N__CD452","2N__CD45",0,0,0,"CD45","2","Top10",NA,NA,NA
"3L_D_CD452","3L_D_CD45",1,1,1,"CD45","2","Top10",NA,NA,NA
"3N_B_CD452","3N_B_CD45",0.614035087719298,0.614035087719298,0.614035087719298,"CD45","2","Top10",NA,NA,NA
"3R_C_CD452","3R_C_CD45",0.420289855072464,0.420289855072464,0.420289855072464,"CD45","2","Top10",NA,NA,NA
"6N_D_CD452","6N_D_CD45",1,1,1,"CD45","2","Top10",NA,NA,NA
