"","starSampleName","FqFile","Rat_ID","Fraction","Batch","Location","Cohort","TRUSTName","Treatment","SampleID","TumorID","Growth","SpatialManual","CD8Frac","TumSize","Time.NMU2Sac","Age.Injection","IFEpAntstrRatio","MHEpAntstrRatio","GrowthRate","MHEpCAM","IFEpCAM","MHSMA","IFSMA","TumorIDnew","knnEpCAM","treatA","MHcut","CD8FracCut","SizeCat","Name2","TrustNclonotypes","TrustShannon","TrustTop10","TrustGini","CD45FACS","UnclassFrac"
"10L_D_CD45","CD45_10L_D","20190213_25_CGDA6432-2of3_S1_R1_001.fastq.gz","10L","CD45","2","D","Progression","20190213_25_CGDA6432-2of3_S1_R1_001_report.tsv","PDL1","10L_D_CD45","10L_D","stable","Infiltrating",0.068108769,10,79,"32-36",0.416700736,0.94993288,1.972972973,0.619188600369958,0.294437349648065,0.744285326,0.14528823,"P24T3",34.3310980038422,"imm","inf","high","small","10LD",36,0.772227856377754,0.713298791018998,0.631823984380867,49.8,0.123943354282513
"10R_BL_CD45","CD45_10R_BL","20190213_26_CGDA6432-2of3_S2_R1_001.fastq.gz","10R","CD45","2","BL","Progression","20190213_26_CGDA6432-2of3_S2_R1_001_report.tsv","PDL1","10R_BL_CD45","10R_BL","growing","restricted",0.020271481,40,98,"32-36",0.319648094,0.875498666,4.976190476,0.437652145932401,0.221338048924256,0.744856161,0.201002063,"P26T1",44.9270325366952,"imm","inf","low","big","10RBL",5,0.965633607142825,1,0.148148148148148,14.5,0.226565020492538
"11N_D_CD45","CD45_11N_D","20190213_27_CGDA6432-2of3_S3_R1_001.fastq.gz","11N","CD45","2","D","Progression","20190213_27_CGDA6432-2of3_S3_R1_001_report.tsv","PDL1","11N_D_CD45","11N_D","stable","Infiltrating",0.380067171,3,127,"32-36",0.005010206,0.814101645,0.106557377,0.677785426855763,0.4326199016557,0.763377859,0.128013873,"P28T1",26.8977347268818,"imm","inf","high","small","11ND",102,0.811129068466648,0.411966987620358,0.648485169117906,70.3,0.164207941351727
"11R_D_CD45","CD45_11R_D","20190213_28_CGDA6432-2of3_S4_R1_001.fastq.gz","11R","CD45","2","D","Progression","20190213_28_CGDA6432-2of3_S4_R1_001_report.tsv","PDL1","11R_D_CD45","11R_D","growing","restricted",0.022445242,25,112,"32-36",0.65275967,0.930339963,3.642857143,0.264607307635754,0.232350672435188,0.452648317,0.077170742,"P29T2",73.8246082169253,"imm","res","low","big","11RD",79,0.87483096132453,0.483695652173913,0.45710928319624,NA,0.280796999171204
"14N_B_CD45","CD45_14N_B","20190213_30_CGDA6432-2of3_S5_R1_001.fastq.gz","14N","CD45","2","B","Progression","20190213_30_CGDA6432-2of3_S5_R1_001_report.tsv","PDL1+LY","14N_B_CD45","14N_B","growing","restricted",0.106152005,23,79,"32-36",1.447412008,0.923968222,3.315068493,0.368825752742308,0.254006189294359,0.497047179,0.049330514,"P31T1",49.2224298887209,"imm","inf","high","big","14NB",2,0,0,NA,19.6,0.2793663252982
"14N_D_CD45","CD45_14N_D","20190213_31_CGDA6432-2of3_S6_R1_001.fastq.gz","14N","CD45","2","D","Progression","20190213_31_CGDA6432-2of3_S6_R1_001_report.tsv","PDL1+LY","14N_D_CD45","14N_D","stable",NA,NA,5,79,"32-36",NA,NA,0.762162162,NA,NA,NA,NA,"P31T3",NA,"imm",NA,NA,"small","14ND",11,0.268424846784418,1,0.598870056497175,25.3,NA
"14N_C_CD45","CD45_14N_C","20190213_32_CGDA6432-2of3_S7_R1_001.fastq.gz","14N","CD45","2","C","Progression","20190213_32_CGDA6432-2of3_S7_R1_001_report.tsv","PDL1+LY","14N_C_CD45","14N_C","stable","restricted",0.054129798,6,79,"32-36",0.188110749,1.136484051,0.55952381,0.264129276925775,0.393517301795883,0.349403564,0.107577749,"P31T2",45.494853238138,"imm","res","high","small","14NC",61,0.853688255517408,0.56969696969697,0.505844155844156,36.9,0.192055272616914
"15N_C_CD45","CD45_15N_C","20190213_34_CGDA6432-2of3_S8_R1_001.fastq.gz","15N","CD45","2","C","Progression","20190213_34_CGDA6432-2of3_S8_R1_001_report.tsv","PDL1+LY","15N_C_CD45","15N_C","growing",NA,NA,30,112,"32-36",NA,NA,5.714285714,NA,NA,NA,NA,"P34T1",NA,"imm",NA,NA,"big","15NC",9,0.940285958670631,1,0.142857142857143,14.8,NA
"2N__CD45","CD45_2N","20190213_37_CGDA6432-2of3_S10_R1_001.fastq.gz","2N","CD45","2","","Progression","20190213_37_CGDA6432-2of3_S10_R1_001_report.tsv","Vehicle","2N__CD45","2N_","growing","restricted",0.030104097,47,77,"32-36",0.777085651,0.831594727,11.7,0.349187824159711,0.28264080077306,0.47793853,0.081955257,"P4T1",47.7725991706215,"control","res","low","big","2N",2,0,0,NA,21.8,0.367924292700277
"3L_D_CD45","CD45_3L_D","20190213_38_CGDA6432-2of3_S11_R1_001.fastq.gz","3L","CD45","2","D","Progression","20190213_38_CGDA6432-2of3_S11_R1_001_report.tsv","Vehicle","3L_D_CD45","3L_D","growing","restricted",NA,30,84,"32-36",NA,NA,5.8,NA,NA,NA,NA,"P6T2",NA,"control",NA,NA,"big","3LD",3,NA,1,0,26.2,NA
"3N_B_CD45","CD45_3N_B","20190213_39_CGDA6432-2of3_S12_R1_001.fastq.gz","3N","CD45","2","B","Progression","20190213_39_CGDA6432-2of3_S12_R1_001_report.tsv","Vehicle","3N_B_CD45","3N_B","stable","Infiltrating",0.276829918,6,127,"32-36",13.08280255,1.147356351,0.024590164,0.637179407827275,0.437791145137117,0.647527182,0.003179811,"P7T1",32.3115937542865,"control","inf","high","small","3NB",55,0.736911094062108,0.614035087719298,0.656770130454341,24.4,0.20737293599843
"3R_C_CD45","CD45_3R_C","20190213_40_CGDA6432-2of3_S13_R1_001.fastq.gz","3R","CD45","2","C","Progression","20190213_40_CGDA6432-2of3_S13_R1_001_report.tsv","Vehicle","3R_C_CD45","3R_C","growing","Infiltrating",0.023213931,32,84,"32-36",1.791469194,0.9042302,5.542857143,0.381122239757883,0.296210760413994,0.599163477,0.036096142,"P8T2",32.119384471498,"control","inf","low","big","3RC",43,0.910912752106078,0.420289855072464,0.430112721417069,39.4,0.320884794090783
"6N_D_CD45","CD45_6N_D","20190213_41_CGDA6432-2of3_S14_R1_001.fastq.gz","6N","CD45","2","D","Progression","20190213_41_CGDA6432-2of3_S14_R1_001_report.tsv","LY","6N_D_CD45","6N_D","growing",NA,0.081590113,40,55,"32-36",1.80268595,0.917714547,30,0.324732811191202,0.275662786463534,0.50377582,0.02842611,"P16T1",28.4155576684344,"imm","res","high","big","6ND",12,0.756698902201981,1,0.409090909090909,6.85,0.0880237449241583
"7N_A_CD45","CD45_7N_A","20190213_44_CGDA6432-2of3_S16_R1_001.fastq.gz","7N","CD45","2","A","Progression","20190213_44_CGDA6432-2of3_S16_R1_001_report.tsv","LY","7N_A_CD45","7N_A","growing",NA,NA,30,163,"32-36",NA,NA,2.355555556,NA,NA,NA,NA,"P19T1",NA,"imm",NA,NA,"big","7NA",7,0.958318351144895,0.875,0.1875,23.7,NA
"8L_D_CD45","CD45_8L_D","20190213_45_CGDA6432-2of3_S17_R1_001.fastq.gz","8L","CD45","2","D","Progression","20190213_45_CGDA6432-2of3_S17_R1_001_report.tsv","LY","8L_D_CD45","8L_D","stable","Infiltrating",0.056233634,6,127,"32-36",743,2.89926028,0.241803279,0.6488849150546,0.65089058524173,0.265669835,0.000254453,"P21T1",16.3662319888764,"imm","inf","high","small","8LD",76,0.725687310352303,0.604606525911708,0.700161133622426,34.6,0.34466352826706
"8R_CU_CD45","CD45_8R_CU","20190213_46_CGDA6432-2of3_S18_R1_001.fastq.gz","8R","CD45","2","CU","Progression","20190213_46_CGDA6432-2of3_S18_R1_001_report.tsv","LY","8R_CU_CD45","8R_CU","growing","restricted",0.028766801,27,127,"32-36",1.644601194,1.035013568,5.514285714,0.367612658782466,0.234742288985289,0.496364984,0.022024642,"P22T2",50.0010143574618,"imm","inf","low","big","8RCU",50,0.909989859693119,0.46242774566474,0.422179404838364,9.79,0.205973857925782
"16L_D_CD45","CD45_16LD","20191030_CD45_16LD_CGDA7427_S31_R1_001.fastq.gz","16L","CD45","3","D","Progression","20191030_CD45_16LD_report.tsv","PDL1+LY","16L_D_CD45","16L_D","stable","Infiltrating",0.031616767,24,163,"32-36",2.422292994,0.894605774,1.915178571,0.454715384675172,0.300162358654578,0.692639105,0.022557795,"P36T3",38.8586183513779,"imm","inf","low","big","16LD",174,0.899923791542524,0.268533772652389,0.459727656507414,40.5,0.202750425651378
"9L_B_CD45","CD45_9LB","20191030_CD45_9LB_CGDA7427_S44_R1_001.fastq.gz","9L","CD45","3","B","Progression","20191030_CD45_9LB_CGDA7427_S44_R1_001_report.tsv","PDL1+LY","9L_B_CD45","9L_B","growing",NA,NA,35,238,"32-36",NA,NA,3.25974026,NA,NA,NA,NA,"P23T2",NA,"imm",NA,NA,"big","9LB",170,0.865840158373582,0.334538878842676,0.5038213518032,15.8,NA
"10L_C_CD45","CD45_10LC","20191030_CD45_10LC_CGDA7427_S25_R1_001.fastq.gz","10L","CD45","3","C","Progression","20191030_CD4510LC_report.tsv","PDL1","10L_C_CD45","10L_C","growing","Infiltrating",0.010034071,25,79,"32-36",1.513618677,1.133386483,5.357142857,0.333823897052082,0.316862970410801,0.527303415,0.073829359,"P24T2",32.1225777378723,"imm","res","low","big","10LC",67,0.874632511982967,0.413888888888889,0.511515151515151,51.4,0.218492554436495
