"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NNeurophysiological process_Melatonin signaling",-0.435755658032143,0,0,"3708;1385;5573;2770;412;1588;4543;3763;4919;4544","Melatonin signaling"
"NSignal transduction_Androgen receptor signaling cross-talk",-0.362270993237069,0,0,"4790;5604;8321;6667;114;857;1499;8660;3717;2033;673;5599;253260;2932;5494;1432;367;3570;1385;5573;5594;6198;4193;1950;7048;5290;1956;7046;3084;3479","Androgen receptor signaling cross-talk"
"NBlood coagulation",-0.372474763822447,0,0,"2162;2776;3690;3998;3685;2150;2814;2149;2151;5321;5028;7035;4312;5055;22915;3558;959;2153;2244;2266;2243","Blood coagulation"
"NInflammation_IgE signaling",-0.315419511174045,0,0,"1147;4773;4775;5291;3708;5336;5534;1386;5062;9536;2206;5594;2205;6347;695;5290;5743;4067;3937;5966;5321;5332;2241;59067;5588;3558;3458","IgE signaling"
"NInflammation_IFN-gamma signaling",-0.469061352571241,0,0,"3717;2033;5054;1965;3459;83593;1968;1147;5291;5906;5781;3708;5336;1386;5578;1604;5594;5610;6352;10000;3428;5290;8900;838;7099;6772;3676;3574;5272;3627;3593;3458;9447;1048;4283","IFN-gamma signaling"
"NInflammation_Interferon signaling",-0.363165851288228,0,0,"4600;3434;3553;3716;3659;834;6891;2634;596;3456;3717;11040;673;2209;3459;3455;6355;3454;6890;355;8807;3433;8809;942;4332;5594;5610;6347;50615;6352;8743;7098;3394;6772;5272;2633;356;3458;6373;3620;4283","Interferon signaling"
"NImmune response_BCR pathway",-0.364977425460917,0,0,"5728;998;1147;4773;4775;5291;2534;5452;27071;3708;5336;8826;1386;10892;25780;5594;6198;10097;695;894;5290;4067;5966;118788;930;973;5450;5788;5579;1380","BCR pathway"
"NCell adhesion_Platelet aggregation",-0.30951622401327,0,0,"7057;5291;7534;1281;953;1280;3708;3673;5336;5724;6093;5573;5908;64805;2770;10672;2776;2811;9475;5290;5743;3685;2814;4067;3937;2149;5321;5332;5028;6403;5294;2243","Platelet aggregation"
"NImmune response_T helper cell differentiation",-0.458106683679014,0,0,"1147;4773;4775;30009;10333;3594;2534;7189;1432;3708;920;1386;3570;8809;7334;10892;942;5594;864;941;50615;23643;7096;3937;3932;7099;6772;51284;3572;919;51311;4049;59067;3561;4118;3559;6775;5588;3558;940;959;3593;3595;3702;3458;3604","T helper cell differentiation"
"NChemotaxis",-0.494275900089412,0,0,"1432;6372;2833;920;5724;1524;2357;3603;5594;6356;6366;3556;6347;6352;1230;2770;6693;5290;6362;2358;3932;3554;1794;2359;1234;5337;2247;6091;6364;6374;6092;10663;9353;6363;3627;1236;729230;1233;1237;6846;5788;6373;6357;4283;10563","Chemotaxis"
