"","P24T3","P26T1","P27T1","P28T1","P29T2","P29T1","P30T2","P31T2","P31T3","P32T1","P34T1","P36T2","P39T3","P4T1","P7T1","P8T2","P17T1","P19T1","P21T1","P22T2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.964115014877379,0.678825131627816,0.719671338048923,1.00443786604746,0.700530141907325,0.780075340241509,0.788906368460422,0.649905086135327,0.688631701328297,0.740823792932273,0.79163420366351,0.613209224339634,0.761451889451484,0.688724611744329,0.995443554600708,0.658224739221363,1.0272054092531,0.752012713764609,0.995078135565076,0.740160472676138
"HALLMARK_HYPOXIA",0.785997580882617,0.655893589753494,0.629015827501518,0.724801287974241,0.641743541214346,0.651329457932406,0.681859427138975,0.64574647413275,0.656276645951162,0.662039282014728,0.729275127622956,0.580733935643649,0.681881442021389,0.677606021046656,0.799086366995556,0.691296249505699,0.789515040624228,0.668344378136125,0.739555959767669,0.666546994859605
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.822381035586309,0.881250916099451,0.898702461890835,1.0254208603178,0.900100427889931,0.969785959410515,0.89175671042978,0.912788190376728,0.882646226210169,0.912919302133693,0.976295664820533,1.0072589747372,1.03102040918029,0.900090558040304,0.941542838257436,0.908790246711217,0.953493839620805,0.916375617204048,0.932583654039161,0.929766911177077
"HALLMARK_MITOTIC_SPINDLE",0.508327717696459,0.488217908425481,0.518740998949409,0.597905356541466,0.514682637446969,0.539073121970798,0.487001675269043,0.472763765410099,0.513425238900044,0.486280203309055,0.549429414093309,0.556463232155837,0.551468166356483,0.628988688771629,0.468957707789034,0.504920158214964,0.470520914942042,0.486940703334005,0.424677741862678,0.570809506729088
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.611361859358612,0.358201710028483,0.396678387140479,0.712765305508684,0.368815206242139,0.373853499513685,0.467250849167007,0.344602441927096,0.394666138773902,0.427849587130124,0.459354916300035,0.344805073037061,0.436258627929267,0.362163194490764,0.644469684670819,0.337557657374579,0.66784038771438,0.412075490975294,0.63466320424594,0.384516435807108
"HALLMARK_G2M_CHECKPOINT",0.522040144014694,0.559246021684314,0.573106501708447,0.728452883491878,0.555606463964417,0.655699639442097,0.563449754778059,0.545778196520563,0.598912803937605,0.523159124286734,0.736585117786268,0.770353270548818,0.636503404614069,0.751042691773441,0.543835852466083,0.537648732117625,0.515352027780657,0.626529205638152,0.490554026107591,0.779813386894416
"HALLMARK_APOPTOSIS",0.91910677739697,0.808724357032032,0.779725513484741,0.886525230504775,0.813533267484861,0.82274268442267,0.84669967485549,0.788163034844258,0.794392767574495,0.815731415415823,0.835294968038527,0.775273467075274,0.82408202633663,0.785462964066527,0.930490661653354,0.80758092354256,0.965860791975409,0.836001094637738,0.920136356106379,0.800400481820306
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.539770729455638,0.515525509605136,0.549515052939486,0.552056167771267,0.537982643142415,0.531704277375612,0.523399134265581,0.56532455185832,0.514784665571633,0.561647190186105,0.511561653923494,0.499777991008015,0.570468689820499,0.463493888479398,0.587245255283616,0.576876809798328,0.563442099909089,0.508069841563659,0.58522271977931,0.514894774411294
"HALLMARK_PROTEIN_SECRETION",0.900793677180539,0.948877864295687,0.952677628555023,0.997288063484687,1.01414337488473,0.969527213147504,1.02042908438911,1.0188564776371,1.01546773823668,0.965296095431692,0.945845815937949,0.994543274028299,1.02993712918895,0.939186668076805,0.959103182031663,1.01878018719279,0.96512488442,0.940907447097386,0.981392059026624,0.90864081860407
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.0198224350151,0.868444155038297,0.928492725448275,1.0513726427822,0.886603157875419,0.838628113956753,0.929960045914617,0.844315564907074,0.96652049361416,0.838086620408802,0.891406389097259,0.832460864816665,0.995691322918784,0.868834043939343,0.980166324904801,0.767550726719208,0.975418789929648,0.833622031505516,1.04282582869805,0.854204939976058
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.856058594160779,0.64125192558754,0.683289287058961,0.926421522159323,0.64188051232799,0.63350378685987,0.740734500895745,0.633872125117242,0.73359923460945,0.624856550409156,0.681742611765681,0.613651517225258,0.734161046930677,0.638632984848979,0.808012555951924,0.562860743099902,0.891265861985031,0.644795695082075,0.874097771215816,0.633563218965263
"HALLMARK_COMPLEMENT",0.638833526003226,0.50619927617739,0.47066456182621,0.633409613366863,0.468840900747218,0.484812414994828,0.555507559849698,0.513586199083182,0.509762795204867,0.518265990699455,0.536387135262809,0.417314706829495,0.52334359635202,0.465252048531482,0.628824683418163,0.463608154319125,0.661752677188806,0.524069878954135,0.629878165171011,0.469656747545597
"HALLMARK_MTORC1_SIGNALING",0.989029426482189,0.977488387827508,0.98446913665226,1.13490123726767,0.979602290840534,1.02477841045511,1.02708952952891,1.02985100205807,1.03248522625594,1.0123708984073,1.09940020158931,1.06176625271823,1.07801879912356,1.00946778662543,1.06038561573463,1.02050500748693,1.05174791035903,1.02380867005498,1.04455071703493,1.03850401106193
"HALLMARK_E2F_TARGETS",0.618017681750309,0.66914330002408,0.645986397653843,0.796934288480233,0.62875652874188,0.765851817071716,0.669193060609094,0.626933292901676,0.70574862375044,0.620756900029677,0.848595316010502,0.88548261692748,0.697660367157917,0.828024743040302,0.628924257375947,0.604054116793172,0.607463810206946,0.745333164549937,0.581776597201906,0.931255885719367
"HALLMARK_INFLAMMATORY_RESPONSE",0.414664641648269,0.178213767900676,0.194698952716962,0.51910532163986,0.188767386142954,0.219212117565326,0.298829299551299,0.179387430059403,0.181039432450822,0.187802827444125,0.217416215737582,0.134901237267675,0.221617177314537,0.191675544177235,0.469478939000086,0.161199977247662,0.512153876201577,0.237162938965861,0.483697767736499,0.22491387062683
"HALLMARK_XENOBIOTIC_METABOLISM",0.510675526349392,0.491376397707307,0.478936928247576,0.559789960464688,0.500136485355487,0.52279728155269,0.52377555635584,0.520778387598047,0.513467228685494,0.483092683832499,0.509230671928367,0.488089326319176,0.520004646136521,0.403340285601531,0.507022140665667,0.501156512554035,0.52661771525561,0.51029506961719,0.529458692015631,0.478034069299782
"HALLMARK_P53_PATHWAY",0.8961595936309,0.837835364901758,0.820244120452029,0.879607656402975,0.834780772725908,0.840885490173612,0.844525945259776,0.810250831836353,0.839891666979812,0.843177194756079,0.874291582773271,0.784796597622821,0.850831984878902,0.825281057522652,0.917570991064484,0.833235737429901,0.913035148375237,0.869016808271138,0.879361635328611,0.84568601642655
"HALLMARK_COAGULATION",0.528650101311492,0.419785814484515,0.423182541912179,0.501172420170062,0.397024893930267,0.37787664783305,0.495110984712246,0.456679972989668,0.383470297304401,0.419230614593498,0.397210498780476,0.368969641882884,0.458651771756819,0.377683313432726,0.524967800732099,0.432365569559273,0.557895045132021,0.456871724983517,0.566638667460856,0.373572110798178
"HALLMARK_IL2_STAT5_SIGNALING",0.627171049569361,0.475636764487599,0.479252444487352,0.703479335981022,0.496811191233372,0.478815151339287,0.537226772535527,0.485631710925654,0.465183897480588,0.518590916702316,0.481575193978666,0.454278188992727,0.491256150515669,0.474743026470033,0.677935894587608,0.4657066169408,0.68803536921675,0.524981491829989,0.653363938652872,0.494542406513951
"HALLMARK_ALLOGRAFT_REJECTION",0.541783487853042,0.310773477965595,0.279023215279432,0.662463584560358,0.238662757064852,0.235028719783987,0.364569093484588,0.266014868131192,0.291429080269446,0.296506551417865,0.326208221101296,0.230907623373373,0.261766455580047,0.25670636469686,0.520309667243964,0.2372143981338,0.642295747165414,0.341320694512768,0.55289893845076,0.294724450737709
"HALLMARK_KRAS_SIGNALING_UP",0.502629283723654,0.344166419447485,0.281448877556998,0.454317693212241,0.346283272364165,0.314059858861685,0.40504671493944,0.329471218711336,0.305701214250797,0.331800081250982,0.37145295843451,0.224622888473945,0.300785577759578,0.273991154778192,0.534495908785559,0.335925678127753,0.574533282175061,0.394930882884729,0.548772331799878,0.331202243267608
