"","X1","X2","X3","X4","exp.coef.","lower..95","upper..95"
"1","","","NSamp","HR",NA,NA,NA
"2","PAM50","Basal","136","",NA,NA,NA
"tinfo$pamHer2","","Her2","64","1.45",1.44906277966261,0.690710015794743,3.04003545827763
"tinfo$pamLumA","","LumA","410","0.43",0.433216729715923,0.236384512266714,0.793946833090328
"tinfo$pamLumB","","LumB","172","0.73",0.730752274239002,0.374659082067034,1.4252927844678
"tinfo$pamNormal","","Normal","25","0.78",0.775236132538081,0.226298292752029,2.6557472170201
"7","Stage","1","276","",NA,NA,NA
"tinfo$Stage2","","2","626","1.85",1.85188595241941,0.968096725250659,3.54249889635811
"tinfo$Stage3","","3","135","1.94",1.9417071393152,0.833501296278277,4.52336022955489
"tinfo$Stage4","","4","40","7.36",7.35944130518241,3.19633362095682,16.9448445460496
"tinfo$cd74","CD74","","1080","0.74",0.739229748137325,0.547656374028327,0.997816598959019
