"","X1","X2","X3","X4","exp.coef.","lower..95","upper..95"
"1","","","NSamp","HR",NA,NA,NA
"2","PAM50","Basal","136","",NA,NA,NA
"tinfo$pamHer2","","Her2","64","1.72",1.72041124319096,0.812277760273301,3.64384572674007
"tinfo$pamLumA","","LumA","410","0.47",0.466948219658765,0.255899408772818,0.852056051587295
"tinfo$pamLumB","","LumB","172","1.02",1.01922228267006,0.518516652497564,2.0034343284588
"tinfo$pamNormal","","Normal","25","0.64",0.637343832274547,0.186233059201152,2.18117643709895
"7","Stage","1","276","",NA,NA,NA
"tinfo$Stage2","","2","626","2.2",2.19588715203224,1.15072395742176,4.19033631251058
"tinfo$Stage3","","3","135","1.92",1.92203110485377,0.824638517185087,4.47978537388187
"tinfo$Stage4","","4","40","9.25",9.24771037699652,4.0094052654907,21.3298834999017
"tinfo$adamts10","ADAMST10","","1080","1.4",1.40424267529113,1.1115563958875,1.77399680160569
