"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fdxacb1",117.597302959589,0.0730182794919093,0.262534627973331,0.278128184672563,0.780913960720731,0.903286488134802
"Mrpl52",1016.92017220595,-0.271055276046822,0.186777465431377,-1.45122044257748,0.146718486260958,0.401768439103041
"Rrlt",8.77062058477166,1.70275564678697,0.753646910382763,2.25935464383735,0.0238613333548702,0.15084809048378
"Ensa",1012.672567571,-0.0565428042684926,0.113783670280263,-0.496932504719008,0.619236648748982,0.813231974744813
"Tpm1",4308.98374053784,-0.300319600302078,0.247162171813682,-1.21507105273564,0.224338992964158,0.497965846464307
"Efhd2",1507.02916010059,0.287470980369351,0.150501094426898,1.91009229178052,0.0561213313083236,0.241147951699526
"Aaas",229.819420052447,-0.249958766226356,0.275681739647036,-0.906693227293133,0.364569045932785,0.633447336902273
"Ubl4a",529.807230356007,-0.0584852500707319,0.223500845349652,-0.261677981482511,0.793569717403403,0.909231343139996
"Otub1",1834.61636974594,-0.0726225342903491,0.1633150479845,-0.444677543108223,0.656552800469369,0.835756691654025
"Bach1",79.3039267919038,-0.260819559551473,0.304595212588327,-0.856282530953567,0.391841521548402,0.653543498649583
"Xcr1",2.25572798262768,1.21160155752468,1.57698126486016,0.768304344840853,0.442306393984573,NA
"Csf3",114.12063654724,-0.339136775011424,0.637253968350796,-0.532184642002473,0.594598118824872,0.797369010790889
"Eloa",1253.62793695703,0.0035050899730959,0.189195805701293,0.018526256224886,0.985219031719522,0.995142128949733
"Cox4i1",1401.10412661144,-0.370515342116486,0.198440996620505,-1.86713102849938,0.061883292323106,0.255271252822982
"Arg1",643.226554299519,0.445908712741058,0.56009829753479,0.796125813457523,0.42595891182434,0.68178546106504
"Thbs4",3.71444404780173,-0.0525573627590847,1.52095465392157,-0.034555509346431,0.972434178691755,0.98975615460129
"Rcn2",1617.84779095759,0.37854161018605,0.216255832197675,1.75043422570002,0.0800434145330273,0.291515235240443
"Neu2",46.113625327128,0.493046235202974,0.745515185423337,0.661349687898041,0.508388083277795,0.739907630804813
"Inhba",37.3957999890577,-3.15232490036678,0.882910743360926,-3.57037778062027,0.000356466749550894,0.0119576570874628
"Fdx1",542.683695539923,-0.121472761633891,0.212575835395041,-0.571432596786701,0.567706438231904,0.77818529446343
"Cd63",9486.0964299185,-0.20280123505126,0.359386021870612,-0.564299173339228,0.572550543926896,0.782296560087199
"Vdr",503.971002783756,0.513954243028399,0.43713217309787,1.17574105650039,0.239698366864962,0.515297551233371
"Tbxa2r",25.4104341359812,-1.25798339441878,0.674364723745846,-1.86543475677546,0.0621204893292663,0.255318123320529
"Cd37",20.1786739988499,-1.01703380328697,0.593484370773943,-1.71366568922563,0.0865901417310854,0.304762591380083
"Areg",8312.38549064146,-0.253342657413353,0.540672746549501,-0.468569313008935,0.639377516204926,0.82671838225141
"Casp12",208.393784493089,1.01965509243176,0.426438362821251,2.39109606763771,0.0167981568283093,0.123752985097884
"Anxa7",1268.85109524461,0.335047820394331,0.144023350458253,2.32634374445726,0.0200002201255552,0.136481502136789
"Slco1a2",3.62113265157806,-2.28246156483875,1.35915513412294,-1.67932380015737,0.093088954985813,0.315635519716235
"Lonp1",759.47589323681,0.158694527939667,0.169576922463497,0.935826205796532,0.349362676545544,0.61947859468404
"Naa35",474.638244899079,0.0183242944762384,0.190558442896206,0.0961610212475305,0.923392687842479,0.9718591711315
"Atp2b3",9.63867205221524,-1.54592459797837,1.28840881777217,-1.19987117183153,0.230189377578506,0.504389274686701
"Asb1",33.5006577155386,-0.603245899143167,0.382501262070021,-1.57710825809703,0.114770617377908,0.35143351608384
"Fgfr2",1934.96145815123,0.985865927061939,0.723592757140485,1.36245963953248,0.173052873164078,0.436401718730133
"Brsk1",12.8498365623236,-1.31196286611352,0.608149286986529,-2.15730396168758,0.0309819885358675,0.175017458417847
"Preb",637.715995089649,-0.17650451707626,0.179304123773691,-0.984386267094647,0.324925627703302,0.598067485516774
"Cldn15",3.0791841791234,-0.140329824153909,1.13486388346931,-0.123653440908628,0.901589677412403,NA
"Fgd3",5.65652851088121,-3.05078877306599,0.98949097708821,-3.08319008834582,0.00204794294663743,0.0363087420062673
"Pbx4",4.78919890853796,-3.43557426076637,1.66526781651833,-2.06307611705925,0.0391053968847003,0.19796381924421
"B4galt5",102.318564210362,-0.647801085986009,0.676638680380825,-0.957381102749571,0.338374933055831,0.610932397082536
"Polr3f",133.57301502921,0.330513257531491,0.262073350684696,1.26114790637044,0.207255563242603,0.4779264083629
"Smc2",344.578351828194,-0.0811014473178372,0.370413422818382,-0.218948456837111,0.826690199008042,0.925537808320559
"Ephx3",18.3187597237839,0.0392541515250411,0.742730266794076,0.0528511537499043,0.957850503622986,0.985530733823637
"Cbfa2t3",8.88501524468805,-1.51204852716231,0.987981200225047,-1.53044261046454,0.125907208607446,0.368866842037481
"Plec",1550.1863303948,-0.62368949374009,0.312379629733812,-1.99657543057963,0.0458713240688807,0.217897912502217
"Strn4",1067.52655983818,-0.161189267383603,0.151285433381247,-1.06546455782956,0.286665755956426,0.563330995167294
"Hmg20a",344.462717069441,0.0194185564721633,0.225582934669941,0.0860816732461403,0.93140149217141,0.974984144280717
"Smim22",1350.98612281012,-0.470012518402058,0.262618718542567,-1.78971446136988,0.073499826382186,0.27925180829276
"Samd3",2.50549714789468,-1.06130250960213,1.3597425956141,-0.780517219233552,0.43508649614326,NA
"Ube2s",1391.40613913326,-0.128079245723888,0.227212592447642,-0.563697831815381,0.572959793230281,0.782422624443226
"Prpf31",145.573074273621,0.0583066557186105,0.219749888823572,0.265331900874919,0.790753791570256,0.90804276001995
"Mrpl51",310.918425334691,-0.0736178956708791,0.19540185457303,-0.376751263859499,0.70635846212203,0.863555890511035
"Fam185a",53.5633389897594,-0.262057011711817,0.382998152026071,-0.684225264079024,0.493832931310633,0.729328823362797
"Msmo1",665.937117259944,0.347823915344078,0.341587499173754,1.01825715573728,0.30855576358173,0.582941453677112
"Tcta",696.321907215907,-0.0892756963669036,0.177935094917681,-0.501731805118071,0.615856188787371,0.811552291934068
"Dgka",1064.85700117362,-0.833471274707141,0.178998219012616,-4.65631043316914,3.2192641644106e-06,0.000408983538844589
"LOC361985",831.958920117968,0.094132696959668,0.147555490654977,0.637947775049419,0.52350767679599,0.750191466972759
"Cdk5rap1",299.268802312466,-0.0888904529320346,0.263881673118078,-0.336857243179064,0.736224518416079,0.879551140348621
"Nr1d1",630.085682360429,0.249860671388114,0.264815080601477,0.943528861047502,0.345410460159678,0.616491679221974
"Rwdd1",525.223257919823,-0.0311514921295364,0.15838544523216,-0.196681532724644,0.844076762563093,0.933834803275248
"Pzp",7.89107068211912,-1.34849698288459,0.975649963246517,-1.38215244573721,0.166924897978951,0.429294266462999
"Zfp709",92.1925774734551,0.494535481465539,0.410834454175215,1.20373419619433,0.228692330627484,0.50258972471896
"Tnfsf10",1680.48403564758,0.716849213029933,0.514356559271597,1.3936814843872,0.163413809914938,0.425346058850084
"Slc25a25",141.625007419169,0.0113727562378648,0.293604036058168,0.0387350132871186,0.96910165778076,0.989083407744472
"Timm13",1855.32307814517,-0.682371226368536,0.242340764991954,-2.8157508968464,0.0048663382647092,0.0609798652226204
"Dhrs4",651.722163992122,-0.0290489607469342,0.161591849048342,-0.179767487766316,0.857335108760253,0.939054268564765
"Homez",74.1042152466235,0.0128158460282454,0.276146689487908,0.0464095588182185,0.962983817888391,0.986648256752192
"Pnma2",3.69744339790198,-0.542646280484797,1.48626755187771,-0.365106726443184,0.715031740028735,0.868277141577685
"Anapc2",1461.75815896226,0.0892199450301417,0.15439413676275,0.57787132918941,0.563350993434468,0.7765828885599
"Cd300le",23.8480417656909,-5.21629382153252,0.993091487699385,-5.25258134436001,1.49982189026637e-07,3.98129851187875e-05
"Rnpep",1700.13350269089,0.18864562007134,0.148169535160462,1.27317413709265,0.202956255895695,0.472733295866274
"Rps10",1610.63423033435,-0.529216616060505,0.225099677440293,-2.35103231634296,0.018721407821774,0.131126716837317
"Lilrb4",14.4098224024481,-3.54727288295228,1.27817865969484,-2.77525591281518,0.00551582859656297,0.0664012349799949
"Kras",513.680997105006,-0.156023284796066,0.233878834838224,-0.66711160462206,0.504700848174893,0.737084203119063
"Olfm1",24.242175131516,-1.27228804554803,0.761462233027397,-1.67084852060188,0.094751601915787,0.318111788045636
"Slc4a4",102.718821968014,0.581586087878315,0.659416792808,0.881970392961548,0.377792818202995,0.642664012057792
"Psmb7",1193.59525834943,-0.0580711285273191,0.143660681987113,-0.404224229789806,0.686047837728353,0.852958255350727
"Herpud1",1117.17849174239,0.488440334469373,0.217275107025881,2.24802712632512,0.0245744602480273,0.153574330853781
"Cox4i2",4.91447112031102,-4.8467261147216,1.23290952421135,-3.93112878077724,8.45479659012659e-05,0.00426379990863118
"Nfib",1259.34929475023,0.184185996142081,0.509656935261764,0.361392111828091,0.717806343970428,0.869873808789167
"Bnip3",379.020639547696,-0.495413111084257,0.327282403662447,-1.51371752816634,0.130097497383682,0.375211134743553
"Mlycd",653.398820703577,0.245530632256289,0.174286811943929,1.40877344371461,0.158902170046502,0.418621159209204
"Trpc6",236.138252113741,-0.419920522120908,1.00280169723217,-0.41874731891652,0.675400809513281,0.847433336735762
"Chi3l1",6583.66316368778,0.543699241819004,0.722157940261143,0.75288134562696,0.451521218821287,0.699537991140604
"Bud31",703.812576387537,-0.143357335883313,0.142133167669467,-1.00861282580216,0.313160353816618,0.587920286948286
"Ddx52",206.771428043141,0.184380363204726,0.204903232952612,0.89984116183939,0.368204785718663,0.635525746213412
"Hdac2",1601.82860937843,0.148753259065204,0.146664577372713,1.01424121440846,0.310467666883985,0.584703497544322
"Kpna2",118.045135061127,-0.872760504353155,0.475628211211952,-1.83496370438008,0.0665110675104227,0.263792916386743
"Abcg1",710.003083259573,0.891500825010759,0.349098670093945,2.55372163053744,0.0106578425788711,0.0972649318132126
"Atp6v0e1",1588.16205454452,-0.0147816329398677,0.214425863548592,-0.0689358676012419,0.945040668198714,0.98096639895225
"Synrg",421.099638285255,0.202011932455979,0.209463522271749,0.964425358005283,0.334832713913626,0.607306011906076
"Prdx6",1396.03665505099,0.274501876254632,0.188768662431237,1.4541707967795,0.145898959314727,0.400334253260974
"Ptch1",128.010520736136,0.0617712805228149,0.233035485016178,0.265072422418957,0.790953671378934,0.908053138204887
"Idi1",463.57251030552,-0.0669218170139469,0.434941771252712,-0.15386385359401,0.877717085308605,0.951305441280636
"Slc22a7",8.38323681790983,-0.00679577387582666,1.43974847439997,-0.00472011187833268,0.996233909591429,0.999145748336434
"Atrn",818.930835271591,0.266985345299208,0.319040132332535,0.836839376122528,0.402682860758249,0.662465728499106
"Cftr",10.5414236692412,-0.653991440442649,1.25019608490029,-0.523111093004908,0.600896946377261,0.801151203934047
"Ap4e1",46.7826374658901,-1.175163686992,0.448017586051326,-2.62303026394453,0.00871515306678,0.08615592543335
"Sh3bp1",417.429672140008,-0.0432658709291136,0.32740393391825,-0.132148292817754,0.894866998678901,0.958430645580577
"Aqp4",6.33886580930745,-2.14680640407162,1.74727754081673,-1.22865792864718,0.219200086315922,0.491307700973113
"Rangap1",765.173464118946,-0.150157593266895,0.254740399061748,-0.58945339577056,0.555557166490932,0.771090555898492
"Wdr4",274.00465504121,0.233730222918727,0.228336836664185,1.02362030732025,0.306014649663225,0.580280880498281
"Lrrc47",729.664234337616,0.146879821427224,0.148676116500593,0.987918065687694,0.323192777025462,0.596532943313457
"Ptchd1",2.20718095320436,-1.00842253290082,1.16837557881719,-0.863097920894329,0.388083630977496,NA
"Camsap2",393.000431675131,-0.20011987852824,0.283777601287961,-0.705199697298061,0.480685969662429,0.720403234860538
"Celf5",77.8580737397781,-1.03390140561497,0.65828714974513,-1.57059332848175,0.116277140619053,0.353690220826182
"Sec1",3.2521041570732,-2.30429700092785,1.53394743732328,-1.50220075659752,0.133045269500507,NA
"Med14",395.943012252937,-0.0743924678995692,0.230273374405781,-0.323061526724653,0.74664864647691,0.885625559815977
"LOC100361083",71.1660440674297,-0.131100748358543,0.514557076012952,-0.254783685756259,0.798890176418082,0.91085988989734
"LOC102552805",23.4620859239721,-0.333147577133369,0.455659324976865,-0.731133017304724,0.464697908792255,0.708738496398097
"Tspan17",234.741415561465,0.0259672582706893,0.384579387493305,0.0675211909820347,0.946166792556345,0.981266143880087
"Chaf1b",92.8358935188747,0.163372580954079,0.474016027124167,0.344656238619722,0.730352820971997,0.876041923267135
"B3galt4",35.4099501266989,0.592782593837906,0.358468776525476,1.6536519570367,0.0981982493966723,0.32376683994894
"Mlxipl",46.8367314508215,-1.68671354509359,0.803837573706639,-2.09832632893217,0.0358763282362686,0.188821115820855
"Fbxo32",428.778879252725,-0.250894537478066,0.476583469803726,-0.526444061480759,0.59857970851385,0.799758209786574
"Mpnd",1332.36708655271,0.00323303184868554,0.132251753787311,0.0244460414028606,0.980496823556689,0.992969222092434
"Tnfrsf4",17.278968610791,-2.42789281873144,0.818274766425179,-2.96708748497555,0.00300635403042141,0.0456913591900769
"Csn2",428.294274409342,-3.85856937768121,1.64774625160849,-2.34172547739955,0.0191948277173067,0.1328068555041
"Tmem242",465.876868013838,0.147224816193846,0.169568554621214,0.868231828258012,0.385267433470754,0.648763103902086
"Tpm3",3242.18483889931,0.0522251169940132,0.14475781376117,0.360775806411234,0.718267050142067,0.869949512561475
"C2",3210.85195431027,0.644483453722593,0.331009096370464,1.94702641344119,0.0515315680927246,0.232222636288044
"Tprn",546.157058833242,0.443653139254944,0.242348638220171,1.8306401162935,0.0671542766811394,0.265217044628221
"Clec14a",16.762135252984,-2.08139153326309,0.926736008381196,-2.24593790943639,0.0247079852507011,0.15391901922998
"Fxyd2",13.4890793900634,-2.36694086731385,0.850001313107285,-2.78463201269797,0.0053588501930492,0.0651021251326485
"Rgs10",24.9186072425081,-1.55025284891065,0.7606824945361,-2.03797623850418,0.0415523092494075,0.206241761037583
"Rgs1",198.426159253869,0.00698149150147511,1.02277876383098,0.00682600357806102,NA,NA
"Trim17",6.70755866567089,-1.63796238818448,0.968005791260922,-1.69209978181109,0.0906269500661573,0.312358931327959
"Chad",93.7955162045107,0.747303846450572,1.34029183307025,0.557568007214294,0.577139407970785,0.785980739602603
"Arf6",1686.05031007208,0.23825271773586,0.175712038554044,1.35592711630046,0.175122358837794,0.438430022901663
"Arf4",5247.83708755087,0.317346591568981,0.120929600570573,2.62422591385127,0.008684615977252,0.0860950787477945
"Arf2",184.088252617107,0.0810613966231561,0.282589207240395,0.286852415259435,0.774225327017178,0.90079423617301
"RGD1308430",676.856108189711,0.161866082530449,0.152707332755286,1.05997583488568,0.289155593127967,0.565844425819558
"Hipk1",426.263698782377,-0.0919334977316876,0.232576739344725,-0.395282425881051,0.692634467716413,0.856079570841379
"Armh4",9.91687987653267,-1.17154974882982,1.08990059828741,-1.07491430931472,0.282413094893642,0.559252504128728
"Mapk1ip1l",188.466123673939,-0.826449475168477,0.345726465453284,-2.39047211524554,0.0168267268652367,0.123777948024954
"Bola3",460.777176377345,-0.429275543339482,0.212863951579031,-2.01666623284546,0.043730356038683,0.212374099965007
"LOC679149",2.90514685328173,1.13684926740546,1.49368959742399,0.761101415826997,0.446596494886439,NA
"Tmem128",687.250363441834,-0.0380662471087387,0.143574200369252,-0.265132920892735,0.790907067346428,0.908053138204887
"Osgep",518.317132090854,-0.227116930107694,0.155778629675783,-1.45794664249124,0.144855250849659,0.39886128790561
"Magoh",654.481244217846,-0.203188601076576,0.175684980224856,-1.15655078092913,0.247455941107482,0.524143109029008
"Ewsr1",41.5277088550282,0.53752663040634,0.481145162974432,1.11718182322224,0.263916590817982,0.54143479256972
"Pak1ip1",353.661319378228,-0.239356474694275,0.218119723368401,-1.09736281982169,0.272482819667683,0.550590496188066
"Fyco1",319.932707609101,0.42145268208955,0.221703828179912,1.90097160499882,0.0573057319629308,0.243625877725874
"Mrps18c",593.861108826529,-0.323689693477948,0.198507874935177,-1.63061386649597,0.102971821399741,0.332618201556857
"Kat2a",871.494627739234,-0.499037562492525,0.16400081953585,-3.04289676054599,0.00234312704878382,0.03890627983668
"Map7d1",854.097391706979,-0.315974363039366,0.242988705391087,-1.30036646160491,0.193475399068664,0.461871243281083
"Mir155hg",2.65869910525674,-2.68188826887381,1.45953105786148,-1.83749996577897,0.0661361215190905,NA
"Mcart1",21.7457789368528,0.941909709590208,0.454447478890838,2.07264811302091,0.0382050399149464,0.194976319087303
"Slc10a3",259.525255495394,0.289514077755881,0.278507480540603,1.03951993387722,0.298562992184875,0.574607454096982
"Atg4d",788.632936595465,-0.0889543452964945,0.187057245879334,-0.475546108242591,0.634397777076407,0.823006463554467
"Atad1",969.260006931572,0.39404464070933,0.223916333794288,1.75978515739427,0.0784442406112599,0.287710645291083
"Mterf4",212.893045760934,0.157988894402761,0.177073204178493,0.892223615287976,0.372273086822228,0.637739951632628
"LOC306079",11.5152172182006,0.596837593055687,0.65905574077094,0.90559501440277,0.365150248615198,0.633811667000391
"Slc25a15",182.604896435184,0.207112651364989,0.27015884448484,0.766632873929882,0.443299824250358,0.692463898129206
"Fn3krp",175.102731298135,0.598232785721913,0.278591808595388,2.14734520996184,0.0317658090912039,0.17726155615313
"Arhgap5",655.443500637129,0.0413128352791499,0.228583235261025,0.180734318647532,0.856576119971949,0.938978522554159
"Fbxo5",104.256855324782,-0.113756156104386,0.400119341516702,-0.284305566617147,0.776176220545835,0.901400021954524
"Ttyh1",5.75579137418667,-2.8874650500188,0.961075215520479,-3.00441110475944,0.00266095505881995,0.0421409130041069
"Dhx37",420.697467332921,-0.0112654906895769,0.216207967574931,-0.0521048822387759,0.958445122788673,0.985530733823637
"Il12rb1",3.28233832285672,-2.04655076827417,1.3206351983474,-1.5496715299086,0.12122037481049,NA
"Stk26",175.234762641642,0.869227002925328,0.262316165006035,3.31366159956376,0.000920828787388348,0.0225326205449669
"Myh2",4.51943985139567,-1.02265205081476,1.51555278336344,-0.674771649025121,0.499820855346532,0.734053563611982
"Cyp4v3",296.121071654868,0.804845902750363,0.419060030712084,1.92059810949457,0.0547823936966528,0.238589112153693
"Zg16b",2.89527243098709,-0.367584569258491,1.11231334720181,-0.330468541246229,0.741045959100463,NA
"Myrf",8.48948305814211,-1.04634248591163,0.862941454589499,-1.21253009731625,0.225309528769244,0.499099683279969
"Rab11fip1",1676.00593978353,0.472020022580844,0.356583018097961,1.32373107698351,0.185592373502601,0.452038449025862
