"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NNeurophysiological process_Melatonin signaling",0.619378432071675,0,0,"240;6517;6783;815;3763;3778;4919;2770","Melatonin signaling"
"NInflammation_Complement system",-0.697977543692414,0,0,"1675;715;716;1191;722;1604;22918;2219;3689;5199;3684","Complement system"
"NImmune response_IL-5 signalling",-0.571308679403868,0,0,"2885;5906;3716;5292;6772;5321;695;1439","IL-5 signalling"
"NNeurophysiological process_Visual perception",0.569353387704171,0,0,"1413;6295;5145;1381;94233;4647;1258;2700;5630;4284;1410;3983;2979;24;9478;407;2918;145226","Visual perception"
"NBlood coagulation",-0.532590976903137,0,0,"5624;7018;2150;7056;2161;2152;7057;2159;958;5028;5627;3690;5321;722;5265;135;7035;2266;948;5340;5328;5329;2151","Blood coagulation"
"NMuscle contraction_Relaxin signaling",-0.513950603526807,0,0,"11172;5142;111;5021;6013;5294;3569;3553;4843","Relaxin signaling"
"NImmune response_Innate immune response to RNA viral infection ",-0.50087764382478,0,0,"23586;5610;3716;3665;3659;10010;6772;64135;6364;4599;6373;3569;4843;3627","Innate immune response to RNA viral infection "
"NInflammation_IL-10 anti-inflammatory response",-0.535262365187731,0,0,"4793;3716;4791;7099;5292;3162;6772;3394;890;3569;3587;3553;4843;3552;6348","IL-10 anti-inflammatory response"
"NApoptosis_Endoplasmic reticulum stress pathway",-0.458324168559464,0,0,"10134;841;1388;317;8667;840;578;468;637;4792;5499;1649;9451;100506742;6416;8664;10488;3708;10130;4800;79139;3164;7184;54205;4790;4802;7494;1432;836;22926;23645;51347;9695;1965;7186;4773;6648;3309;824;90993;9709;57761;5366","Endoplasmic reticulum stress pathway"
"NImmune response_Th17-derived cytokines",-0.529006479788632,0,0,"1440;6387;3605;58985;9536;6772;116379;6364;3383;4283;6372;6354;6373;3569;6347;3553;4843;5743","Th17-derived cytokines"
"NApoptosis_Anti-apoptosis mediated by external signals via NF-kB",-0.555382685649459,0,0,"23533;7099;602;1438;958;330;332;5294;3791;597;1439;4843;5743;4914","Anti-apoptosis mediated by external signals via NF-kB"
"NInflammation_Protein C signaling",-0.595481735373618,0,0,"10544;5970;2149;7189;87;10097;5879;60;4794;5624;7018;4793;2150;4791;58;7056;2152;7099;2159;89;5627;10672;5340;5328;3569;1901;3553;4843;3552","Protein C signaling"
"NInflammation_Interferon signaling",-0.698695321209026,0,0,"6352;3716;5272;3665;3659;958;6772;5468;8519;6890;9636;3383;2634;3394;5021;4332;4283;6354;4599;3433;6373;50615;4261;4210;6347;3553;4843;6348;942","Interferon signaling"
"NInflammation_IgE signaling",-0.518030596726007,0,0,"4773;2885;4793;2206;4791;27040;5588;9846;9536;5321;3937;7409;695;5740;3569;6347;4843;5743","IgE signaling"
"NInflammation_IL-4 signaling",-0.611701257647458,0,0,"5728;3566;3716;2206;54106;1440;3635;958;290;3598;941;3561;1493;6369;6373;5788;972;3122;3569;971;6347;6348;942","IL-4 signaling"
"NInflammation_Inflammasome",-0.452175742720945,0,0,"7098;1965;7186;4794;23586;5610;4793;10392;4791;3665;54106;3554;7099;3663;64135;9636;64127;58484;695;3553;114548","Inflammasome"
"NApoptosis_Death Domain receptors & caspases in apoptosis",-0.539472686806186,0,0,"958;5888;330;64127;332;58484;27141;10293;695;8764;7185;114548;8477","Death Domain receptors & caspases in apoptosis"
"NInflammation_IFN-gamma signaling",-0.63240121114948,0,0,"5610;5906;4793;6352;3716;5272;3659;4174;7099;58191;6772;898;3676;3383;1604;3683;4283;3689;4261;4843;3627;6348;6361","IFN-gamma signaling"
"NInflammation_MIF signaling",-0.519997858574153,0,0,"3925;2114;4791;3159;7099;9536;898;5321;983;2113;3383;891;111;890;196883;972;3569;3553;4843;3552;5743","MIF signaling"
"NInflammation_Amphoterin signaling",-0.501954560581459,0,0,"4791;58;7099;7454;8503;3383;8061;3689;3569;6347;3553;4843;3552;3684","Amphoterin signaling"
"NChemotaxis",-0.674258395089748,0,0,"1234;1233;10563;920;3683;8061;4283;2833;6372;6354;6369;3689;6373;5788;5328;5329;5724;1230;6347;3553;4843;3552;3627;6348;3684;1236;6361;6367","Chemotaxis"
"NCell cycle_Core",-0.585168470070191,0,0,"1017;5001;3619;8379;2237;8318;23594;9735;994;10592;5925;4174;4172;84515;4175;4173;1869;898;983;699;1164;701;332;891;9133;1058;5347;990;10403;991;3835;4998;4085;4751;55388;9212","Core"
"NInflammation_Kallikrein-kinin system",-0.519411363647845,0,0,"710;2773;4794;2885;1368;7018;4793;3716;7056;2161;2152;7512;2159;9536;5321;290;59272;5265;2266;5294;5740;5340;4311;5328;5329;1803;4843;5743","Kallikrein-kinin system"
"NCytoskeleton_Spindle microtubules",-0.557904280431895,0,0,"51512;113457;9735;3836;11004;3838;84617;113130;983;699;9493;1164;1063;701;891;9133;1058;5347;10403;991;3835;4085;4751;11065;7272;9212;10381;3832;347733","Spindle microtubules"
"NImmune response_BCR pathway",-0.454873728802899,0,0,"7462;5970;2931;10097;5451;8915;5879;60;974;5777;4794;55973;4773;2885;5728;4793;4791;58;3635;7454;8519;7409;27071;5452;695;5788;971;4843","BCR pathway"
"NDevelopment_Skeletal muscle development",0.507151082317784,0,0,"2627;2006;4624;4625;4604;50509;22801;844;775;84676;1289;3679;1410;1742;8910;6442;2247;6444;2318;6334;6840;6300;4131;9924;4608;7291;7169;8106;9215;4619;3065;8736;7402","Skeletal muscle development"
"NTransport_Potassium transport",0.473223187467735,0,0,"26251;10060;495;3784;53828;5348;3765;3776;1258;2701;123041;3745;7226;80333;41;358;3777;3748;6557;81033;10052;482;5313;40;3752;348980;57468;3780;27345;3743;6560;477;3757;3763;3778;2697;5349","Potassium transport"
"NImmune response_T helper cell differentiation",-0.572286564091442,0,0,"27040;54106;7099;5588;3932;3595;3572;3605;958;6772;3937;941;920;7535;3561;919;864;940;50615;3702;3569;3559;942","T helper cell differentiation"
"NCell adhesion_Platelet aggregation",-0.457743316126423,0,0,"27040;7057;89;9846;8503;5028;5321;3937;7409;953;1280;111;10672;7941;5023;7535;5294;948;5740;196883;3689;5724;5743","Platelet aggregation"
"NInflammation_NK cell cytotoxicity",-0.55397082581452,0,0,"51744;5777;4794;4001;4773;2885;3133;567;4793;3716;27040;3932;3595;3148;3824;6772;3384;3001;2113;3937;3383;10870;962;3683;7535;7305;916;3561;919;5294;3560;914;4843","NK cell cytotoxicity"
