"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",216.225349427378,0.772358057798298,0.10840183889648,7.12495346629564,1.04115857351452e-12,1.38466758174801e-11
"A1CF",0.0544759237111778,0.185784613273651,1.40437142496373,0.132290226055011,0.894754737909062,NA
"A2BP1",0.972995656218991,0.101399981665441,0.354451769424692,0.28607554091216,0.774820264566534,0.838777913232388
"A2LD1",91.7725000849363,0.17968606635336,0.0843807766247491,2.12946684708112,0.0332156549718341,0.058205218905362
"A2ML1",6.38881889547407,-1.6562618282447,0.262167482714194,-6.31757154280764,2.65705446091424e-10,2.37587469196806e-09
"A2M",14200.9948659169,-0.272929287244791,0.0865150903302887,-3.1547015232005,0.00160662378325988,0.00388390810891742
"A4GALT",351.48176560371,0.457917216457414,0.114549102019259,3.99756269045588,6.39980448102768e-05,0.000208992404676133
"A4GNT",0.726965860644709,0.63619521937573,0.248300029848882,2.56220355576649,0.0104010338186192,0.0207329030678302
"AAA1",0.0567807411646681,0.248657947470746,2.32656537259119,0.106877696367417,0.914886007545759,NA
"AAAS",740.310652691868,0.339547170848461,0.0410700789432971,8.26750713864595,1.36789053946461e-16,3.12365330565769e-15
"AACSL",0.673188640526613,-0.246349312455636,0.432551108469852,-0.569526485152462,0.568998902220676,0.660938877379596
"AACS",1143.77724172537,0.100636645087351,0.0822573739442288,1.22343615243034,0.221165005588216,0.303208793505151
"AADACL2",0.314638849381403,-1.19930625854982,1.0485661313549,-1.14375834073541,0.25272387101474,0.338969481826234
"AADACL3",0.230374829468856,-0.279696918777688,0.746310624651178,-0.374772795052218,0.70782944848615,0.783687584842641
"AADACL4",0.0213122665962993,0.0395691339298841,2.89585214736296,0.0136640725825443,0.989097986696568,NA
"AADAC",3.1026232046106,-0.538467410546086,0.383083148409284,-1.40561497623171,0.159838486487818,0.230001458642522
"AADAT",39.0860493723734,-0.16792036637778,0.122450268235359,-1.37133522692677,0.170270479132083,0.242793566778117
"AAGAB",1839.17207996038,-0.114857548133288,0.0584995564191704,-1.96339177873919,0.0496006683683261,0.0830268234476013
"AAK1",927.264734136518,-0.230869795083148,0.0556364586125527,-4.14961341610371,3.33037245552191e-05,0.000115148450791892
"AAMP",2450.61317915826,0.225284114877974,0.0494797430959979,4.5530574894233,5.28718170742725e-06,2.1389979979598e-05
"AANAT",0.295722250149738,0.579388218790153,0.312489439507539,1.85410495696503,0.0637241456834896,0.10352972852929
"AARS2",421.82232923278,0.345685558477891,0.049872888027954,6.9313322758476,4.16895536418841e-12,5.0178214376733e-11
"AARSD1",549.214139417451,0.345530253089021,0.0659860749520651,5.23641167231159,1.6372854142691e-07,8.74372639426191e-07
"AARS",2551.23319214402,-0.202132420072258,0.0728483658118767,-2.77470081613422,0.00552525107888701,0.0118090048239906
"AASDHPPT",876.417236761202,-0.282884529728811,0.0612424045744338,-4.61909573431256,3.8541601298019e-06,1.592687397184e-05
