"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fdxacb1",117.926379620945,0.0350624437127141,0.0697024552917442,0.503030252893645,0.61494300235534,0.882101549995792
"Mrpl52",941.24545141769,0.0275030377243081,0.0507120848899256,0.542336955461513,0.587586401760741,0.872139431113033
"Rrlt",7.87704393658935,-0.19141326171083,0.240456903458091,-0.796039784918012,0.426008911365652,0.792752322953743
"Ensa",1025.18786341682,-0.0190146834791239,0.0359425053737048,-0.52903055258454,0.596784255645261,0.875353260751287
"Tpm1",3524.49551453814,0.0227873746681532,0.0735428254663131,0.309851770361899,0.756673680575358,0.934095825832092
"Efhd2",1665.58435749899,-0.16251195694191,0.0599727172482697,-2.70976477969404,0.00673309393212901,0.151350675580157
"Aaas",238.427631539091,-0.0423523515424246,0.0756460386919041,-0.55987533881212,0.575564471012163,0.867118717315162
"Ubl4a",458.778265741797,-0.0146602918860421,0.0376120766669093,-0.389776188533086,0.696702052740437,0.915588284460349
"Otub1",1831.30295300683,0.00932213831523462,0.0418452576121779,0.222776458962979,0.823709490630496,0.953491785343208
"Bach1",89.5841559332886,0.00292269910706232,0.11529676502507,0.0253493591639524,0.979776303644236,0.994576425878797
"Xcr1",1.37690434986778,-0.0231041579694145,0.439223922161753,-0.0526022304425075,0.958048839796964,NA
"Csf3",127.729111195908,-0.209414754918945,0.184377508951289,-1.13579338450804,0.256043046410027,0.679068661858475
"Eloa",1190.47570419437,-0.0113382502478788,0.0578166150113411,-0.196107126742974,0.844526318235004,0.958198381620188
"Cox4i1",1339.40294444509,0.0292907509164767,0.0467721076553762,0.626243981397958,0.531154923335866,0.845440850903705
"Arg1",811.615859350217,-0.0601152983639799,0.153203071528028,-0.392389641828962,0.694770338276848,0.915251670910704
"Thbs4",3.55993922513631,-0.133861861467665,0.528161423963648,-0.25344876659693,0.799921447173475,NA
"Rcn2",1679.35252839435,-0.0413701557838236,0.0573554445473495,-0.721294309726265,0.470728457225492,0.813766085623269
"Neu2",28.744884829458,0.164052228229514,0.246901128421038,0.664445032222604,0.506405518952792,0.831563396519638
"Inhba",56.4632589994809,0.168469834827657,0.285406178683049,0.590280965902799,0.555002298162881,0.855876977534359
"Fdx1",483.515379553395,-0.0234357174968037,0.0468476636978211,-0.500253708444669,0.616896444891326,0.883388802536505
"Cd63",10909.6064888042,0.078361666861763,0.0883003874742823,0.887444201585028,0.374839794811016,0.765746951448745
"Vdr",406.653714557103,-0.0128482109806672,0.0906296469332002,-0.141766093275605,0.88726476716124,0.970673021801059
"Tbxa2r",25.0284064412855,0.202755365504764,0.195901042218027,1.03498870250577,0.300674187274777,0.714990868630198
"Cd37",40.4578610796097,-0.516582942387672,0.230355421373086,-2.24254736141421,0.0249260179227416,0.270941021717629
"Areg",10558.2542242455,0.0921616084241055,0.102396248498767,0.900048681228931,0.368094344547117,0.7601490481273
"Casp12",180.209652933743,-0.0505792039405064,0.104252860988407,-0.485158905577958,0.627563629919093,0.887815294099062
"Anxa7",1243.66650786729,-0.0793706811716384,0.0330244119279579,-2.40339423287185,0.0162436651674725,0.226176639457777
"Slco1a2",2.62660493249569,0.5319825900993,0.391559667473847,1.35862458340358,0.174265581098025,NA
"Lonp1",800.863264204086,-0.0599738795695648,0.0568212275104025,-1.05548370208273,0.291204159497217,0.70722058290286
"Naa35",466.273964328149,-0.0881260894874542,0.0445849535280312,-1.97658812029596,0.0480882060663525,0.353692677491792
"Atp2b3",10.3432691473075,0.221265656182852,0.287054728171646,0.770813487700315,0.440817491468526,0.799286293034867
"Asb1",26.8391115534555,0.092324659898552,0.101675118472572,0.908035921526443,0.363859243338712,0.757633423606541
"Fgfr2",2558.34827503548,-0.486352082011038,0.108310089826994,-4.49036726668675,7.11004710770912e-06,0.00641216863775244
"Brsk1",14.869208305193,0.269007932199211,0.146642517778433,1.83444703674322,0.0665876628760778,0.407103685454855
"Preb",603.867185284837,0.0292866276202191,0.0436834407870256,0.670428590160816,0.502584614219965,0.829700407552507
"Cldn15",3.15358978645902,0.109384277473654,0.308848126896655,0.354168498843626,0.723212609796903,NA
"Fgd3",9.04915201270907,-0.238475935960957,0.313295643877695,-0.761184972153822,0.446546592933275,0.802457727763017
"Pbx4",4.99201566299045,0.504129532712866,0.41907500456784,1.20295776941585,0.228992663136037,0.652732062893244
"B4galt5",133.251006830556,0.25208210693317,0.16428515913435,1.53441800988866,0.124926849722703,0.517935395586624
"Polr3f",132.61561963038,-0.0342436574598418,0.0670784541730813,-0.510501589250752,0.60970010147067,0.880261005234755
"Smc2",290.160183481499,-0.169036414382221,0.0838122774476916,-2.01684549722108,0.0437116393004364,0.340134283643536
"Ephx3",16.3320793001726,-0.00475478234602971,0.244294760698188,-0.0194633005326871,0.984471513425948,0.995510221792819
"Cbfa2t3",9.21669214759662,-0.0643254381632036,0.292090049343554,-0.220224681764303,0.825696175182575,0.953834068168342
"Plec",1618.83155047821,0.0411545305688395,0.0696821616011648,0.590603529270418,0.554786099606848,0.855876977534359
"Strn4",1059.12810625827,0.0453358216776746,0.0493938513966202,0.917843423741943,0.358700844741482,0.754062883942825
"Hmg20a",387.657915570576,-0.0190773356802458,0.0671580724061974,-0.284066159088946,0.776359680256245,0.93874184110192
"Smim22",1252.21519305972,0.128318650722764,0.0789461290631067,1.62539509214177,0.104078400986156,0.477953455997531
"Samd3",2.63764933784421,-0.286852979316659,0.381000870454838,-0.752893238732536,0.451514071426829,NA
"Ube2s",1293.65572510833,-0.0841200494098239,0.0465682642900809,-1.8063814636901,0.070858774942572,0.415444907680657
"Prpf31",142.215953255991,-0.0173147715718965,0.063506080417248,-0.272647460812177,0.785124225117346,0.940709268619754
"Mrpl51",303.493670501769,-0.00836687133577244,0.0641905277082336,-0.130344330144823,0.896294008822922,0.972213224540996
"Fam185a",42.9267951916646,0.149706478817915,0.174838657383911,0.85625502424895,0.391856732874932,0.778797819329667
"Msmo1",737.376808936783,-0.174952031319482,0.0759733187734477,-2.30280885637217,0.0212896000150283,0.25614164214135
"Tcta",748.853233827136,0.0117369185491218,0.0483503575134747,0.242747296043278,0.808201166083203,0.948518399797604
"Dgka",1099.41358885718,0.213036642379384,0.0574681532332116,3.70703825325411,0.000209697278338572,0.0303517393980422
"LOC361985",865.564660458004,0.0010061154473762,0.0357539806967929,0.0281399561047044,0.977550526317445,0.994483867427539
