"","10R_BL_Ep","11L_B_Ep","11N_D_Ep","11R_D_Ep","11R_C_Ep","14N_C_Ep","14R_B_Ep","16L_C_Ep","17N_D_Ep","3R_C_Ep"
"Fgfr2",9.67171972306473,10.9443050094714,12.0991135906002,11.5289451157997,10.5071723747203,10.0389974516383,9.84399201540749,12.2511112494679,12.9558906227576,9.658264906431
"Setd7",8.70834516854258,8.70895757086062,8.2648279196998,8.65419866318439,9.61693761078584,7.79584614348622,8.71138744679423,7.79648358427816,7.69242011019536,7.82395774299405
"Hspa1l",6.966615417014,10.7816207315316,6.81270705058267,7.44846628187598,10.5985867638371,6.87205054151778,6.90201258862799,7.36237056435738,7.18490934219524,7.03132051219757
"Hbb",7.70918867227707,6.58678858700649,6.36105467954181,10.9878806764114,9.52236660849304,6.49363734373297,9.25110319359529,6.36105467954181,6.68543109459792,7.33552979329425
"Kifc2",8.77267874974818,9.01206196366661,7.86323678628291,8.95699776899971,9.51290663913456,8.11691939829849,8.38900733934424,7.59758484197105,7.76585757582212,8.42385934994642
"Mx1",7.45530668268158,7.5049954506552,9.15348015963669,8.01102591596942,7.62325363968104,8.14430806654533,7.12173229516054,7.15176315731772,9.45762480158579,7.11787790538493
"Kmt5c",9.05005557046352,9.31688046664716,7.61296972754947,8.56642728479194,8.91653149988114,7.74777463040723,8.54830186943716,7.82703426765614,7.68548449681646,8.19575936417806
"Pik3c2b",8.99251430875954,8.9529935904277,7.39683008660386,8.57339032078994,8.845392291291,8.15585990679393,8.12156480010862,7.7279843711879,7.27645204725527,8.31358738058137
"Lmntd2",8.19907831961734,8.7885004346555,6.90290233056883,8.47236391838744,8.38644179978119,7.34330234342242,8.50007893970227,7.86094875284636,7.42466260823456,8.39331306058155
"Nsmf",13.2144534771511,13.4921154567267,10.3157627058703,12.2026639211937,11.7843437628521,12.2398831375409,12.8951671004966,10.095051711043,10.4876297438679,13.0108674563473
"Nrbp2",10.1137877880575,10.4256742011697,8.78318623716032,10.2381400153999,10.360708383051,9.16926391268585,10.1972064052969,8.95354203837639,8.86219300974893,10.3531279605629
"LOC100134871",7.18510550024169,6.36105467954181,6.36105467954181,9.46438119582449,9.03357282618542,6.49363734373297,8.51635201803383,6.36105467954181,6.56646719159591,6.86571049424998
"Hsp90aa1",6.73357588828314,11.8099971932191,6.57464105834681,6.57126935404717,11.821726657578,6.36105467954181,6.67459235030603,6.76468629787591,6.65130751379766,6.53003562449425
