"","10L_C_DN","10R_BL_DN","11L_B_DN","11R_D_DN","11R_C_DN","12L_D_DN","14N_C_DN","14N_D_DN","14R_B_DN","15L_B_DN","15N_C_DN","16L_C_DN","16L_D_DN","16R_D_DN","17N_D_DN","17N_A_DN","2N__DN","2R_A_DN","2R_C_DN","3L_D_DN","3L_A_DN","3N_B_DN","3R_C_DN","3R_B_DN","4N_C_DN","6R_B_DN","6R_D_DN","8R_CU_DN","8R_CL_DN","9L_A_DN"
"10L_C_DN",1,0.818167678483508,0.807190487150094,0.894263713556097,0.852679396735199,0.880829165670865,0.850009320718492,0.827953630308135,0.825239395266483,0.942529310690803,0.83753365202718,0.877529006662193,0.8069633201331,0.74702835564134,0.819772485293819,0.764539510842043,0.890916094894594,0.915640481398479,0.908048745261199,0.871804682338812,0.904064337873794,0.87364763481783,0.921832275913368,0.909228160901618,0.838213123789864,0.912723256386164,0.944502341669997,0.809439939785755,0.780985983376943,0.778553186164032
"10R_BL_DN",0.818167678483508,1,0.928279480209079,0.937068670813469,0.919787476916209,0.902347766543279,0.921716015624896,0.928119916297042,0.936051295387429,0.869994003006667,0.923879693475024,0.890625831847772,0.954616612982896,0.943876620439491,0.923462687684078,0.93367334658117,0.863502311443187,0.854476228487023,0.850015093273625,0.739889643939302,0.88937444540567,0.909010974632857,0.863979642047939,0.884393372290329,0.92851395707923,0.8325612889872,0.835149974010698,0.939396729118226,0.928119436747009,0.939347361089108
"11L_B_DN",0.807190487150094,0.928279480209079,1,0.906848477500108,0.908981812401991,0.898762126516125,0.951421815630769,0.949553531474454,0.968370466237638,0.889664589480017,0.935431071719453,0.934636544304214,0.953340878522507,0.927856022874113,0.95237857344393,0.962002137813944,0.886914357708176,0.866474108347829,0.884153014144971,0.719791546500599,0.902522134739462,0.91709435621783,0.891000919384618,0.907903643862132,0.930709094103524,0.866030605922793,0.839725394300571,0.959442209016865,0.936883991529103,0.934264495404761
"11R_D_DN",0.894263713556097,0.937068670813469,0.906848477500108,1,0.938955370903477,0.921173825023281,0.920609988991192,0.916888532183094,0.91448212187278,0.915358128519637,0.91580748842194,0.927323952090179,0.936617993081112,0.88722650425868,0.908032635895139,0.897342527557496,0.888640353025344,0.903527331429738,0.910849317666168,0.801604053193381,0.948588558460308,0.921145891853887,0.930895018310275,0.927381713718309,0.921527187044319,0.875585785798135,0.882032697528981,0.917718908964932,0.897582451672815,0.904377805686002
"11R_C_DN",0.852679396735199,0.919787476916209,0.908981812401991,0.938955370903477,1,0.953984360418156,0.938837405044104,0.941158049345657,0.924033387385292,0.88003490750048,0.942398977624765,0.926351637886037,0.949640131143599,0.909483782313306,0.938125177816325,0.920381297011393,0.860616126023388,0.915221120629069,0.897939022591986,0.798585224139564,0.919750137303316,0.928670437857971,0.914115717788892,0.914024243228468,0.942010263503219,0.865629362925493,0.862837560778975,0.935685943557466,0.930708857055908,0.905764158117843
"12L_D_DN",0.880829165670865,0.902347766543279,0.898762126516125,0.921173825023281,0.953984360418156,1,0.944295178629591,0.933281701861432,0.916024236009108,0.898741060012925,0.906852006895755,0.914567419628251,0.924881986051978,0.885973424053666,0.933503788227472,0.891822944635511,0.868994952120369,0.938799039862607,0.914340318090437,0.783472856067558,0.919738799629341,0.933936911513249,0.934064479468602,0.929232316492761,0.943186762092297,0.899656118407627,0.905797590416038,0.913673626906757,0.920042384746844,0.88627319616947
"14N_C_DN",0.850009320718492,0.921716015624896,0.951421815630769,0.920609988991192,0.938837405044104,0.944295178629591,1,0.9692725263721,0.960384217811564,0.911766125735728,0.929594726440148,0.942814642727669,0.951594485854868,0.92384579941377,0.964332842128571,0.947340665725947,0.875839700874231,0.903303313297612,0.911914940721184,0.735976225786116,0.924384987568161,0.927489907604913,0.924029513045278,0.924364538674811,0.94418899524587,0.878830384257682,0.87832882213077,0.948269528029482,0.939974593121322,0.929400336432995
"14N_D_DN",0.827953630308135,0.928119916297042,0.949553531474454,0.916888532183094,0.941158049345657,0.933281701861432,0.9692725263721,1,0.963569712086214,0.901993109665131,0.946646687340949,0.935145152446807,0.953950332387004,0.941164594109408,0.971730231828679,0.953919059133212,0.870271881030421,0.88515499409492,0.895071898885368,0.717917451566202,0.903801499230873,0.917235366752168,0.898184669119396,0.895409790166261,0.950153395310923,0.858674134062768,0.861152869500054,0.960041928858311,0.965268853980094,0.943598593133155
"14R_B_DN",0.825239395266483,0.936051295387429,0.968370466237638,0.91448212187278,0.924033387385292,0.916024236009108,0.960384217811564,0.963569712086214,1,0.90228833068255,0.948222332784413,0.929065768217922,0.958962713259729,0.945057671480131,0.963089237933078,0.96219533817946,0.884173476639621,0.875781932334175,0.889516449904479,0.714871571078634,0.907902509080001,0.926660369364386,0.895694256300878,0.906654153215055,0.949497289812207,0.871734609210642,0.860344782144383,0.970530568368783,0.952881693150533,0.949534548517078
"15L_B_DN",0.942529310690803,0.869994003006667,0.889664589480017,0.915358128519637,0.88003490750048,0.898741060012925,0.911766125735728,0.901993109665131,0.90228833068255,1,0.899383446044797,0.931676884688163,0.866277233716869,0.825713562461304,0.89264251689953,0.851601169435676,0.921432783344939,0.905250830007679,0.929318692849539,0.808293040175848,0.92056270647344,0.908039007159062,0.924216096552075,0.918851563145576,0.894186785602827,0.923904505131255,0.939199331607856,0.884283677434773,0.857383956458844,0.861827575107302
