"","count","cohort"
"1",2,"latency-4"
"2",1,"latency-4"
"3",2,"latency-4"
"4",4,"latency-4"
"5",3,"latency-4"
"6",2,"latency-4"
"7",5,"latency-4"
"8",2,"latency-4"
"9",1,"latency-4"
"10",1,"latency-4"
"11",2,"latency-4"
"12",1,"latency-4"
"13",1,"latency-4"
"14",1,"latency-4"
"15",1,"latency-4"
"16",1,"latency-4"
"17",2,"latency-4"
"18",1,"latency-4"
"19",1,"latency-4"
"20",1,"latency-4"
"21",1,"latency-4"
"22",1,"latency-4"
"23",2,"latency-4"
"24",1,"latency-4"
"25",1,"latency-4"
"26",1,"latency-4"
"27",1,"latency-4"
"28",1,"latency-4"
"29",1,"latency-4"
"30",1,"cohort-2"
"31",1,"penetrance-3"
"32",1,"cohort-2"
"33",2,"penetrance-3"
"34",8,"penetrance-3"
"35",1,"penetrance-3"
"36",1,"cohort-2"
"37",1,"cohort-2"
"38",2,"penetrance-3"
"39",2,"penetrance-3"
"40",2,"penetrance-3"
"41",4,"penetrance-3"
"42",2,"penetrance-3"
"43",1,"penetrance-3"
