"","V1","V2","V3"
"1","87","6","latency-4"
"2","87","35","latency-4"
"3","87","5","latency-4"
"4","87","19","latency-4"
"5","87","8","latency-4"
"6","87","21","latency-4"
"7","87","10","latency-4"
"8","87","3","latency-4"
"9","87","3","latency-4"
"10","87","5","latency-4"
"11","87","2","latency-4"
"12","87","6","latency-4"
"13","87","3","latency-4"
"14","87","3","latency-4"
"15","87","25","latency-4"
"16","87","1","latency-4"
"17","87","2","latency-4"
"18","87","2","latency-4"
"19","87","2","latency-4"
"20","87","7","latency-4"
"21","87","6","latency-4"
"22","87","9","latency-4"
"23","88","10","cohort-2"
"24","61","4","penetrance-3"
"25","197","10","cohort-2"
"26","110","12","penetrance-3"
"27","61","6","penetrance-3"
"28","160","8","penetrance-3"
"29","160","14","penetrance-3"
"30","160","5","penetrance-3"
"31","160","4","penetrance-3"
"32","160","20","penetrance-3"
"33","160","8","penetrance-3"
"34","160","7","penetrance-3"
"35","160","20","penetrance-3"
"36","160","6","penetrance-3"
"37","88","10","cohort-2"
"38","91","10","cohort-2"
"39","54","4","penetrance-3"
"40","54","1.5","penetrance-3"
"41","54","3","penetrance-3"
"42","54","4","penetrance-3"
"43","55","1","penetrance-3"
"44","55","6","penetrance-3"
"45","55","2","penetrance-3"
"46","55","1","penetrance-3"
"47","55","2","penetrance-3"
"48","55","4","penetrance-3"
"49","59","1","penetrance-3"
"50","59","5","penetrance-3"
"51","59","5","penetrance-3"
"52","87","16","latency-4"
"53","87","9","latency-4"
"54","87","1","latency-4"
"55","87","13","latency-4"
"56","87","10","latency-4"
"57","87","9","latency-4"
"58","87","10","latency-4"
"59","87","17","latency-4"
"60","87","10","latency-4"
"61","87","9","latency-4"
"62","87","30","latency-4"
"63","87","30","latency-4"
"64","87","25","latency-4"
"65","87","10","latency-4"
"66","87","10","latency-4"
"67","87","20","latency-4"
"68","87","3","latency-4"
"69","87","40","latency-4"
"70","87","12","latency-4"
"71","87","30","latency-4"
"72","87","20","latency-4"
"73","87","20","latency-4"
"74","87","17","latency-4"
