"","ind","ID2","cohort","variable","value","size2"
"1","C2R3-tumor","C3T3","latency-4","NCodingMut",463,3
"2","NMU5-tumor-LA","C15T1","penetrance-3","NCodingMut",592,3
"3","NMU9-tumor-LL","C19T1","penetrance-3","NCodingMut",542,5
"4","C1R-tumor","C1T1","latency-4","NCodingMut",577,6
"5","NMU12-tumor-RL","C9T2","penetrance-3","NCodingMut",794,6
"6","NMU14-tumor","C11T1","penetrance-3","NCodingMut",507,6
"7","NMU13-tumor-RLL","C10T7","penetrance-3","NCodingMut",534,7
"8","NMU13-tumor-LAL","C10T1","penetrance-3","NCodingMut",504,8
"9","NMU13-tumor-RAU","C10T6","penetrance-3","NCodingMut",610,8
"10","D16N-tumor","C22T1","additional-wgs","NCodingMut",722,9
"11","C2R2-tumor","C3T2","latency-4","NCodingMut",334,10
"12","D16N2-tumor","C22T2","additional-wgs","NCodingMut",471,10
"13","D16P-tumor","C23T1","additional-wgs","NCodingMut",399,10
"14","D2N-tumor","C26T1","additional-wgs","NCodingMut",519,10
"15","D3N-tumor","C27T1","additional-wgs","NCodingMut",492,10
"16","NMU1-tumor","C6T1","cohort-2","NCodingMut",815,10
"17","NMU2-tumor","C12T1","cohort-2","NCodingMut",404,10
"18","NMU12-tumor-LA","C9T1","penetrance-3","NCodingMut",561,12
"19","D14R-tumor","C21T1","additional-wgs","NCodingMut",648,13
"20","D11N-tumor","C20T1","additional-wgs","NCodingMut",671,16
"21","D16N3-tumor","C22T3","additional-wgs","NCodingMut",473,17
"22","D9R-tumor","C31T1","additional-wgs","NCodingMut",326,17
"23","C2N-tumor","C2T1","latency-4","NCodingMut",400,19
"24","D3R-tumor","C28T1","additional-wgs","NCodingMut",561,20
"25","D9N1-tumor","C30T2","additional-wgs","NCodingMut",578,20
"26","D9N2-tumor","C30T3","additional-wgs","NCodingMut",507,20
"27","C2R1-tumor","C3T1","latency-4","NCodingMut",416,21
"28","C4P-tumor","C4T1","latency-4","NCodingMut",564,25
