"","id","variable","value"
"1","BRCA::C1R-tumor","SBS1",0.0642825431695256
"2","BRCA::C2N-tumor","SBS1",0.0654470482441551
"3","BRCA::C2R1-tumor","SBS1",0.0614198002185886
"4","BRCA::C2R2-tumor","SBS1",0.074521386647322
"5","BRCA::C2R3-tumor","SBS1",0.0695630022061966
"6","BRCA::C4P-tumor","SBS1",0.0673846361190812
"7","BRCA::D11N-tumor","SBS1",0.0666040330319364
"8","BRCA::D14R-tumor","SBS1",0.0643788433899924
"9","BRCA::D16N-tumor","SBS1",0.0625908753180063
"10","BRCA::D16N2-tumor","SBS1",0.0629315822227417
"11","BRCA::D16N3-tumor","SBS1",0.0607576890609405
"12","BRCA::D16P-tumor","SBS1",0.0628269375639094
"13","BRCA::D17N-tumor","SBS1",0.0704259909933339
"14","BRCA::D18N-tumor","SBS1",0.0769255846223331
"15","BRCA::D2N-tumor","SBS1",0.0683908350405147
"16","BRCA::D3N-tumor","SBS1",0.0726606495540351
"17","BRCA::D3R-tumor","SBS1",0.0617229751660837
"18","BRCA::D4R-tumor","SBS1",0.0654439761730798
"19","BRCA::D9N1-tumor","SBS1",0.0684200524396349
"20","BRCA::D9N2-tumor","SBS1",0.0648363997428306
"21","BRCA::D9R-tumor","SBS1",0.0805448116726075
"22","BRCA::NMU1-tumor","SBS1",0.0587599199338746
"23","BRCA::NMU12-tumor-LA","SBS1",0.0547580462483914
"24","BRCA::NMU12-tumor-RL","SBS1",0.0554851257078672
"25","BRCA::NMU13-tumor-LAL","SBS1",0.0577695390609377
"26","BRCA::NMU13-tumor-RAU","SBS1",0.0634975661590698
"27","BRCA::NMU13-tumor-RLL","SBS1",0.068775201594089
"28","BRCA::NMU14-tumor","SBS1",0.0725045768327102
"29","BRCA::NMU2-tumor","SBS1",0.0708486570329602
"30","BRCA::NMU5-tumor-LA","SBS1",0.0685849054285817
"31","BRCA::NMU9-tumor-LL","SBS1",0.0606758224297773
"32","BRCA::C1R-tumor","SBS5",0.786232314353919
"33","BRCA::C2N-tumor","SBS5",0.840701450426771
"34","BRCA::C2R1-tumor","SBS5",0.810863784460915
"35","BRCA::C2R2-tumor","SBS5",0.925473472599655
"36","BRCA::C2R3-tumor","SBS5",0.815391403584523
"37","BRCA::C4P-tumor","SBS5",0.839214174397265
"38","BRCA::D11N-tumor","SBS5",0.799738839679254
"39","BRCA::D14R-tumor","SBS5",0.768909803889535
"40","BRCA::D16N-tumor","SBS5",0.75127442718859
"41","BRCA::D16N2-tumor","SBS5",0.810052697957114
"42","BRCA::D16N3-tumor","SBS5",0.802726506620337
"43","BRCA::D16P-tumor","SBS5",0.828210077871481
"44","BRCA::D17N-tumor","SBS5",0.782602322606825
