"","C2T1","C5T1","C3T1","C9T1","C10T2","C10T6","C10T4","C7T1","C17T4","NA","C11T1"
"C2T1",1,0.886438787139744,0.883105259875381,0.86016795320089,0.812815260891254,0.834013606120643,0.821296890279013,0.857082464868728,0.851224735931659,0.858954751468893,0.855011897433589
"C5T1",0.886438787139744,1,0.910119629811224,0.877834565715566,0.853147119231514,0.872589311437892,0.849431705952026,0.885412700720323,0.889558209578732,0.875919124693579,0.879960786713439
"C3T1",0.883105259875381,0.910119629811224,1,0.870297532229609,0.866410780115563,0.885066251112057,0.854714450387005,0.884858414183717,0.894682173264803,0.87885517691758,0.884586485399448
"C9T1",0.86016795320089,0.877834565715566,0.870297532229609,1,0.892566478122439,0.908938925494016,0.88799016888532,0.909416342257375,0.922087749343425,0.913781643165586,0.913195437965103
"C10T2",0.812815260891254,0.853147119231514,0.866410780115563,0.892566478122439,1,0.945022434667276,0.901128890649702,0.907868672946325,0.929880214857208,0.910489502241946,0.928733537417027
"C10T6",0.834013606120643,0.872589311437892,0.885066251112057,0.908938925494016,0.945022434667276,1,0.923713476225727,0.929091565212938,0.949758977699818,0.935741960692738,0.953597948875075
"C10T4",0.821296890279013,0.849431705952026,0.854714450387005,0.88799016888532,0.901128890649702,0.923713476225727,1,0.92550434084924,0.922838950565377,0.934058901397643,0.94165952987018
"C7T1",0.857082464868728,0.885412700720323,0.884858414183717,0.909416342257375,0.907868672946325,0.929091565212938,0.92550434084924,1,0.96070985652464,0.962442867395408,0.957312467590933
"C17T4",0.851224735931659,0.889558209578732,0.894682173264803,0.922087749343425,0.929880214857208,0.949758977699818,0.922838950565377,0.96070985652464,1,0.957359124343784,0.961542965192124
"NA",0.858954751468893,0.875919124693579,0.87885517691758,0.913781643165586,0.910489502241946,0.935741960692738,0.934058901397643,0.962442867395408,0.957359124343784,1,0.971450648852952
"C11T1",0.855011897433589,0.879960786713439,0.884586485399448,0.913195437965103,0.928733537417027,0.953597948875075,0.94165952987018,0.957312467590933,0.961542965192124,0.971450648852952,1
