"","Tumor.Growth","Treatment","variable","value"
"1","growing","PDL1","DN.Frac.FACS",75.7
"2","growing","PDL1","DN.Frac.FACS",35.6
"3","stable","PDL1","DN.Frac.FACS",39
"7","growing","PDL1","DN.Frac.FACS",19.4
"10","growing","PDL1","DN.Frac.FACS",46.9
"11","stable","PDL1","DN.Frac.FACS",13.2
"12","growing","PDL1","DN.Frac.FACS",32.5
"15","stable","PDL1","DN.Frac.FACS",52
"16","growing","Vehicle","DN.Frac.FACS",36.3
"18","stable","PDL1+LY","DN.Frac.FACS",32.6
"20","growing","PDL1+LY","DN.Frac.FACS",52.8
"21","growing","PDL1+LY","DN.Frac.FACS",19.9
"22","stable","PDL1+LY","DN.Frac.FACS",50.1
"23","stable","PDL1+LY","DN.Frac.FACS",49
"24","growing","PDL1+LY","DN.Frac.FACS",38.8
"26","growing","PDL1+LY","DN.Frac.FACS",32.7
"27","growing","PDL1+LY","DN.Frac.FACS",39.9
"28","growing","PDL1+LY","DN.Frac.FACS",65.1
"30","growing","PDL1+LY","DN.Frac.FACS",42
"32","stable","PDL1+LY","DN.Frac.FACS",23.1
"33","stable","PDL1+LY","DN.Frac.FACS",27.1
"35","growing","PDL1","DN.Frac.FACS",47.7
"37","growing","Vehicle","DN.Frac.FACS",29.3
"39","stable","Vehicle","DN.Frac.FACS",46.3
"40","growing","Vehicle","DN.Frac.FACS",18.4
"45","growing","Vehicle","DN.Frac.FACS",61.6
"46","growing","Vehicle","DN.Frac.FACS",21.9
"47","growing","Vehicle","DN.Frac.FACS",19.2
"49","growing","Vehicle","DN.Frac.FACS",80.9
"50","growing","Vehicle","DN.Frac.FACS",69.6
"51","stable","Vehicle","DN.Frac.FACS",44.5
"53","growing","Vehicle","DN.Frac.FACS",65.2
"54","growing","Vehicle","DN.Frac.FACS",40.2
"55","growing","Vehicle","DN.Frac.FACS",11.5
"56","growing","Vehicle","DN.Frac.FACS",41.3
"64","growing","Vehicle","DN.Frac.FACS",24.1
"65","growing","Vehicle","DN.Frac.FACS",20.2
"67","growing","LY","DN.Frac.FACS",34.1
"68","growing","LY","DN.Frac.FACS",41
"69","growing","LY","DN.Frac.FACS",31.1
"70","growing","LY","DN.Frac.FACS",63.7
"71","stable","LY","DN.Frac.FACS",11.1
"72","growing","LY","DN.Frac.FACS",72.3
"74","growing","LY","DN.Frac.FACS",33.2
"75","growing","LY","DN.Frac.FACS",49.4
"76","growing","LY","DN.Frac.FACS",40
"81","stable","LY","DN.Frac.FACS",43.4
"82","growing","LY","DN.Frac.FACS",32.3
"83","growing","LY","DN.Frac.FACS",29.7
"84","growing","PDL1+LY","DN.Frac.FACS",21
"85","growing","PDL1+LY","DN.Frac.FACS",15.7
"164","growing","PDL1","CD45.Frac.FACS",15.2
"165","growing","PDL1","CD45.Frac.FACS",51.4
"166","stable","PDL1","CD45.Frac.FACS",49.8
"170","growing","PDL1","CD45.Frac.FACS",14.5
"173","growing","PDL1","CD45.Frac.FACS",37.3
"174","stable","PDL1","CD45.Frac.FACS",70.3
"175","growing","PDL1","CD45.Frac.FACS",23.8
"178","stable","PDL1","CD45.Frac.FACS",11.2
"179","growing","Vehicle","CD45.Frac.FACS",18.4
"181","stable","PDL1+LY","CD45.Frac.FACS",12.1
"183","growing","PDL1+LY","CD45.Frac.FACS",9.74
"184","growing","PDL1+LY","CD45.Frac.FACS",19.6
"185","stable","PDL1+LY","CD45.Frac.FACS",36.9
"186","stable","PDL1+LY","CD45.Frac.FACS",25.3
"187","growing","PDL1+LY","CD45.Frac.FACS",6.16
"189","growing","PDL1+LY","CD45.Frac.FACS",45.5
"190","growing","PDL1+LY","CD45.Frac.FACS",14.8
"191","growing","PDL1+LY","CD45.Frac.FACS",7.25
"193","growing","PDL1+LY","CD45.Frac.FACS",27.4
"195","stable","PDL1+LY","CD45.Frac.FACS",61.7
"196","stable","PDL1+LY","CD45.Frac.FACS",40.5
"198","growing","PDL1","CD45.Frac.FACS",9.83
"200","growing","Vehicle","CD45.Frac.FACS",20.4
"202","stable","Vehicle","CD45.Frac.FACS",6.88
"203","growing","Vehicle","CD45.Frac.FACS",4.35
"208","growing","Vehicle","CD45.Frac.FACS",21.8
"209","growing","Vehicle","CD45.Frac.FACS",70.7
"210","growing","Vehicle","CD45.Frac.FACS",73.5
"212","growing","Vehicle","CD45.Frac.FACS",12.5
"213","growing","Vehicle","CD45.Frac.FACS",26.2
"214","stable","Vehicle","CD45.Frac.FACS",24.4
"216","growing","Vehicle","CD45.Frac.FACS",29.7
"217","growing","Vehicle","CD45.Frac.FACS",39.4
"218","growing","Vehicle","CD45.Frac.FACS",1.64
"219","growing","Vehicle","CD45.Frac.FACS",4.86
"227","growing","Vehicle","CD45.Frac.FACS",31
"228","growing","Vehicle","CD45.Frac.FACS",8.93
"230","growing","LY","CD45.Frac.FACS",12.3
"231","growing","LY","CD45.Frac.FACS",6.85
"232","growing","LY","CD45.Frac.FACS",61.1
"233","growing","LY","CD45.Frac.FACS",27.2
"234","stable","LY","CD45.Frac.FACS",80.8
"235","growing","LY","CD45.Frac.FACS",4.66
"237","growing","LY","CD45.Frac.FACS",23.7
"238","growing","LY","CD45.Frac.FACS",30.4
"239","growing","LY","CD45.Frac.FACS",13.2
"244","stable","LY","CD45.Frac.FACS",34.6
"245","growing","LY","CD45.Frac.FACS",31.8
"246","growing","LY","CD45.Frac.FACS",9.79
"247","growing","PDL1+LY","CD45.Frac.FACS",13
"248","growing","PDL1+LY","CD45.Frac.FACS",15.8
"327","growing","PDL1","EpCAM.Frac.FACS",8.59
"328","growing","PDL1","EpCAM.Frac.FACS",12
"329","stable","PDL1","EpCAM.Frac.FACS",13.5
"333","growing","PDL1","EpCAM.Frac.FACS",66.6
"336","growing","PDL1","EpCAM.Frac.FACS",11.6
"337","stable","PDL1","EpCAM.Frac.FACS",10.4
"338","growing","PDL1","EpCAM.Frac.FACS",42.3
"341","stable","PDL1","EpCAM.Frac.FACS",32.9
"342","growing","Vehicle","EpCAM.Frac.FACS",37.7
"344","stable","PDL1+LY","EpCAM.Frac.FACS",30
"346","growing","PDL1+LY","EpCAM.Frac.FACS",38
"347","growing","PDL1+LY","EpCAM.Frac.FACS",59.7
"348","stable","PDL1+LY","EpCAM.Frac.FACS",11.3
"349","stable","PDL1+LY","EpCAM.Frac.FACS",24.8
"350","growing","PDL1+LY","EpCAM.Frac.FACS",50.4
"352","growing","PDL1+LY","EpCAM.Frac.FACS",18.7
"353","growing","PDL1+LY","EpCAM.Frac.FACS",44
"354","growing","PDL1+LY","EpCAM.Frac.FACS",26.3
"356","growing","PDL1+LY","EpCAM.Frac.FACS",29.8
"358","stable","PDL1+LY","EpCAM.Frac.FACS",13.7
"359","stable","PDL1+LY","EpCAM.Frac.FACS",30.7
"361","growing","PDL1","EpCAM.Frac.FACS",36.3
"363","growing","Vehicle","EpCAM.Frac.FACS",50
"365","stable","Vehicle","EpCAM.Frac.FACS",44.8
"366","growing","Vehicle","EpCAM.Frac.FACS",67.1
"371","growing","Vehicle","EpCAM.Frac.FACS",16.6
"372","growing","Vehicle","EpCAM.Frac.FACS",6.23
"373","growing","Vehicle","EpCAM.Frac.FACS",5.23
"375","growing","Vehicle","EpCAM.Frac.FACS",4.21
"376","growing","Vehicle","EpCAM.Frac.FACS",2.55
"377","stable","Vehicle","EpCAM.Frac.FACS",25.3
"379","growing","Vehicle","EpCAM.Frac.FACS",3.17
"380","growing","Vehicle","EpCAM.Frac.FACS",17
"381","growing","Vehicle","EpCAM.Frac.FACS",81.6
"382","growing","Vehicle","EpCAM.Frac.FACS",51.2
"390","growing","Vehicle","EpCAM.Frac.FACS",42.2
"391","growing","Vehicle","EpCAM.Frac.FACS",65.3
"393","growing","LY","EpCAM.Frac.FACS",46.6
"394","growing","LY","EpCAM.Frac.FACS",54.1
"395","growing","LY","EpCAM.Frac.FACS",6.12
"396","growing","LY","EpCAM.Frac.FACS",11.9
"397","stable","LY","EpCAM.Frac.FACS",6.61
"398","growing","LY","EpCAM.Frac.FACS",20.7
"400","growing","LY","EpCAM.Frac.FACS",40
"401","growing","LY","EpCAM.Frac.FACS",14.9
"402","growing","LY","EpCAM.Frac.FACS",43.5
"407","stable","LY","EpCAM.Frac.FACS",16.5
"408","growing","LY","EpCAM.Frac.FACS",29.8
"409","growing","LY","EpCAM.Frac.FACS",55.7
"410","growing","PDL1+LY","EpCAM.Frac.FACS",61.1
"411","growing","PDL1+LY","EpCAM.Frac.FACS",57.4
