"","PC1","PC2","group","Growth","Fraction","name","sample"
"10L_D_CD45",-64.0551727494604,10.1013319946221,"stable:CD45","stable","CD45","10L_D_CD45","P24T3"
"10L_C_CD45",-66.7489521168581,15.3608801503662,"growing:CD45","growing","CD45","10L_C_CD45","P24T2"
"10R_BL_CD45",-74.7131703112282,-10.7294511205906,"growing:CD45","growing","CD45","10R_BL_CD45","P26T1"
"10R_BU_CD45",-68.7548878278619,1.33105900763743,"NA:CD45",NA,"CD45","10R_BU_CD45","P26T2"
"11L_B_CD45",-71.8948412967042,-4.21067386428005,"growing:CD45","growing","CD45","11L_B_CD45","P27T1"
"11N_D_CD45",-72.753065156498,-13.7019764680151,"stable:CD45","stable","CD45","11N_D_CD45","P28T1"
"11R_D_CD45",-67.9150388342009,-4.1515183909836,"growing:CD45","growing","CD45","11R_D_CD45","P29T2"
"11R_C_CD45",-62.6833431836774,4.39159579682973,"growing:CD45","growing","CD45","11R_C_CD45","P29T1"
"14N_B_CD45",-75.8403795270287,-9.02543408994964,"growing:CD45","growing","CD45","14N_B_CD45","P31T1"
"14N_C_CD45",-65.8439604497542,-4.56026317635568,"stable:CD45","stable","CD45","14N_C_CD45","P31T2"
"14N_D_CD45",-71.4145267257409,-9.90392897012226,"stable:CD45","stable","CD45","14N_D_CD45","P31T3"
"15L_B_CD45",-72.3898000993754,2.46149063515832,"growing:CD45","growing","CD45","15L_B_CD45","P33T1"
"15N_C_CD45",-62.8653465643081,-7.27537113689519,"growing:CD45","growing","CD45","15N_C_CD45","P34T1"
"15R_D_CD45",-72.973125014119,-6.96096516663288,"growing:CD45","growing","CD45","15R_D_CD45","P35T1"
"16L_D_CD45",-69.5791478346632,-2.43639443746231,"stable:CD45","stable","CD45","16L_D_CD45","P36T3"
"17N_A_CD45",-69.1036586698777,-4.87909961461747,"growing:CD45","growing","CD45","17N_A_CD45","P39T1"
"2N__CD45",-59.2194985160969,4.43554165951446,"growing:CD45","growing","CD45","2N__CD45","P4T1"
"2R_A_CD45",-75.4431594234724,5.56428509212545,"growing:CD45","growing","CD45","2R_A_CD45","P5T1"
"2R_C_CD45",-74.4220947117027,5.07503633160145,"growing:CD45","growing","CD45","2R_C_CD45","P5T2"
"2R_D_CD45",-47.2090772299643,-0.368878205347626,"growing:CD45","growing","CD45","2R_D_CD45","P5T3"
"3L_D_CD45",-44.6469820581973,17.3473997329038,"growing:CD45","growing","CD45","3L_D_CD45","P6T2"
"3L_A_CD45",-69.7700185335241,3.50064541845187,"growing:CD45","growing","CD45","3L_A_CD45","P6T1"
"3N_B_CD45",-54.7042377608419,9.73224496141702,"stable:CD45","stable","CD45","3N_B_CD45","P7T1"
"3R_C_CD45",-64.4544223150935,0.815031347541606,"growing:CD45","growing","CD45","3R_C_CD45","P8T2"
"3R_B_CD45",-70.9781922386461,9.23887918121111,"growing:CD45","growing","CD45","3R_B_CD45","P8T1"
"5N_A_CD45",-79.3170027579428,-4.5486572735707,"growing:CD45","growing","CD45","5N_A_CD45","P13T1"
"5R_B_CD45",-58.4283404307739,-2.25390542314704,"growing:CD45","growing","CD45","5R_B_CD45","P14T1"
"6N_D_CD45",-70.3376818185276,-9.6471764938869,"growing:CD45","growing","CD45","6N_D_CD45","P16T1"
"6R_D_CD45",-68.3184916436384,-0.897277757178538,"stable:CD45","stable","CD45","6R_D_CD45","P17T3"
"7N_A_CD45",-63.3059669940618,-4.13650319914488,"growing:CD45","growing","CD45","7N_A_CD45","P19T1"
"7N_B_CD45",-74.8808761019973,-4.66159529223903,"growing:CD45","growing","CD45","7N_B_CD45","P19T2"
"8L_D_CD45",-65.4320545078387,2.80273469411963,"stable:CD45","stable","CD45","8L_D_CD45","P21T1"
"8R_CU_CD45",-44.6760849306614,-1.01176721242457,"growing:CD45","growing","CD45","8R_CU_CD45","P22T2"
"8R_CL_CD45",-71.5721152969948,-2.76367179612813,"growing:CD45","growing","CD45","8R_CL_CD45","P22T1"
"9L_B_CD45",-78.4706365421728,-5.85961551351409,"growing:CD45","growing","CD45","9L_B_CD45","P23T2"
"10L_C_DN",40.0987739556755,46.0744964474514,"growing:DN","growing","DN","10L_C_DN","P24T2"
"10R_BL_DN",36.9512331685901,-0.880613772973703,"growing:DN","growing","DN","10R_BL_DN","P26T1"
"10R_BU_DN",57.7166164794014,34.3476654643865,"NA:DN",NA,"DN","10R_BU_DN","P26T2"
"11L_B_DN",46.5675794426974,1.40513227386887,"growing:DN","growing","DN","11L_B_DN","P27T1"
"11R_D_DN",43.1924788344136,16.2016915756289,"growing:DN","growing","DN","11R_D_DN","P29T2"
"11R_C_DN",65.1428669804864,20.4004542172674,"growing:DN","growing","DN","11R_C_DN","P29T1"
"12L_D_DN",62.7199165142136,18.4764591723694,"stable:DN","stable","DN","12L_D_DN","P30T2"
"14N_C_DN",58.3735154411183,-1.75591422476324,"stable:DN","stable","DN","14N_C_DN","P31T2"
"14N_D_DN",58.5795348544483,-14.250683734978,"stable:DN","stable","DN","14N_D_DN","P31T3"
"14R_B_DN",50.8664292555762,-13.7781172054957,"growing:DN","growing","DN","14R_B_DN","P32T1"
"15L_B_DN",38.2495702903759,30.6407252227842,"growing:DN","growing","DN","15L_B_DN","P33T1"
"15N_C_DN",52.8863386482167,-2.97622617868073,"growing:DN","growing","DN","15N_C_DN","P34T1"
"16L_C_DN",52.0596711752058,9.79321203836715,"stable:DN","stable","DN","16L_C_DN","P36T2"
"16L_D_DN",60.0467682038416,0.869657131369882,"stable:DN","stable","DN","16L_D_DN","P36T3"
"16R_D_DN",51.8057966860664,-19.6581643325341,"stable:DN","stable","DN","16R_D_DN","P38T2"
"17N_D_DN",61.3062960970624,-18.726539752965,"stable:DN","stable","DN","17N_D_DN","P39T3"
"17N_A_DN",53.928093623165,-15.9475776554759,"growing:DN","growing","DN","17N_A_DN","P39T1"
"2N__DN",30.76545962069,19.0518109906413,"growing:DN","growing","DN","2N__DN","P4T1"
"2R_A_DN",46.2928514617999,43.4719509723125,"growing:DN","growing","DN","2R_A_DN","P5T1"
"2R_C_DN",33.1182766169962,40.322339186493,"growing:DN","growing","DN","2R_C_DN","P5T2"
"3L_D_DN",24.3121918644619,42.7089089435697,"growing:DN","growing","DN","3L_D_DN","P6T2"
"3L_A_DN",35.6038253508766,33.9345540622384,"growing:DN","growing","DN","3L_A_DN","P6T1"
"3N_B_DN",48.5139554877177,16.6486443799347,"stable:DN","stable","DN","3N_B_DN","P7T1"
"3R_C_DN",51.2220433804737,28.4507039933203,"growing:DN","growing","DN","3R_C_DN","P8T2"
"3R_B_DN",39.3766869754516,38.4783546900643,"growing:DN","growing","DN","3R_B_DN","P8T1"
"4N_C_DN",60.1764462268761,7.05059864450471,"growing:DN","growing","DN","4N_C_DN","P10T1"
"6R_B_DN",33.9146593323652,35.5440029978005,"growing:DN","growing","DN","6R_B_DN","P17T1"
"6R_D_DN",33.6392465441157,46.1005377944489,"stable:DN","stable","DN","6R_D_DN","P17T3"
"8R_CU_DN",53.6411345095667,-16.5515536874217,"growing:DN","growing","DN","8R_CU_DN","P22T2"
"8R_CL_DN",59.1630335623728,-13.3857477970901,"growing:DN","growing","DN","8R_CL_DN","P22T1"
"9L_A_DN",26.0882462113642,1.68125487296452,"growing:DN","growing","DN","9L_A_DN","P23T1"
"10L_D_Ep",29.0307279802272,1.97016954567222,"stable:Ep","stable","Ep","10L_D_Ep","P24T3"
"10R_BL_Ep",48.6089233446778,-24.6645817572113,"growing:Ep","growing","Ep","10R_BL_Ep","P26T1"
"10R_BU_Ep",50.5283625746573,-17.2778856827551,"NA:Ep",NA,"Ep","10R_BU_Ep","P26T2"
"11L_B_Ep",41.4905510444114,-31.4281205742414,"growing:Ep","growing","Ep","11L_B_Ep","P27T1"
"11N_D_Ep",9.655347627226,-22.3386940814011,"stable:Ep","stable","Ep","11N_D_Ep","P28T1"
"11R_D_Ep",47.999047445112,-14.1203006996564,"growing:Ep","growing","Ep","11R_D_Ep","P29T2"
"11R_C_Ep",52.5413145969343,-17.0349005446991,"growing:Ep","growing","Ep","11R_C_Ep","P29T1"
"12L_D_Ep",48.8045886026806,-17.3720335598538,"stable:Ep","stable","Ep","12L_D_Ep","P30T2"
