"","TermType","sigTerm","imm_vs_control.NES","imm_vs_control.padj"
"NDevelopment_Neurogenesis_Synaptogenesis","Development","Neurogenesis","-0.531477360014668","0"
"NDevelopment_Skeletal muscle development","Development","Skeletal muscle development","-0.524598947731966","0"
"NCell adhesion_Integrin-mediated cell-matrix adhesion","Cell adhesion","Integrin-mediated cell-matrix adhesion","-0.513422184476964","0"
"NCell adhesion_Cell-matrix interactions","Cell adhesion","Cell-matrix interactions","-0.6644008968927","0"
"NProteolysis_Connective tissue degradation","Proteolysis","Connective tissue degradation","-0.592615519348458","0"
"NTranscription_Transcription by RNA polymerase II","Transcription","Transcription by RNA polymerase II","0.342863904971003","0"
"NCell adhesion_Platelet-endothelium-leucocyte interactions","Cell adhesion","Platelet-endothelium-leucocyte interactions","-0.50595143692371","0"
"NDevelopment_Ossification and bone remodeling","Development","Ossification and bone remodeling","-0.511050647317339","0"
"NCell adhesion_Attractive and repulsive receptors","Cell adhesion","Attractive and repulsive receptors","-0.50418433401643","0"
"NProteolysis_ECM remodeling","Proteolysis","ECM remodeling","-0.566495126517865","0"
"NTranslation_Translation initiation","Translation","Translation initiation","0.668248720413524","0"
"NDevelopment_Neurogenesis_Axonal guidance","Development","Neurogenesis","-0.500791799008836","0"
"NDevelopment_EMT_Regulation of epithelial-to-mesenchymal transition","Development","EMT","-0.471966695514757","0"
"NProtein folding_Protein folding nucleus","Protein folding","Protein folding nucleus","0.325858371688988","0"
"NReproduction_Spermatogenesis, motility and copulation","Reproduction","Spermatogenesis, motility and copulation","0.31729344650432","0"
"NDevelopment_Blood vessel morphogenesis","Development","Blood vessel morphogenesis","-0.481641274100002","0"
"NInflammation_NK cell cytotoxicity","Inflammation","NK cell cytotoxicity","0.268864782672753","0"
"NCell adhesion_Amyloid proteins","Cell adhesion","Amyloid proteins","-0.504328277098405","0"
"NCardiac development_Wnt_beta-catenin, Notch, VEGF, IP3 and integrin signaling","Cardiac development","Wnt","-0.597426397728821","0"
"NCell cycle_Meiosis","Cell cycle","Meiosis","0.305914015738161","0"
"NMuscle contraction","Muscle contraction","Muscle contraction","-0.515399292061276","0"
"NDevelopment_Hemopoiesis, Erythropoietin pathway","Development","Hemopoiesis, Erythropoietin pathway","0.297360248830548","0"
"NTransport_Calcium transport","Transport","Calcium transport","-0.474842931762632","0"
"NDevelopment_Regulation of telomere length","Development","Regulation of telomere length","0.480264746753393","0"
"NCell adhesion_Integrin priming","Cell adhesion","Integrin priming","-0.598125714659555","0"
"NImmune response_T helper cell differentiation","Immune response","T helper cell differentiation","0.318942100007748","0"
"NCell adhesion_Glycoconjugates","Cell adhesion","Glycoconjugates","-0.445117281878897","0"
"NTranslation_Translation in mitochondria","Translation","Translation in mitochondria","0.471764826191514","0"
"NTranslation_Elongation-Termination","Translation","Elongation-Termination","0.664188159622963","0"
