"","Esr1","Ar","Gata3","Pgr","Erbb2","Foxa1"
"15N_C_Ep",-2.37071985592226,1.37688274942631,-1.5661671882917,-1.78679496759196,-2.48138164526347,-0.965523400904802
"3R_C_Ep",2.70845994610738,-1.54513030238915,-0.347550007638775,0.0586200599262163,1.4247243974121,0.99013899141964
"2N__Ep",-0.30166629861151,1.25983955633338,-0.00322063272642297,-0.942239034821197,0.637512572624767,0.178741743573361
"12L_D_Ep",-0.755052144771171,-0.339321527397364,-0.815733684531144,-1.5248731487053,-0.673369621427188,-1.33320558464341
"8R_CU_Ep",-0.884688956343299,0.122658649764387,-1.1713360491523,-0.897668697910503,-0.228002069299017,-1.14615368401537
"14N_D_Ep",-0.922708251861021,-0.399422524878372,-0.497943166024642,-0.193634517616094,-0.917658877482884,-1.65613563394803
"6R_B_Ep",-0.476659520185623,-1.54463625748855,-0.744379384262309,0.0149879528433826,-0.29767936322599,-1.10298916892654
"10L_D_Ep",-0.657696925293398,-0.431740995894515,-0.793390400164487,0.200030294256105,-0.0197867710968111,-0.755458876885742
"8L_D_Ep",-0.111866156592946,0.778697609288362,-0.0643654032002818,-0.246292657473421,-0.60789660611979,-0.686528506898349
"3N_B_Ep",0.323735068149399,-0.17434269738648,-0.96948242144453,-0.549691912884928,-0.585364199981966,-0.830145292535395
"7N_A_Ep",0.643212226230347,-0.513248050379905,-1.09319049930129,-0.58051817200022,-0.109492748129565,0.225627689228789
"11R_C_Ep",-0.452151412283149,1.85683241055702,1.69613194023453,0.258088592313993,0.672746184990649,1.0403595225885
"17N_D_Ep",-0.315154229391736,-0.219189495488363,1.57014300646836,-0.940156083755917,1.48073909690538,1.2459952732309
"11N_D_Ep",0.177065804651109,-0.995595165040859,0.401039737891359,-0.18492387211281,0.857620326804339,1.43960900110747
"16L_C_Ep",0.321985020761525,0.154959802636187,1.30389116672761,0.302342012584606,-0.0698975590509796,1.12334794032219
"11R_D_Ep",0.462103425260041,0.0751307220136637,1.54835679217159,1.39947695574835,0.680450447475287,1.20294239592519
"11L_B_Ep",0.977769478333374,1.1605884602356,0.989323029407433,1.61659024068283,1.68352444181812,0.878729246471747
"10R_BL_Ep",0.718380231510046,1.20528667263219,0.393962137485797,1.47085603126656,-1.1872672824977,-0.0652948339350463
"14N_C_Ep",0.373243904201227,-1.3498369708681,0.269388685580394,1.2070031158207,0.114852256597231,0.166387988260787
"14R_B_Ep",0.542408646051676,-0.478412645675442,-0.105477659229192,1.31879780942961,-0.374372981052502,0.0495551905640945
