"","10L_D_Ep","10R_BL_Ep","11L_B_Ep","11N_D_Ep","11R_D_Ep","11R_C_Ep","12L_D_Ep","14N_C_Ep","14N_D_Ep","14R_B_Ep","15N_C_Ep","16L_C_Ep","17N_D_Ep","2N__Ep","3N_B_Ep","3R_C_Ep","6R_B_Ep","7N_A_Ep","8L_D_Ep","8R_CU_Ep"
"10L_D_Ep",1,0.90946048020416,0.911711692698315,0.868379361877932,0.897800843068128,0.926770579269723,0.904081574445677,0.887110966423759,0.902335445732786,0.890604304094971,0.896251624507853,0.839955935687103,0.886104555821579,0.874223589108776,0.940801637682616,0.868800843309752,0.927305763640219,0.915668360732217,0.899261181431238,0.92036606892496
"10R_BL_Ep",0.90946048020416,1,0.962100734946759,0.885614332130993,0.957390862206362,0.953535798591514,0.940502632479515,0.958547932236706,0.948516102589071,0.958199414701489,0.924862469042024,0.92498187546053,0.942010208161651,0.913084835431675,0.929689473375352,0.936002237109132,0.927531728889406,0.966343567788635,0.913874526842014,0.961343580275525
"11L_B_Ep",0.911711692698315,0.962100734946759,1,0.924587143691799,0.954250543398405,0.922659564556589,0.933306788297069,0.970091300690489,0.935951889925375,0.963730573749918,0.911056634952912,0.939484753746315,0.959641517592758,0.921551126799273,0.93876445270957,0.959882520911975,0.94181223818727,0.970075542677672,0.91941998488366,0.94704929744687
"11N_D_Ep",0.868379361877932,0.885614332130993,0.924587143691799,1,0.897956484448198,0.906757870108027,0.893426477147398,0.900052889842013,0.883395003324594,0.885111900312051,0.862252637647289,0.905102972236731,0.918504742200841,0.863350928922253,0.899013032532146,0.889460732562231,0.906625531437084,0.909017511678793,0.891325263967376,0.888195781195564
"11R_D_Ep",0.897800843068128,0.957390862206362,0.954250543398405,0.897956484448198,1,0.956996786549929,0.935087740286544,0.961967285867044,0.938398907092131,0.942664818172259,0.895977732395351,0.949708174918032,0.95822585517207,0.916948374387697,0.933107444044139,0.949152644951159,0.917643393610229,0.956102641792411,0.912274985144843,0.940318753661452
"11R_C_Ep",0.926770579269723,0.953535798591514,0.922659564556589,0.906757870108027,0.956996786549929,1,0.968672297618452,0.94501032877663,0.965348439868228,0.930070217336993,0.94241396596104,0.929466165559526,0.951088710903785,0.895925819551062,0.954756327605983,0.920661835481517,0.941662999228439,0.95825970906522,0.938928472073594,0.965925045557183
"12L_D_Ep",0.904081574445677,0.940502632479515,0.933306788297069,0.893426477147398,0.935087740286544,0.968672297618452,1,0.952827346291454,0.973283343882498,0.916039956959325,0.907502691703883,0.907193405520702,0.9481397358167,0.846216770922366,0.94607123918349,0.928328110511446,0.93982586348159,0.945213071990573,0.937463187166745,0.947881693406512
"14N_C_Ep",0.887110966423759,0.958547932236706,0.970091300690489,0.900052889842013,0.961967285867044,0.94501032877663,0.952827346291454,1,0.961835758084036,0.953671451003054,0.900262501553275,0.943552592576202,0.960754293151288,0.883823428123856,0.929630535763512,0.958078606809523,0.927915481414444,0.954289987977065,0.915381747768696,0.939909116207587
"14N_D_Ep",0.902335445732786,0.948516102589071,0.935951889925375,0.883395003324594,0.938398907092131,0.965348439868228,0.973283343882498,0.961835758084036,1,0.928430357710643,0.919601499354579,0.911985640861417,0.947340098112225,0.851765344872804,0.933674525767181,0.918444347036373,0.92974643602028,0.940447329843637,0.922055161961391,0.951462532483202
"14R_B_Ep",0.890604304094971,0.958199414701489,0.963730573749918,0.885111900312051,0.942664818172259,0.930070217336993,0.916039956959325,0.953671451003054,0.928430357710643,1,0.91107809662653,0.919113003081273,0.933130303614052,0.906881730724843,0.9181151785566,0.927865341079681,0.918952752570964,0.95246798591072,0.900089364886797,0.941729101902041
