"","P24T3","P26T1","P26T2","P27T1","P28T1","P29T2","P29T1","P30T2","P31T2","P31T3","P32T1","P34T1","P36T2","P39T3","P4T1","P7T1","P8T2","P17T1","P19T1","P21T1","P22T2"
"Jak1",10.9242305238242,10.8337829419684,10.9845026375982,11.1262756800124,12.2598649297173,11.1512156792708,10.9292046391383,11.547822218668,11.2400515376599,11.3710957407223,10.8856129334278,10.5340555349495,11.3009211518743,12.3613451299423,10.654448039278,11.2870518582973,11.5528494882708,11.5879400817597,10.7497895605272,11.699995673896,10.518106513096
"Jak3",9.88675137164155,9.22037318156259,8.90908351505615,9.72625668886929,9.60970646186755,8.87740926234536,9.1146949137479,9.08467479088059,8.02896819443677,9.0608870281432,9.30401310721907,8.81016803306158,8.46503852169718,8.5945873491515,9.47727510713322,9.45105257679067,8.78094647187406,9.58001459771294,9.04582838870611,8.8565064114469,9.08078505021035
"Jak2",10.5420060780821,10.6362820578786,10.7502958470575,11.723837725886,11.3727915802954,11.5482554009167,10.6673642524473,10.916392888601,11.4429261303316,10.8001245120721,10.6941876152483,10.0188032228328,10.6288218453693,10.7182081532587,10.1857196560054,10.6614076556573,10.6771475959822,10.9810481944093,10.1976177867452,11.6357705974258,10.5280018047533
"Stat3",13.4122299600149,12.4574417632945,11.5370824457495,12.5405892790159,12.7434948546984,12.470239631986,12.1752336118233,12.9632463145387,12.6181704083197,12.9467656847952,12.5121645451513,12.0657454889386,12.0500002298213,12.4611765580118,12.1155325861092,13.2545585471379,12.3234113969425,12.995217670857,12.077908582826,12.9167619339101,12.2081671925333
"Il6",7.00341574945717,3.48748816779447,3.48748816779447,3.48748816779447,5.18334287245596,4.2355180167886,5.19369273029925,5.73842543739571,3.48748816779447,4.62396328131901,3.48748816779447,3.48748816779447,4.26222920495925,3.90898379879424,5.90965472810065,7.97901411250569,3.48748816779447,7.10433810839231,4.51113730193735,4.58347238234381,4.39509540198354
"Il2",4.16043693553838,4.10749658497034,3.48748816779447,3.86514043504466,6.12227402498441,3.48748816779447,3.48748816779447,3.48748816779447,3.86978478578134,4.24223590135921,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,4.64955125702443,3.48748816779447,4.83713240514078,3.48748816779447,3.48748816779447,3.48748816779447
"Il5",6.37573960030837,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.92256677086897,4.0968877785332,3.48748816779447,4.41082255514949,4.1060400663845,3.48748816779447,3.48748816779447,4.18206640787529,3.48748816779447,5.38158920892768,6.01435685866198,4.0883047655588,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447
"Ifng",4.43093188531789,3.48748816779447,3.96974582461619,3.48748816779447,4.93434813715161,4.2355180167886,3.48748816779447,3.48748816779447,3.48748816779447,4.45479195256396,3.48748816779447,3.48748816779447,3.48748816779447,4.08149065890482,3.48748816779447,5.47787109450442,3.97922184101751,5.81382077963322,3.48748816779447,3.48748816779447,3.48748816779447
"Nfkb1",10.7540683980506,10.8568771461832,9.98862773376481,11.2803783654863,12.3322432312374,10.6531354770694,10.2170327360684,10.6336128253722,11.3226924894199,10.9610525595123,11.2511633082655,9.24786775251053,10.8312720097806,10.515512615485,10.1518174543969,11.790060602497,11.2432640682228,11.9660941279874,10.4911384700849,11.6622078041452,10.101332277218
"Stat5a",11.9425732527766,12.9376720835458,12.5274754939311,13.2890031809714,11.6264519556753,12.5341338204948,12.2972745665113,11.9047110620463,13.2596798487927,12.7580064300769,13.2282550291007,11.2880317770629,10.8583007683208,10.8278860602357,9.98515561884382,11.5681432021788,12.1987391565913,12.0171855444702,11.0626905832633,12.1642690650824,11.6723437953675
"Stat1",12.4366900456058,10.6093361615342,9.85704571684011,10.7882762716655,12.6582857885442,10.537172161851,10.1905273444244,10.8349692035439,10.3178338836706,11.7189764551182,10.041036629534,10.4868700306833,10.7442236169879,11.3489168727375,11.4749535055131,10.8785110241359,10.2699774858777,11.8842182208204,9.98775462606184,10.9456616463169,10.2533097374013
"Stat2",10.6396229234787,10.4643496137307,10.1248165827333,10.8524109626738,11.2916320454573,10.3001767276503,10.0118813228305,10.2664897197479,10.0478051362966,11.238619924133,10.5089838037146,10.1558455211056,10.2847764385342,11.2334912499987,10.4448151484813,10.3302981880541,10.2920993858237,10.7127757288021,9.94530287981897,10.6820803257221,10.112137223098
"Il6r",7.80185303474743,6.1083342555708,5.76204990013129,6.50158697706631,7.4422823597403,5.57096699215637,5.94703327061242,5.75750647800974,5.86540944700401,6.44181411630718,6.721270666302,6.49097340896392,4.26222920495925,5.48174376476593,5.7853869268518,7.15474991950115,5.68842875286798,7.44167132092462,6.14357662115843,6.89116314106769,5.96871175071297
"Socs3",10.5250745162578,9.35626930389721,10.0942534680557,11.6901488149726,10.3194729870109,10.2104056570431,11.58995761698,9.91166975847008,9.59630021841225,8.29499954842112,11.0272527712837,11.7173611231475,10.5828158199345,12.2392040662139,9.66148429211562,11.3938376690276,10.5506074994436,10.5748434121298,11.8387625375648,11.2972958353314,11.1757370344165
"Tnf",3.48748816779447,3.48748816779447,4.73055961509559,4.23651017467792,3.48748816779447,3.48748816779447,5.5928006687669,3.48748816779447,3.48748816779447,3.48748816779447,4.12383264208931,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447
"Tnfrsf1a",10.2379724563027,9.3973636011218,9.56337545299356,10.2856705248564,10.0361676739953,10.1787695625085,9.52728702914144,10.030853299891,9.68923249813843,9.84780510648806,9.57969060239878,9.98146148585932,9.94016067241094,9.91480285480244,9.02727961751423,10.0140444405137,9.85820046897591,10.405574257523,9.57018877643891,10.2455703667059,9.95962747296405
"Tnfrsf1b",7.32917421912618,3.48748816779447,5.4678309323168,4.80659212731383,8.10496840951205,4.93843495275765,5.03635747565948,6.70270628274816,4.8687380160475,4.89300989174562,3.48748816779447,4.1820784880906,6.31879715166375,6.48355270578797,4.95965617864038,7.05344051925483,5.50180351157949,8.525829805734,6.10186552180121,7.66451799061766,6.71040047665549
