"","P24T3","P26T1","P27T1","P28T1","P29T2","P29T1","P30T2","P31T2","P31T3","P32T1","P34T1","P36T2","P39T3","P4T1","P7T1","P8T2","P17T1","P19T1","P21T1","P22T2"
"LOC257642",8.68237796406998,9.15375109799041,9.02164676203052,7.89061122441257,7.00875066433905,7.42790533206704,6.81471514117081,6.94744748455225,6.86379790670201,9.011824549499,8.15362048833927,7.06292768803125,7.19186193826824,10.5620905157927,7.44461377041483,7.69264270244366,6.91057339585013,7.29140644900938,6.95680315300646,7.39572672735098
"Angptl2",7.97957080697676,7.66189799292771,7.61541104214846,7.49381899342081,8.00012592620625,7.65709459265397,9.70557734076118,9.60104475200983,8.25399916020762,8.15060866171747,7.72347167652695,7.22834904479418,8.54089504128517,7.0815112878952,9.56233054988455,8.09540818761459,9.48428955571586,8.16826574667937,8.80738555634576,8.10911401752281
"Setd7",8.60247476694151,8.68982081172438,8.69043983470922,8.24099310807896,8.63508132102075,9.60628540404868,7.71031732638504,7.76525498547028,8.03379919155742,8.69289596107284,9.34532155285915,7.76590239329038,7.66018458100222,8.61091023024352,8.21912833987774,7.79380416260803,8.34632393729623,8.56368037229386,8.25757829291545,8.66852633993511
"Hbb",7.11333341333099,7.67722338753123,6.53425938260202,6.30402924908346,10.9835209692013,9.51106195891598,6.58200561043681,6.4392563594878,6.52475307680696,9.2377256857389,10.3427802794502,6.30402924908346,6.63485229922338,7.24172279008206,6.59616039885546,7.29722782042615,6.30402924908346,7.48108611345789,7.07699486832217,10.372337372489
"Mx1",9.02339465123638,7.41910507821246,7.46964670540944,9.13927915333807,7.98367961137492,7.58988880180885,8.68154184359673,8.11884887614719,9.74433762170984,7.07953793909092,8.7003305625473,7.11012574306567,9.44585313693336,7.9427822811108,8.62250822947005,7.07561184207971,8.72099622181993,7.59450640581131,8.98789453534859,7.87891597254599
"Kmt5c",8.84303668759185,9.0349348590229,9.30403411176727,7.57943499505789,8.54631647402562,8.90014895683959,7.24368953923034,7.71642587671381,7.87171385259393,8.52798088820766,9.58668872425344,7.79692832957985,7.6531367851936,9.61102262314482,8.29309170422479,8.17100319285044,8.13269869185761,8.98949880250951,8.27698280001189,9.000862123636
"Cep295",8.34894779461664,8.28803347782159,7.82883458024952,7.61175302562411,8.00555793108768,8.08121554812837,7.21232384514097,7.50176330747612,7.50873932247381,7.81942287679439,8.6282758664105,7.55834280423279,7.29034441795632,9.13019254831012,8.15842551382545,7.67872619883457,7.40215247851465,8.16361894538678,6.62273065901593,8.83553962462087
"Pnn",10.6229557374196,11.0377449079902,11.1019120789099,9.92742180727816,10.7577058450395,10.7654849473261,9.48626961179029,9.98980695943022,9.61438130605185,11.2569859137516,11.4637239080089,10.0682399639663,9.76532853304798,12.8286554053104,10.0033961667436,9.70120064056653,10.2848265106965,10.8393871299687,9.70368028209989,10.9783707426391
"Usp33",8.26634542646209,8.68314246344083,8.68311056155617,7.36986735496105,8.39290382124277,8.61185938376613,7.53038228039687,8.02087575959196,7.81222843538529,9.20415640137949,8.39616484381962,7.90920301102721,7.90471111545534,9.70813386827307,8.55250631198843,8.11794090557504,8.188562736598,8.22714690341741,8.16634739491007,8.63186043185158
"Gadd45g",12.4836595197866,10.7904065024352,11.997181784029,10.260766024851,10.0729047214722,11.373181681538,9.78440041935622,10.4110108292678,10.0257646397534,12.0979162904718,13.2958720338228,10.2097434546468,11.1070865131369,11.3876777654754,11.9255473309959,10.5885377397467,11.9935485881669,12.4668150433366,11.1249565237451,11.6143425393695
