"","inf","variable","value"
"1","yes","cd8",0.068108769
"2","no","cd8",0.020271481
"3","no","cd8",0.152177739
"4","yes","cd8",0.380067171
"5","no","cd8",0.022445242
"6","no","cd8",0.050418604
"7","no","cd8",0.022369256
"8","no","cd8",0.054129798
"9","no","cd8",NA
"10","no","cd8",NA
"11","no","cd8",NA
"12","no","cd8",0.047692612
"13","no","cd8",0.11152672
"14","no","cd8",0.030104097
"15","yes","cd8",0.276829918
"16","no","cd8",0.023213931
"17","yes","cd8",0.155480427
"18","no","cd8",NA
"19","yes","cd8",0.056233634
"20","no","cd8",0.028766801
"21","yes","knn",34.3310980038422
"22","no","knn",44.9270325366952
"23","no","knn",69.1029642114784
"24","yes","knn",26.8977347268818
"25","no","knn",73.8246082169253
"26","no","knn",153.335126312092
"27","no","knn",12.7475805953277
"28","no","knn",45.494853238138
"29","no","knn",NA
"30","no","knn",NA
"31","no","knn",NA
"32","no","knn",71.6454218187546
"33","no","knn",15.0638795777243
"34","no","knn",47.7725991706215
"35","yes","knn",32.3115937542865
"36","no","knn",32.119384471498
"37","yes","knn",76.3795461306288
"38","no","knn",NA
"39","yes","knn",16.3662319888764
"40","no","knn",50.0010143574618
"41","yes","MH",0.619188600369958
"42","no","MH",0.437652145932401
"43","no","MH",0.237714655738112
"44","yes","MH",0.677785426855763
"45","no","MH",0.264607307635754
"46","no","MH",0.026178252509128
"47","no","MH",0.677104279711371
"48","no","MH",0.264129276925775
"49","no","MH",NA
"50","no","MH",NA
"51","no","MH",NA
"52","no","MH",0.057419978255721
"53","no","MH",0.767514188959579
"54","no","MH",0.349187824159711
"55","yes","MH",0.637179407827275
"56","no","MH",0.381122239757883
"57","yes","MH",0.502964931439173
"58","no","MH",NA
"59","yes","MH",0.6488849150546
"60","no","MH",0.367612658782466
