"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NProtein folding_ER and cytoplasm",-0.441614842968843,0,0,"3312;5611;9695;2288;811;5034;22926;55176;821;6341;3309;7415;29927;7494;2745;351;3320","ER and cytoplasm"
"NNeurophysiological process_Visual perception",0.649474756837842,0,0,"1413;1381;5145;24;94233;4094;6295;4647;407;1258;2978;4284;2700;2979;3983;6017;145226;9478;5630","Visual perception"
"NNeurophysiological process_Long-term potentiation",0.565005316288539,0,0,"627;4846;5923;5330;814;2891;815;6622;2904;6262;5592;2902;5924;23236","Long-term potentiation"
"NApoptosis_Apoptotic mitochondria",-0.264377414516499,0,0,"55669;5518;23645;9131;207;5366;1509;9927;7009;638;79370;2745;596;90427;2810","Apoptotic mitochondria"
"NApoptosis_Endoplasmic reticulum stress pathway",-0.325210929640952,0,0,"8664;1432;5611;7186;9695;79139;841;10134;4790;9709;1967;4802;23645;823;22926;5366;10130;7184;1965;90993;824;836;6416;3309;3725;4800;8720;7494;596;100506742;90427","Endoplasmic reticulum stress pathway"
"NChemotaxis",0.502933894176301,0,0,"6356;6696;6354;3491;6364;6366;1233;6441;10563;3553;3586;9547;6372;6369;6850;5168;3684;5600;6348;7422;6352;6092;10663;9353;3552;6361;10850","Chemotaxis"
"NDevelopment_Skeletal muscle development",0.511394537891728,0,0,"4624;4604;22801;3479;6442;1289;84676;50509;814;844;4619;5600;2318;6334;1282;7422;59;2006;7169;8106;7402;7291;1742;4629;2627;4606;1960;72;6840;4625;10398;6722;775;9924;5154;4635;6329;4898;9759;8736;1387","Skeletal muscle development"
"NTransport_Potassium transport",0.576367644194385,0,0,"10060;480;53828;3784;495;80333;358;3746;3765;26251;486;10052;348980;478;123041;2701;1258;482;57468;3763;5313;5348;3776;477;3745;3778;3064;81033;57582;80036;131096;3743;3757;6557;3748;79054;7226;170850;3782;6506;3751;3752;6532;610;5023;9187;27345","Potassium transport"
"NCell adhesion_Platelet aggregation",0.483264091017046,0,0,"108;88;10235;27040;1277;5175;7941;2147;5330;7409;2207;6850;2815;196883;4619;89;4638;1282;7450;2149;6915;111;5293;112;5740;953;23236;6403;948;3937;115;2316;5023;8736;1280;1281;9846;113;7408","Platelet aggregation"
"NMuscle contraction",0.561504739070385,0,0,"3784;4624;88;4604;10052;6442;1145;84676;6546;2978;1134;814;1909;1180;3270;5348;3745;844;4619;51083;89;4638;2979;6262;3778;8557;1760;487;284217;59;5592;3757;43;4881;1742;6915;4629;2281;1080;4606;5731;4625;10398;6722;4635;4130;6804;6329;4659;610;7871;8736","Muscle contraction"
"NTransport_Sodium transport",0.458433561480986,0,0,"480;6569;358;6550;486;348980;478;123041;6539;2701;6335;482;6546;6559;477;6507;7224;6334;55800;3064;83959;26266;6330;80036;51393;6328;3757;6557;55089;79054;7226;9153;6548;6506;6532;6329;610;5023;9057;9;9187;9498","Sodium transport"
"NTransport_Calcium transport",0.544419299112545,0,0,"6279;491;7352;777;28954;10052;1145;123041;1258;6546;5582;27039;93589;10316;1134;492;3270;844;7224;776;30818;783;5954;6262;5319;2550;8913;487;8911;80036;774;51393;55503;2159;4308;1742;8996;2902;9478;79054;7226;5310","Calcium transport"
"NImmune response_Antigen presentation",-0.282429739556122,0,0,"3122;4791;563;811;9491;3717;4802;5709;5711;1385;2217;55176;925;1520;3551;7184;26985;821;5708;6890;3460;6892;972;2923;5641;3309;3716;926;4800;10131;912;5707;5970;3383;29927;3133;3459;940;3320","Antigen presentation"
"NDevelopment_Neurogenesis_Synaptogenesis",0.449821245342524,0.02,0.162759075907591,"4916;8927;26059;627;4900;4915;9240;2891;27445;23025;6855;54510;7476;815;7224;2904;57596;6334;4340;57787;10716;284217;774;9378;43;7058;1742;2048;2902;6853;6843;201294;4035;104;1740;8497;375790;320;6804;2066;8541;11059;22999","Neurogenesis"
"NInflammation_Histamine signaling",0.481122662712205,0.02,0.162759075907591,"6356;108;816;6364;2983;4846;5330;3553;5602;3586;26279;8681;815;4688;196883;5600;2977;4689;5319;6348;240;5599;6352;4773;30814;4881;4772;111;112;5740;4792;3984;3067;23236;6403;4843","Histamine signaling"
"NCell adhesion_Platelet-endothelium-leucocyte interactions",0.473888704852043,0.02,0.162759075907591,"3791;5159;90952;3491;2335;1289;1277;5175;7980;1302;4921;338;2147;3490;3553;2207;958;2157;1301;2815;5858;3684;58494;5270;284217;1282;6348;1490;7422;7450;4481;7056;6352;1290;2159;3082;7058;5054;4792;5156;5364;2161;4035;83700;10666;6403;948;968;3569;5154;2153;5781;7436;4318;1280;4322;6347;1281","Platelet-endothelium-leucocyte interactions"
"NCell adhesion_Cell-matrix interactions",0.480149611138547,0.02,0.162759075907591,"10894;1305;2335;4237;1464;22801;6442;140766;4321;1463;1289;3956;80332;6441;3371;1277;50509;56999;633;1462;9509;7130;3684;9313;4060;3672;284217;170689;1282;8515;2006;8745;2200;1290;22795;2201;1634;7045;952;3695;4316;10516;4325;7143;375790;3958;2192;80781;11096;3915;4318;1280;4322;1281;3911","Cell-matrix interactions"
"NProteolysis_Ubiquitin-proteasomal proteolysis",-0.193401811337311,0.02,0.162759075907591,"113878;5699;5702;55968;7329;5714;642;55743;25897;5694;10213;10210;10043;6478;10193;10197;112950;23327;5700;7314;3416;9817;5706;79139;9101;8452;4734;5886;23640;7323;9491;11236;59343;10489;5709;5711;10055;5701;5708;8650;6477;26994;8314;7328;51465;7415;7317;5707;151636;7844;79589;83737;2745;3320","Ubiquitin-proteasomal proteolysis"
"NProtein folding_Response to unfolded proteins",-0.261982478166952,0.04,0.257928870292887,"5611;23071;9695;79139;9709;811;3306;5034;22824;22926;7184;821;3309;7415;912;7494;2745;351;3320","Response to unfolded proteins"
"NProteolysis_Proteolysis in cell cycle and apoptosis",-0.254988184822278,0.04,0.257928870292887,"25793;50813;8881;999;823;7064;81502;5664;51433;1509;1520;26235;9039;824;836;23621;330;1512;23385;102;1508;5663;351;1075","Proteolysis in cell cycle and apoptosis"
"NNeurophysiological process_Transmission of nerve impulse",0.471723106657079,0.04,0.257928870292887,"1901;6335;57468;5582;5923;814;2891;2906;2564;815;6850;2893;116444;2904;3778;2895;6330;9722;1742;2902;9478;2901;27115;9826;3782;775;3751;10142;9568;2743;818;5023","Transmission of nerve impulse"
"NImmune response_Phagocytosis",0.411173650041883,0.04,0.257928870292887,"135;88;2335;27040;5582;695;338;5330;5602;3055;7409;2207;6850;2206;4688;4619;2214;89;3684;5600;4689;4638;2533;2209;4018;5599;4481;4644;4360;4650;5293;4792;3984;23236;4843;948;3937","Phagocytosis"
"NDevelopment_Regulation of angiogenesis",0.230095641487381,0.04,0.257928870292887,"1910;3791;6935;4915;1909;3553;633;6678;1000;7852;1490;7422;3397;7026;1026;23118;2737;5054;9971;2305;3552;9046;4792;23236;4843;3569;5154;5781;1387;6885;4318;6347;3953;5333;2697","Regulation of angiogenesis"
"NImmune response_IL-5 signalling",-0.283675487925573,0.06,0.328627276765882,"5321;2885;5894;1399;6774;896;3717;207;6776;3716;3725;6777;4067;596","IL-5 signalling"
