"","inf","het"
"10L_D_Ep","inf",0.730641242820318
"10R_BL_Ep","grow",0.759319071004447
"11L_B_Ep","grow",0.802489013883994
"11N_D_Ep","inf",0.810251923634353
"11R_D_Ep","grow",0.826006261987175
"11R_C_Ep","grow",0.803838336611571
"12L_D_Ep","stab",0.813368444388567
"14N_C_Ep","stab",0.825619806088118
"14N_D_Ep","stab",0.813106406181958
"14R_B_Ep","grow",0.775768871098573
"15N_C_Ep","grow",0.706798356028779
"16L_C_Ep","stab",0.829081975960766
"17N_D_Ep","stab",0.817359395983499
"2N__Ep","grow",0.695112640421295
"3N_B_Ep","inf",0.790503586225084
"3R_C_Ep","grow",0.840460555659831
"6R_B_Ep","inf",0.798617592913295
"7N_A_Ep","grow",0.799185930006972
"8L_D_Ep","inf",0.790259578247286
"8R_CU_Ep","grow",0.789616995666441
